Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1319351,Italy Serie A,2021/2022,2021-08-21 13:30:00,1,Hellas Verona,Sassuolo,2,3,5,"['71', '90']","['32', '51', '77']",2.6,3.45,2.8,1.87,2.0,1.71,2.25
2,1319352,Italy Serie A,2021/2022,2021-08-21 13:30:00,1,Inter Milan,Genoa,4,0,4,"['6', '14', '74', '87']",[],1.32,5.5,11.0,1.71,2.2,2.15,1.74
3,1319353,Italy Serie A,2021/2022,2021-08-21 15:45:00,1,Empoli,Lazio,1,3,4,['4'],"['6', '31', '41']",4.75,3.95,1.77,1.74,2.15,1.74,2.15
4,1319354,Italy Serie A,2021/2022,2021-08-21 15:45:00,1,Torino,Atalanta,1,2,3,['79'],"['6', '90+3']",6.0,4.4,1.57,1.67,2.3,1.77,2.15
5,1319355,Italy Serie A,2021/2022,2021-08-22 13:30:00,1,Bologna,Salernitana,3,2,5,"['59', '74', '77']","['52', '70']",1.61,4.3,5.75,1.77,2.15,1.87,2.0
6,1319356,Italy Serie A,2021/2022,2021-08-22 13:30:00,1,Udinese,Juventus,2,2,4,"['51', '83']","['3', '23']",8.0,4.65,1.44,1.8,2.1,2.1,1.8
7,1319357,Italy Serie A,2021/2022,2021-08-22 15:45:00,1,Napoli,Venezia,2,0,2,"['62', '72']",[],1.25,6.75,13.0,1.49,2.75,1.95,1.91
8,1319358,Italy Serie A,2021/2022,2021-08-22 15:45:00,1,Roma,Fiorentina,3,1,4,"['26', '64', '79']",['60'],1.83,3.9,4.4,1.71,2.2,1.71,2.2
9,1319359,Italy Serie A,2021/2022,2021-08-23 13:30:00,1,Cagliari,Spezia,2,2,4,"['62', '66']","['7', '58']",1.83,3.8,4.55,1.91,1.95,1.87,2.0
10,1319360,Italy Serie A,2021/2022,2021-08-23 15:45:00,1,Sampdoria,AC Milan,0,1,1,[],['9'],5.25,3.6,1.73,1.86,2.04,1.69,2.25
11,1319361,Italy Serie A,2021/2022,2021-08-27 13:30:00,2,Udinese,Venezia,3,0,3,"['29', '70', '90+3']",[],1.8,3.65,5.0,2.1,1.8,2.05,1.83
12,1319362,Italy Serie A,2021/2022,2021-08-27 15:45:00,2,Hellas Verona,Inter Milan,1,3,4,['15'],"['47', '83', '90+4']",6.0,4.15,1.61,1.74,2.2,1.8,2.05
13,1319363,Italy Serie A,2021/2022,2021-08-28 13:30:00,2,Atalanta,Bologna,0,0,0,[],[],1.36,5.75,8.25,1.43,2.95,1.67,2.3
14,1319364,Italy Serie A,2021/2022,2021-08-28 13:30:00,2,Lazio,Spezia,6,1,7,"['5', '15', '45+2', '47', '70', '85']",['4'],1.33,5.75,10.0,1.56,2.5,1.95,1.91
15,1319365,Italy Serie A,2021/2022,2021-08-28 15:45:00,2,Fiorentina,Torino,2,1,3,"['41', '69']",['89'],1.95,3.7,4.05,1.71,2.0,1.74,2.15
16,1319366,Italy Serie A,2021/2022,2021-08-28 15:45:00,2,Juventus,Empoli,0,1,1,[],['21'],1.29,6.5,10.25,1.48,2.75,1.91,2.0
17,1319367,Italy Serie A,2021/2022,2021-08-29 13:30:00,2,Genoa,Napoli,1,2,3,['69'],"['39', '84']",6.25,4.05,1.61,1.87,2.0,2.0,1.91
18,1319368,Italy Serie A,2021/2022,2021-08-29 13:30:00,2,Sassuolo,Sampdoria,0,0,0,[],[],2.2,3.45,3.45,1.69,2.25,1.57,2.5
19,1319369,Italy Serie A,2021/2022,2021-08-29 15:45:00,2,AC Milan,Cagliari,4,1,5,"['12', '17', '24', '43']",['15'],1.49,4.55,7.25,1.71,2.25,1.87,2.0
