Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Italy Serie A,2022/2023,2022-08-13 13:30:00,1,AC Milan,Udinese,4,2,6,"['11', '15', '46', '68']","['2', '45+4']",1.38,4.7,8.16,1.74,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Italy Serie A,2022/2023,2022-08-13 13:30:00,1,Sampdoria,Atalanta,0,2,2,[],"['26', '90+5']",4.14,3.8,1.8,1.66,1.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Italy Serie A,2022/2023,2022-08-13 15:45:00,1,Lecce,Inter Milan,1,2,3,['48'],"['2', '90+5']",9.71,5.5,1.29,1.59,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Italy Serie A,2022/2023,2022-08-13 15:45:00,1,Monza,Torino,1,2,3,['90+4'],"['43', '66']",2.6,3.3,2.69,2.05,1.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Italy Serie A,2022/2023,2022-08-14 13:30:00,1,Fiorentina,Cremonese,3,2,5,"['16', '34', '90+5']","['19', '68']",1.36,4.8,7.2,1.63,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Italy Serie A,2022/2023,2022-08-14 13:30:00,1,Lazio,Bologna,2,1,3,"['68', '79']",['38'],1.65,4.3,5.65,1.65,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Italy Serie A,2022/2023,2022-08-14 15:45:00,1,Salernitana,Roma,0,1,1,[],['33'],5.6,4.48,1.63,1.75,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Italy Serie A,2022/2023,2022-08-14 15:45:00,1,Spezia,Empoli,1,0,1,['36'],[],2.54,3.54,2.95,1.9,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Italy Serie A,2022/2023,2022-08-15 13:30:00,1,Hellas Verona,Napoli,2,5,7,"['29', '48']","['37', '45+3', '55', '65', '79']",3.25,3.5,2.1,1.67,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Italy Serie A,2022/2023,2022-08-15 15:45:00,1,Juventus,Sassuolo,3,0,3,"['26', '43', '51']",[],1.44,4.6,7.0,1.58,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Italy Serie A,2022/2023,2022-08-20 13:30:00,2,Udinese,Salernitana,0,0,0,[],[],1.77,3.75,4.5,1.75,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Italy Serie A,2022/2023,2022-08-20 13:30:00,2,Torino,Lazio,0,0,0,[],[],3.0,3.45,2.33,1.87,1.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Italy Serie A,2022/2023,2022-08-20 15:45:00,2,Inter Milan,Spezia,3,0,3,"['35', '52', '82']",[],1.16,7.5,16.0,1.35,1.87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Italy Serie A,2022/2023,2022-08-20 15:45:00,2,Sassuolo,Lecce,1,0,1,['39'],[],1.78,4.1,4.1,1.62,1.66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Italy Serie A,2022/2023,2022-08-21 13:30:00,2,Empoli,Fiorentina,0,0,0,[],[],4.3,3.95,1.72,1.6,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Italy Serie A,2022/2023,2022-08-21 13:30:00,2,Napoli,Monza,4,0,4,"['35', '45+2', '62', '90+3']",[],1.41,4.8,6.4,1.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Italy Serie A,2022/2023,2022-08-21 15:45:00,2,Atalanta,AC Milan,1,1,2,['29'],['68'],2.6,3.45,2.5,1.7,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Italy Serie A,2022/2023,2022-08-21 15:45:00,2,Bologna,Hellas Verona,1,1,2,['21'],['43'],2.26,3.4,3.0,1.8,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Italy Serie A,2022/2023,2022-08-22 13:30:00,2,Roma,Cremonese,1,0,1,['65'],[],1.28,5.32,10.85,1.62,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Italy Serie A,2022/2023,2022-08-22 15:45:00,2,Sampdoria,Juventus,0,0,0,[],[],5.08,3.63,1.7,1.89,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Italy Serie A,2022/2023,2022-08-26 13:30:00,3,Monza,Udinese,1,2,3,['32'],"['36', '77']",2.8,3.15,2.34,1.83,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Italy Serie A,2022/2023,2022-08-26 15:45:00,3,Lazio,Inter Milan,3,1,4,"['40', '75', '86']",['51'],3.2,3.3,2.06,1.67,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Italy Serie A,2022/2023,2022-08-27 13:30:00,3,Juventus,Roma,1,1,2,['2'],['69'],2.19,3.4,3.35,1.84,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Italy Serie A,2022/2023,2022-08-27 13:30:00,3,Cremonese,Torino,1,2,3,['80'],"['17', '65']",3.35,3.5,2.16,1.8,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Italy Serie A,2022/2023,2022-08-27 15:45:00,3,AC Milan,Bologna,2,0,2,"['21', '58']",[],1.37,5.25,8.0,1.53,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Italy Serie A,2022/2023,2022-08-27 15:45:00,3,Spezia,Sassuolo,2,2,4,"['30', '45+4']","['27', '50']",3.0,3.55,2.3,1.6,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Italy Serie A,2022/2023,2022-08-28 13:30:00,3,Hellas Verona,Atalanta,0,1,1,[],['50'],3.65,3.75,1.85,1.57,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Italy Serie A,2022/2023,2022-08-28 13:30:00,3,Salernitana,Sampdoria,4,0,4,"['7', '16', '50', '76']",[],2.35,3.05,3.15,1.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Italy Serie A,2022/2023,2022-08-28 15:45:00,3,Lecce,Empoli,1,1,2,['40'],['22'],2.35,3.35,2.85,1.7,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,Italy Serie A,2022/2023,2022-08-28 15:45:00,3,Fiorentina,Napoli,0,0,0,[],[],2.5,3.4,2.6,1.7,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Italy Serie A,2022/2023,2022-08-30 13:30:00,4,Sassuolo,AC Milan,0,0,0,[],[],5.25,4.2,1.58,1.5,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Italy Serie A,2022/2023,2022-08-30 15:45:00,4,Inter Milan,Cremonese,3,1,4,"['12', '38', '76']",['90'],1.22,6.75,12.5,1.36,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Italy Serie A,2022/2023,2022-08-30 15:45:00,4,Roma,Monza,3,0,3,"['18', '32', '61']",[],1.27,6.0,10.5,1.6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,Italy Serie A,2022/2023,2022-08-31 13:30:00,4,Udinese,Fiorentina,1,0,1,['17'],[],2.6,3.6,2.7,1.7,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Italy Serie A,2022/2023,2022-08-31 13:30:00,4,Sampdoria,Lazio,1,1,2,['90+2'],['21'],4.1,3.8,1.89,1.81,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Italy Serie A,2022/2023,2022-08-31 13:30:00,4,Empoli,Hellas Verona,1,1,2,['26'],['69'],2.6,3.6,2.7,1.68,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Italy Serie A,2022/2023,2022-08-31 15:45:00,4,Napoli,Lecce,1,1,2,['27'],['31'],1.26,6.6,11.0,1.64,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Italy Serie A,2022/2023,2022-08-31 15:45:00,4,Juventus,Spezia,2,0,2,"['9', '90+2']",[],1.3,5.7,10.0,1.58,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Italy Serie A,2022/2023,2022-09-01 15:45:00,4,Bologna,Salernitana,1,1,2,['52'],['88'],1.8,3.5,4.2,1.83,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Italy Serie A,2022/2023,2022-09-01 15:45:00,4,Atalanta,Torino,3,1,4,"['45+4', '47', '84']",['77'],1.53,4.1,5.5,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Italy Serie A,2022/2023,2022-09-03 10:00:00,5,Fiorentina,Juventus,1,1,2,['29'],['9'],3.1,3.2,2.45,2.11,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,Italy Serie A,2022/2023,2022-09-03 13:00:00,5,AC Milan,Inter Milan,3,2,5,"['28', '54', '60']","['21', '67']",2.59,3.6,2.65,1.84,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,Italy Serie A,2022/2023,2022-09-03 15:45:00,5,Lazio,Napoli,1,2,3,['4'],"['38', '61']",2.9,3.6,2.34,1.81,1.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,Italy Serie A,2022/2023,2022-09-04 07:30:00,5,Cremonese,Sassuolo,0,0,0,[],[],3.34,3.62,2.03,1.83,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Italy Serie A,2022/2023,2022-09-04 10:00:00,5,Spezia,Bologna,2,2,4,"['45+2', '54']","['6', '64']",2.57,3.42,2.58,1.83,1.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,Italy Serie A,2022/2023,2022-09-04 13:00:00,5,Hellas Verona,Sampdoria,2,1,3,"['44', '45+3']",['40'],1.9,3.72,3.68,1.91,1.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Italy Serie A,2022/2023,2022-09-04 15:45:00,5,Udinese,Roma,4,0,4,"['5', '56', '75', '82']",[],4.33,3.75,1.75,1.61,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
