Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Italy Serie B,2022/2023,2022-08-12 15:45:00,1,Parma,Bari 1908,2,2,4,"['3', '45+2']","['11', '35']",1.8,3.3,4.1,1.95,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Italy Serie B,2022/2023,2022-08-13 15:45:00,1,Cittadella,Pisa,4,3,7,"['38', '57', '61', '66']","['27', '90', '90+8']",2.4,3.15,2.89,2.11,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Italy Serie B,2022/2023,2022-08-13 15:45:00,1,Como,Cagliari,1,1,2,['19'],['90+3'],2.8,3.25,2.25,1.97,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Italy Serie B,2022/2023,2022-08-13 15:45:00,1,Palermo,Perugia,2,0,2,"['25', '68']",[],2.18,3.15,3.29,2.11,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Italy Serie B,2022/2023,2022-08-14 15:45:00,1,Ascoli,Ternana,2,1,3,"['14', '32']",['76'],1.93,3.2,3.55,1.8,1.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Italy Serie B,2022/2023,2022-08-14 15:45:00,1,Venezia,Genoa,1,2,3,['68'],"['37', '87']",2.43,3.15,2.65,2.1,1.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Italy Serie B,2022/2023,2022-08-14 15:45:00,1,SPAL,Reggina,1,3,4,['79'],"['45+3', '52', '67']",1.75,3.2,4.4,1.95,1.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Italy Serie B,2022/2023,2022-08-14 15:45:00,1,Brescia,Südtirol,2,0,2,"['37', '65']",[],1.68,3.74,5.45,1.84,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Italy Serie B,2022/2023,2022-08-14 15:45:00,1,Benevento,Cosenza,0,1,1,[],['49'],1.58,3.35,5.6,1.85,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Italy Serie B,2022/2023,2022-08-14 15:45:00,1,Modena,Frosinone,0,1,1,[],['34'],2.55,3.15,2.55,2.15,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Italy Serie B,2022/2023,2022-08-19 15:45:00,2,Bari 1908,Palermo,1,1,2,['68'],['37'],2.13,3.15,3.2,2.22,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Italy Serie B,2022/2023,2022-08-20 15:45:00,2,Genoa,Benevento,0,0,0,[],[],1.78,3.5,4.4,1.96,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Italy Serie B,2022/2023,2022-08-20 15:45:00,2,Ascoli,SPAL,1,1,2,['21'],['26'],2.02,3.2,3.75,1.89,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Italy Serie B,2022/2023,2022-08-20 15:45:00,2,Perugia,Parma,0,0,0,[],[],2.75,3.15,2.55,2.12,1.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Italy Serie B,2022/2023,2022-08-21 15:45:00,2,Ternana,Reggina,1,0,1,['26'],[],1.77,3.2,4.3,1.8,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Italy Serie B,2022/2023,2022-08-21 15:45:00,2,Südtirol,Venezia,1,2,3,['60'],"['83', '90+5']",2.9,2.95,2.34,2.14,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Italy Serie B,2022/2023,2022-08-21 15:45:00,2,Pisa,Como,2,2,4,"['24', '89']","['5', '77']",1.57,3.7,5.0,1.75,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Italy Serie B,2022/2023,2022-08-21 15:45:00,2,Cagliari,Cittadella,2,1,3,"['72', '87']",['29'],1.83,3.2,3.95,2.0,1.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Italy Serie B,2022/2023,2022-08-21 15:45:00,2,Cosenza,Modena,2,1,3,"['67', '80']",['33'],2.27,2.95,3.0,2.06,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Italy Serie B,2022/2023,2022-08-21 15:45:00,2,Frosinone,Brescia,3,0,3,"['15', '58', '85']",[],2.42,3.05,2.7,1.95,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Italy Serie B,2022/2023,2022-08-27 15:45:00,3,Palermo,Ascoli,2,3,5,"['36', '63']","['27', '45+5', '52']",2.27,3.21,2.68,1.93,1.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,Italy Serie B,2022/2023,2022-08-27 15:45:00,3,SPAL,Cagliari,1,0,1,['37'],[],2.54,3.0,2.67,2.05,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Italy Serie B,2022/2023,2022-08-27 15:45:00,3,Modena,Ternana,4,1,5,"['23', '32', '64', '68']",['50'],2.21,3.3,2.9,2.01,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Italy Serie B,2022/2023,2022-08-28 15:45:00,3,Reggina,Südtirol,4,0,4,"['35', '45+1', '61', '70']",[],2.1,2.95,3.6,2.25,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Italy Serie B,2022/2023,2022-08-28 15:45:00,3,Pisa,Genoa,0,1,1,[],['29'],2.8,3.0,2.45,1.95,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Italy Serie B,2022/2023,2022-08-28 15:45:00,3,Perugia,Bari 1908,1,3,4,['57'],"['10', '54', '69']",2.25,3.05,3.05,2.15,1.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Italy Serie B,2022/2023,2022-08-28 15:45:00,3,Cittadella,Venezia,1,1,2,['70'],['85'],2.15,3.15,3.15,2.1,1.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Italy Serie B,2022/2023,2022-08-28 15:45:00,3,Benevento,Frosinone,2,1,3,"['35', '62']",['59'],2.2,3.15,3.05,1.95,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Italy Serie B,2022/2023,2022-08-28 15:45:00,3,Parma,Cosenza,1,0,1,['29'],[],1.5,3.6,6.25,1.9,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Italy Serie B,2022/2023,2022-08-29 15:45:00,3,Como,Brescia,0,1,1,[],['45'],2.63,3.2,2.7,1.97,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Italy Serie B,2022/2023,2022-09-02 15:30:00,4,Cagliari,Modena,1,0,1,['28'],[],1.9,3.4,3.8,1.98,1.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Italy Serie B,2022/2023,2022-09-03 09:00:00,4,Ascoli,Cittadella,0,0,0,[],[],2.16,3.25,3.25,2.12,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Italy Serie B,2022/2023,2022-09-03 09:00:00,4,Bari 1908,SPAL,2,2,4,"['4', '45+2']","['63', '69']",2.5,2.98,2.64,1.86,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Italy Serie B,2022/2023,2022-09-03 09:00:00,4,Brescia,Perugia,2,1,3,"['5', '13']",['35'],1.95,3.3,3.8,2.12,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,Italy Serie B,2022/2023,2022-09-03 09:00:00,4,Frosinone,Como,2,0,2,"['22', '71']",[],1.88,3.55,3.8,1.9,1.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,Italy Serie B,2022/2023,2022-09-03 09:00:00,4,Reggina,Palermo,3,0,3,"['7', '58', '73']",[],2.05,2.96,3.44,2.28,1.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,Italy Serie B,2022/2023,2022-09-03 09:00:00,4,Ternana,Cosenza,1,1,2,['17'],['52'],1.75,3.65,4.25,1.86,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Italy Serie B,2022/2023,2022-09-03 09:00:00,4,Venezia,Benevento,0,2,2,[],"['52', '77']",2.51,3.2,2.72,2.1,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Italy Serie B,2022/2023,2022-09-03 11:15:00,4,Genoa,Parma,3,3,6,"['16', '42', '51']","['21', '37', '89']",1.44,3.84,6.24,1.79,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
