Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1194735,Lithuania A Lyga,2021,2021-03-05 13:00:00,1,Kauno Žalgiris,Banga,1,0,1,['83'],[],1.67,3.6,4.6,1.85,1.85,1.82,1.9
2,1194736,Lithuania A Lyga,2021,2021-03-06 08:00:00,1,Džiugas Telšiai,Hegelmann Litauen,2,1,3,"['44', '46']",['82'],2.3,3.3,2.84,1.96,1.75,1.76,1.97
3,1194737,Lithuania A Lyga,2021,2021-03-06 10:00:00,1,Dainava,Nevėžis,0,2,2,[],"['43', '48']",3.05,3.15,2.25,2.25,1.57,1.94,1.79
4,1194738,Lithuania A Lyga,2021,2021-03-07 10:00:00,1,Sūduva,Panevėžys,0,1,1,[],['55'],1.31,4.8,6.5,1.61,2.05,1.87,1.74
5,1194783,Lithuania A Lyga,2021,2021-03-12 13:00:00,11,Sūduva,Hegelmann Litauen,2,0,2,"['53', '76']",[],1.35,4.45,5.75,1.55,2.38,1.68,2.1
6,1194741,Lithuania A Lyga,2021,2021-03-13 10:00:00,2,Žalgiris,Dainava,2,2,4,"['30', '85']","['15', '60']",1.08,8.0,12.0,1.4,2.88,2.05,1.68
7,1194742,Lithuania A Lyga,2021,2021-03-14 08:00:00,2,Kauno Žalgiris,Nevėžis,5,0,5,"['17', '45+2', '51', '77', '78']",[],1.75,3.4,3.9,1.87,1.83,1.67,2.1
8,1194743,Lithuania A Lyga,2021,2021-03-14 10:00:00,2,Panevėžys,Džiugas Telšiai,1,0,1,['90+1'],[],1.7,3.4,4.2,1.8,1.91,1.73,2.06
9,1194734,Lithuania A Lyga,2021,2021-03-16 12:00:00,1,Žalgiris,Trakai,2,0,2,"['25', '43']",[],1.15,6.5,9.0,1.5,2.5,2.05,1.68
10,1194744,Lithuania A Lyga,2021,2021-03-19 13:00:00,4,Sūduva,Nevėžis,1,0,1,['15'],[],1.15,6.0,10.5,1.67,1.95,2.5,1.41
11,1194745,Lithuania A Lyga,2021,2021-03-20 08:00:00,4,Kauno Žalgiris,Trakai,2,1,3,"['3', '57']",['53'],1.42,4.4,6.95,1.81,2.02,2.38,1.53
12,1194746,Lithuania A Lyga,2021,2021-03-20 10:00:00,4,Panevėžys,Banga,4,2,6,"['26', '48', '64', '72']","['39', '90+5']",1.67,3.74,4.76,1.91,1.91,1.83,1.83
13,1194747,Lithuania A Lyga,2021,2021-03-20 14:00:00,4,Žalgiris,Hegelmann Litauen,2,0,2,"['32', '46']",[],1.32,4.94,8.6,1.75,2.1,2.25,1.57
14,1194748,Lithuania A Lyga,2021,2021-03-21 10:00:00,4,Dainava,Džiugas Telšiai,1,1,2,['81'],['49'],2.55,3.05,2.45,2.21,1.59,1.9,1.82
15,1194753,Lithuania A Lyga,2021,2021-04-02 11:00:00,5,Hegelmann Litauen,Nevėžis,2,0,2,"['35', '39']",[],2.15,3.6,2.88,1.7,2.1,1.62,2.2
16,1194749,Lithuania A Lyga,2021,2021-04-02 12:00:00,5,Trakai,Dainava,2,2,4,"['38', '50']","['53', '89']",2.1,3.6,2.75,1.7,2.1,1.6,2.2
