Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Lithuania A Lyga,2021,2021-03-05 13:00:00,1,Kauno Žalgiris,Banga,1,0,1,['83'],[],1.67,3.6,4.6,1.85,1.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Lithuania A Lyga,2021,2021-03-06 08:00:00,1,Džiugas Telšiai,Hegelmann Litauen,2,1,3,"['44', '46']",['82'],2.3,3.3,2.84,1.96,1.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Lithuania A Lyga,2021,2021-03-06 10:00:00,1,Dainava,Nevėžis,0,2,2,[],"['43', '48']",3.05,3.15,2.25,2.25,1.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Lithuania A Lyga,2021,2021-03-07 10:00:00,1,Sūduva,Panevėžys,0,1,1,[],['55'],1.31,4.8,6.5,1.61,1.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lithuania A Lyga,2021,2021-03-12 13:00:00,11,Sūduva,Hegelmann Litauen,2,0,2,"['53', '76']",[],1.35,4.45,5.75,1.55,1.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Lithuania A Lyga,2021,2021-03-13 10:00:00,2,Žalgiris,Dainava,2,2,4,"['30', '85']","['15', '60']",1.08,8.0,12.0,1.4,2.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Lithuania A Lyga,2021,2021-03-14 08:00:00,2,Kauno Žalgiris,Nevėžis,5,0,5,"['17', '45+2', '51', '77', '78']",[],1.75,3.4,3.9,1.87,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Lithuania A Lyga,2021,2021-03-14 10:00:00,2,Panevėžys,Džiugas Telšiai,1,0,1,['90+1'],[],1.7,3.4,4.2,1.8,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Lithuania A Lyga,2021,2021-03-16 12:00:00,1,Žalgiris,Trakai,2,0,2,"['25', '43']",[],1.15,6.5,9.0,1.5,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Lithuania A Lyga,2021,2021-03-19 13:00:00,4,Sūduva,Nevėžis,1,0,1,['15'],[],1.15,6.0,10.5,1.67,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lithuania A Lyga,2021,2021-03-20 08:00:00,4,Kauno Žalgiris,Trakai,2,1,3,"['3', '57']",['53'],1.42,4.4,6.95,1.81,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Lithuania A Lyga,2021,2021-03-20 10:00:00,4,Panevėžys,Banga,4,2,6,"['26', '48', '64', '72']","['39', '90+5']",1.67,3.74,4.76,1.91,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Lithuania A Lyga,2021,2021-03-20 14:00:00,4,Žalgiris,Hegelmann Litauen,2,0,2,"['32', '46']",[],1.32,4.94,8.6,1.75,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Lithuania A Lyga,2021,2021-03-21 10:00:00,4,Dainava,Džiugas Telšiai,1,1,2,['81'],['49'],2.55,3.05,2.45,2.21,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Lithuania A Lyga,2021,2021-04-02 11:00:00,5,Hegelmann Litauen,Nevėžis,2,0,2,"['35', '39']",[],2.15,3.6,2.88,1.7,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Lithuania A Lyga,2021,2021-04-02 12:00:00,5,Trakai,Dainava,2,2,4,"['38', '50']","['53', '89']",2.1,3.6,2.75,1.7,1.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Lithuania A Lyga,2021,2021-04-02 14:00:00,5,Banga,Sūduva,1,2,3,['32'],"['29', '61']",5.2,4.2,1.53,1.62,1.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Lithuania A Lyga,2021,2021-04-03 10:00:00,5,Džiugas Telšiai,Kauno Žalgiris,1,1,2,['42'],['40'],6.0,4.2,1.47,1.85,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Lithuania A Lyga,2021,2021-04-07 12:00:00,6,Sūduva,Kauno Žalgiris,2,1,3,"['26', '53']",['61'],1.75,3.44,4.55,2.28,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Lithuania A Lyga,2021,2021-04-07 14:00:00,6,Žalgiris,Banga,2,0,2,"['62', '78']",[],1.21,5.75,9.5,1.52,2.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Lithuania A Lyga,2021,2021-04-08 11:00:00,6,Džiugas Telšiai,Nevėžis,3,0,3,"['62', '68', '85']",[],1.81,3.68,3.75,1.8,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Lithuania A Lyga,2021,2021-04-08 12:00:00,6,Hegelmann Litauen,Trakai,2,0,2,"['29', '67']",[],2.1,3.6,2.8,1.8,1.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Lithuania A Lyga,2021,2021-04-09 12:00:00,6,Dainava,Panevėžys,1,3,4,['3'],"['14', '63', '75']",4.2,4.12,1.64,1.68,1.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Lithuania A Lyga,2021,2021-04-11 09:00:00,7,Kauno Žalgiris,Žalgiris,0,1,1,[],['78'],3.3,3.5,2.05,1.88,1.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Lithuania A Lyga,2021,2021-04-12 12:00:00,7,Sūduva,Džiugas Telšiai,2,1,3,"['33', '87']",['34'],1.32,4.55,7.0,1.74,2.02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Lithuania A Lyga,2021,2021-04-12 14:00:00,7,Trakai,Nevėžis,4,0,4,"['22', '24', '84', '88']",[],2.0,3.5,3.0,1.8,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Lithuania A Lyga,2021,2021-04-13 11:00:00,7,Panevėžys,Hegelmann Litauen,2,2,4,"['3', '8']","['11', '20']",1.57,3.75,4.75,1.6,1.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Lithuania A Lyga,2021,2021-04-13 13:00:00,7,Banga,Dainava,2,0,2,"['16', '74']",[],2.13,3.1,2.95,1.66,1.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,Lithuania A Lyga,2021,2021-04-16 11:00:00,8,Džiugas Telšiai,Trakai,1,4,5,['63'],"['12', '46', '50', '52']",2.15,3.25,3.0,1.81,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Lithuania A Lyga,2021,2021-04-16 12:00:00,8,Žalgiris,Sūduva,1,2,3,['45+1'],"['29', '86']",1.74,3.45,4.05,1.95,1.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Lithuania A Lyga,2021,2021-04-16 14:00:00,8,Dainava,Kauno Žalgiris,0,1,1,[],['50'],5.75,4.3,1.44,1.55,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lithuania A Lyga,2021,2021-04-17 07:00:00,8,Panevėžys,Nevėžis,4,2,6,"['15', '37', '84', '90+2']","['27', '61']",1.17,6.0,11.0,1.44,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,Lithuania A Lyga,2021,2021-04-17 09:00:00,8,Hegelmann Litauen,Banga,0,1,1,[],['41'],2.0,3.2,3.3,1.89,1.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Lithuania A Lyga,2021,2021-04-20 11:00:00,9,Žalgiris,Džiugas Telšiai,2,2,4,"['22', '75']","['68', '77']",1.12,6.75,11.0,1.48,2.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Lithuania A Lyga,2021,2021-04-20 13:00:00,9,Sūduva,Dainava,3,1,4,"['3', '6', '13']",['74'],1.12,6.75,10.25,1.54,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Lithuania A Lyga,2021,2021-04-20 15:00:00,9,Trakai,Panevėžys,2,0,2,"['18', '61']",[],3.58,3.6,1.88,1.67,1.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Lithuania A Lyga,2021,2021-04-21 12:00:00,18,Hegelmann Litauen,Kauno Žalgiris,2,3,5,"['3', '90+1']","['18', '45', '64']",4.75,3.45,1.5,2.0,2.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,Lithuania A Lyga,2021,2021-04-21 14:00:00,9,Banga,Nevėžis,5,2,7,"['19', '43', '44', '55', '88']","['50', '90']",1.32,4.15,7.0,1.69,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,Lithuania A Lyga,2021,2021-04-23 12:00:00,10,Trakai,Žalgiris,1,1,2,['76'],['73'],7.0,4.35,1.3,1.57,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Lithuania A Lyga,2021,2021-04-24 11:00:00,10,Hegelmann Litauen,Džiugas Telšiai,1,1,2,['51'],['53'],2.1,3.1,3.05,1.95,1.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Lithuania A Lyga,2021,2021-04-24 13:00:00,10,Nevėžis,Dainava,0,1,1,[],['86'],1.95,3.45,3.0,1.54,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
