Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1319291,Malta Maltese Premier League,2021/2022,2021-08-12 15:00:00,1,Balzan,Sliema Wanderers,1,0,1,['90+3'],[],2.87,3.2,2.2,1.8,1.91,1.65,1.95
2,1319288,Malta Maltese Premier League,2021/2022,2021-08-13 15:00:00,1,Gudja United,Sirens,0,1,1,[],['48'],2.6,3.4,2.3,1.72,2.12,1.62,2.2
3,1319289,Malta Maltese Premier League,2021/2022,2021-08-13 15:00:00,1,Hamrun Spartans,Valletta,1,2,3,['42'],"['69', '74']",1.22,4.33,3.6,1.53,2.4,1.73,2.0
4,1319287,Malta Maltese Premier League,2021/2022,2021-08-14 15:00:00,1,Mosta,Birkirkara,0,3,3,[],"['52', '90', '90+4']",2.8,3.8,1.35,1.5,2.5,1.5,2.27
5,1319292,Malta Maltese Premier League,2021/2022,2021-08-14 15:00:00,1,Floriana,Santa Lucia,2,2,4,"['51', '77']","['20', '52']",2.2,3.25,2.5,1.65,1.95,1.57,2.05
6,1319290,Malta Maltese Premier League,2021/2022,2021-08-16 15:00:00,1,Gzira United,Hibernians,1,3,4,['24'],"['13', '50', '74']",2.4,3.5,2.4,1.57,2.4,1.67,2.1
7,1319293,Malta Maltese Premier League,2021/2022,2021-08-20 14:00:00,2,Sirens,Mosta,1,1,2,['65'],['60'],1.8,3.3,1.85,1.73,2.08,1.63,2.22
8,1319294,Malta Maltese Premier League,2021/2022,2021-08-20 14:00:00,2,Sliema Wanderers,Floriana,0,0,0,[],[],1.62,3.6,2.05,1.8,2.0,1.77,2.0
9,1319296,Malta Maltese Premier League,2021/2022,2021-08-21 14:00:00,2,Valletta,Balzan,1,0,1,['43'],[],1.58,3.4,2.15,1.85,1.95,1.81,1.96
10,1319295,Malta Maltese Premier League,2021/2022,2021-08-21 14:00:00,2,Birkirkara,Hamrun Spartans,2,1,3,"['40', '58']",['31'],1.88,3.5,1.78,1.8,2.0,1.8,1.96
11,1319297,Malta Maltese Premier League,2021/2022,2021-08-22 14:00:00,2,Santa Lucia,Gzira United,1,1,2,['11'],['84'],4.2,4.0,1.65,1.67,2.15,0.0,0.0
12,1319298,Malta Maltese Premier League,2021/2022,2021-08-22 14:00:00,2,Hibernians,Gudja United,2,1,3,"['38', '90+4']",['50'],1.15,5.0,4.4,1.57,2.35,1.75,2.03
13,1319299,Malta Maltese Premier League,2021/2022,2021-09-11 12:00:00,3,Mosta,Hamrun Spartans,1,2,3,['12'],"['13', '63']",3.9,4.2,1.19,1.48,2.6,1.55,2.3
14,1319300,Malta Maltese Premier League,2021/2022,2021-09-11 14:00:00,3,Floriana,Valletta,3,0,3,"['38', '87', '90+4']",[],3.45,3.5,1.9,1.87,1.83,1.77,2.0
15,1319301,Malta Maltese Premier League,2021/2022,2021-09-11 16:00:00,3,Gzira United,Sliema Wanderers,1,1,2,['6'],['60'],1.57,4.1,4.6,1.9,1.82,1.73,2.05
16,1319302,Malta Maltese Premier League,2021/2022,2021-09-12 12:00:00,3,Sirens,Hibernians,1,3,4,['82'],"['14', '18', '85']",3.0,3.8,1.3,1.57,2.25,1.7,2.1
17,1319303,Malta Maltese Premier League,2021/2022,2021-09-12 14:00:00,3,Balzan,Birkirkara,1,2,3,['39'],"['2', '45+1']",3.6,3.75,1.22,1.9,1.9,1.82,1.94
18,1319304,Malta Maltese Premier League,2021/2022,2021-09-12 16:00:00,3,Gudja United,Santa Lucia,2,2,4,"['14', '54']","['45+3', '80']",2.1,3.4,2.9,1.85,1.95,1.65,1.95
19,1319305,Malta Maltese Premier League,2021/2022,2021-09-18 12:00:00,4,Santa Lucia,Sirens,1,3,4,['-1'],"['-1', '-1', '-1']",1.68,3.25,2.1,1.9,1.9,1.8,1.91
20,1319306,Malta Maltese Premier League,2021/2022,2021-09-18 14:00:00,4,Valletta,Gzira United,0,2,2,[],"['40', '76']",2.9,3.3,2.15,1.8,1.95,1.8,1.91
21,1319307,Malta Maltese Premier League,2021/2022,2021-09-18 16:00:00,4,Hibernians,Mosta,3,2,5,"['18', '50', '57']","['85', '90+2']",1.31,4.45,6.75,1.53,2.15,1.8,1.74
22,1319308,Malta Maltese Premier League,2021/2022,2021-09-19 12:00:00,4,Birkirkara,Floriana,1,1,2,['46'],['39'],1.36,3.5,2.9,2.08,1.73,2.0,1.73
23,1319309,Malta Maltese Premier League,2021/2022,2021-09-19 14:00:00,4,Sliema Wanderers,Gudja United,2,3,5,"['24', '44']","['20', '51', '57']",1.33,3.75,3.1,1.9,1.9,1.91,1.8
24,1319310,Malta Maltese Premier League,2021/2022,2021-09-19 16:00:00,4,Hamrun Spartans,Balzan,0,1,1,[],['29'],1.1,4.5,6.0,1.73,2.08,2.1,1.67
25,1319311,Malta Maltese Premier League,2021/2022,2021-09-25 12:00:00,5,Gudja United,Valletta,2,0,2,"['43', '70']",[],2.25,3.2,1.52,1.9,1.9,1.72,2.0
26,1319312,Malta Maltese Premier League,2021/2022,2021-09-25 14:00:00,5,Floriana,Hamrun Spartans,1,2,3,['53'],"['19', '29']",4.9,3.7,1.6,1.77,2.05,1.7,2.0
27,1319313,Malta Maltese Premier League,2021/2022,2021-09-25 16:00:00,5,Hibernians,Santa Lucia,1,1,2,['32'],['7'],1.25,5.25,10.0,1.57,2.25,1.78,1.9
28,1319314,Malta Maltese Premier League,2021/2022,2021-09-26 12:00:00,5,Gzira United,Birkirkara,1,1,2,['37'],['34'],2.1,3.2,1.65,1.85,1.95,1.7,2.1
29,1319315,Malta Maltese Premier League,2021/2022,2021-09-26 14:00:00,5,Sirens,Sliema Wanderers,2,2,4,"['76', '81']","['47', '88']",1.83,3.2,1.87,1.9,1.9,1.7,2.1
30,1319316,Malta Maltese Premier League,2021/2022,2021-09-26 16:00:00,5,Mosta,Balzan,2,1,3,"['16', '77']",['2'],1.9,3.25,1.8,1.8,2.0,1.67,2.15
31,1414205,Malta Maltese Premier League,2021/2022,2021-10-16 10:00:00,6,Balzan,Floriana,1,2,3,['48'],"['27', '66']",2.45,3.6,2.45,1.62,2.15,1.73,2.0
32,1414206,Malta Maltese Premier League,2021/2022,2021-10-16 12:00:00,6,Hamrun Spartans,Gzira United,0,1,1,[],['85'],1.68,3.5,2.05,1.58,2.24,1.67,2.1
33,1414207,Malta Maltese Premier League,2021/2022,2021-10-16 14:00:00,6,Birkirkara,Gudja United,2,0,2,"['10', '90+2']",[],1.35,4.4,5.8,1.79,1.94,1.8,1.91
34,1414208,Malta Maltese Premier League,2021/2022,2021-10-17 10:00:00,6,Sliema Wanderers,Hibernians,0,3,3,[],"['34', '57', '61']",4.82,4.0,1.55,1.64,2.12,1.83,1.83
35,1414209,Malta Maltese Premier League,2021/2022,2021-10-17 12:00:00,6,Valletta,Sirens,3,1,4,"['2', '82', '90+2']",['86'],1.55,3.5,2.3,1.9,1.9,1.83,1.83
36,1414210,Malta Maltese Premier League,2021/2022,2021-10-17 14:00:00,6,Santa Lucia,Mosta,2,2,4,"['51', '90+1']","['22', '74']",1.63,3.75,2.15,1.7,2.1,1.67,2.1
37,1414211,Malta Maltese Premier League,2021/2022,2021-10-23 10:00:00,7,Gudja United,Hamrun Spartans,1,3,4,['84'],"['44', '64', '78']",2.95,3.42,2.05,1.65,2.12,1.65,2.1
38,1414213,Malta Maltese Premier League,2021/2022,2021-10-23 14:00:00,7,Mosta,Floriana,1,1,2,['83'],['21'],3.25,3.25,2.0,1.8,1.91,1.72,2.0
39,1414212,Malta Maltese Premier League,2021/2022,2021-10-23 15:00:00,7,Gzira United,Balzan,1,2,3,['59'],"['68', '69']",1.88,3.62,3.66,1.91,1.79,1.88,1.82
40,1414214,Malta Maltese Premier League,2021/2022,2021-10-24 10:00:00,7,Santa Lucia,Sliema Wanderers,0,0,0,[],[],2.3,3.0,2.8,1.83,1.88,1.73,2.0
41,1414215,Malta Maltese Premier League,2021/2022,2021-10-24 12:00:00,7,Hibernians,Valletta,1,1,2,['36'],['80'],1.15,4.75,4.75,1.73,2.08,2.0,1.73
42,1414216,Malta Maltese Premier League,2021/2022,2021-10-24 14:00:00,7,Sirens,Birkirkara,3,2,5,"['53', '72', '74']","['13', '39']",2.9,3.5,1.36,1.65,2.2,1.67,2.1
43,1414217,Malta Maltese Premier League,2021/2022,2021-10-30 10:00:00,8,Birkirkara,Hibernians,1,1,2,['41'],['46'],2.3,3.7,2.45,1.63,2.15,1.57,2.33
44,1414218,Malta Maltese Premier League,2021/2022,2021-10-30 12:00:00,8,Valletta,Santa Lucia,5,3,8,"['3', '4', '45+2', '63', '73']","['30', '50', '90+1']",1.5,3.5,2.35,2.0,1.81,1.8,1.96
45,1414219,Malta Maltese Premier League,2021/2022,2021-10-30 14:00:00,8,Hamrun Spartans,Sirens,1,0,1,['64'],[],1.15,4.0,4.3,1.57,2.28,1.85,1.91
46,1414220,Malta Maltese Premier League,2021/2022,2021-10-31 11:00:00,8,Balzan,Gudja United,1,0,1,['18'],[],1.67,3.55,4.0,1.75,2.08,1.7,2.1
47,1414221,Malta Maltese Premier League,2021/2022,2021-10-31 13:00:00,8,Floriana,Gzira United,2,1,3,"['78', '88']",['5'],2.0,3.6,1.72,1.98,1.83,1.73,2.06
48,1414222,Malta Maltese Premier League,2021/2022,2021-10-31 15:00:00,8,Sliema Wanderers,Mosta,2,3,5,"['70', '79']","['38', '74', '83']",1.68,3.5,2.05,1.9,1.9,1.7,2.1
49,1414223,Malta Maltese Premier League,2021/2022,2021-11-20 10:00:00,9,Mosta,Gzira United,2,2,4,"['45', '69']","['22', '39']",3.2,3.38,2.09,1.65,2.1,1.74,2.04
50,1414224,Malta Maltese Premier League,2021/2022,2021-11-20 12:00:00,9,Sliema Wanderers,Valletta,2,1,3,"['48', '85']",['12'],2.35,3.3,1.52,1.98,1.83,1.7,2.1
51,1414225,Malta Maltese Premier League,2021/2022,2021-11-20 14:00:00,9,Gudja United,Floriana,0,1,1,[],['53'],2.75,3.5,1.4,1.65,2.2,1.68,2.13
52,1414226,Malta Maltese Premier League,2021/2022,2021-11-21 07:30:00,9,Santa Lucia,Birkirkara,2,0,2,"['25', '34']",[],5.6,4.24,1.5,1.67,2.1,1.77,1.93
53,1414227,Malta Maltese Premier League,2021/2022,2021-11-21 10:00:00,9,Sirens,Balzan,1,6,7,['78'],"['7', '16', '33', '37', '42', '88']",2.49,3.52,2.49,1.67,2.21,1.55,2.3
54,1414228,Malta Maltese Premier League,2021/2022,2021-11-21 14:00:00,9,Hibernians,Hamrun Spartans,1,0,1,['21'],[],1.72,3.25,2.0,1.95,1.85,1.62,2.15
55,1414229,Malta Maltese Premier League,2021/2022,2021-11-27 10:00:00,10,Floriana,Sirens,1,2,3,['46'],"['32', '69']",1.87,3.25,3.7,1.87,1.83,1.82,1.88
56,1414230,Malta Maltese Premier League,2021/2022,2021-11-27 12:00:00,10,Birkirkara,Sliema Wanderers,2,0,2,"['51', '67']",[],1.3,3.8,3.0,1.8,2.0,1.78,1.95
57,1414231,Malta Maltese Premier League,2021/2022,2021-11-27 14:00:00,10,Valletta,Mosta,3,1,4,"['18', '45+2', '53']",['84'],1.38,4.0,2.65,1.67,2.15,1.6,2.2
58,1414232,Malta Maltese Premier League,2021/2022,2021-11-28 10:00:00,10,Gzira United,Gudja United,3,2,5,"['17', '66', '69']","['52', '83']",1.37,4.4,7.0,1.73,2.0,2.0,1.74
59,1414233,Malta Maltese Premier League,2021/2022,2021-11-28 12:00:00,10,Hamrun Spartans,Santa Lucia,3,0,3,"['3', '27', '66']",[],1.12,4.5,5.75,1.73,2.08,1.95,1.74
60,1414234,Malta Maltese Premier League,2021/2022,2021-11-28 14:00:00,10,Balzan,Hibernians,1,2,3,['37'],"['31', '47']",3.1,3.6,1.31,1.95,1.85,1.74,1.95
61,1414235,Malta Maltese Premier League,2021/2022,2021-12-04 10:00:00,11,Mosta,Gudja United,0,3,3,[],"['1', '34', '39']",1.52,3.78,4.89,1.73,2.11,1.73,2.05
62,1414236,Malta Maltese Premier League,2021/2022,2021-12-04 12:00:00,11,Valletta,Birkirkara,0,0,0,[],[],2.2,3.4,1.55,1.85,1.95,1.7,2.1
63,1414237,Malta Maltese Premier League,2021/2022,2021-12-04 14:00:00,11,Sirens,Gzira United,1,3,4,['39'],"['28', '49', '79']",2.3,3.6,1.5,1.75,2.05,1.67,2.15
64,1414238,Malta Maltese Premier League,2021/2022,2021-12-05 07:30:00,11,Sliema Wanderers,Hamrun Spartans,0,2,2,[],"['51', '71']",5.65,4.1,1.5,1.79,1.9,1.83,1.87
65,1414239,Malta Maltese Premier League,2021/2022,2021-12-05 12:00:00,11,Hibernians,Floriana,0,0,0,[],[],1.55,3.4,2.3,1.95,1.85,1.75,1.95
66,1414240,Malta Maltese Premier League,2021/2022,2021-12-05 14:00:00,11,Santa Lucia,Balzan,3,3,6,"['7', '68', '87']","['24', '34', '72']",2.75,3.5,1.4,1.53,2.4,1.52,2.35
67,1414241,Malta Maltese Premier League,2021/2022,2021-12-11 10:00:00,12,Santa Lucia,Floriana,1,3,4,['55'],"['15', '26', '79']",2.45,3.5,1.45,1.85,1.95,1.7,2.05
68,1414245,Malta Maltese Premier League,2021/2022,2021-12-12 10:00:00,12,Birkirkara,Mosta,2,2,4,"['48', '78']","['12', '56']",1.37,4.27,6.35,1.68,2.07,1.95,1.74
69,1414246,Malta Maltese Premier League,2021/2022,2021-12-12 14:00:00,12,Hibernians,Gzira United,3,1,4,"['32', '58', '74']",['4'],1.87,4.0,1.83,1.7,2.1,1.66,2.1
70,1414244,Malta Maltese Premier League,2021/2022,2021-12-13 10:00:00,12,Sirens,Gudja United,0,0,0,[],[],1.67,4.2,4.18,1.6,2.2,1.52,2.35
71,1414242,Malta Maltese Premier League,2021/2022,2021-12-13 14:00:00,12,Valletta,Hamrun Spartans,0,1,1,[],['59'],2.3,3.4,1.5,1.85,1.95,1.69,2.11
72,1414247,Malta Maltese Premier League,2021/2022,2021-12-18 10:00:00,13,Gzira United,Santa Lucia,2,2,4,"['35', '41']","['2', '30']",1.48,3.64,4.59,1.72,2.12,2.01,1.76
73,1414249,Malta Maltese Premier League,2021/2022,2021-12-18 14:00:00,13,Mosta,Sirens,2,3,5,"['59', '79']","['9', '42', '83']",2.05,3.4,1.68,1.7,2.1,1.63,2.22
74,1414250,Malta Maltese Premier League,2021/2022,2021-12-19 07:30:00,13,Gudja United,Hibernians,1,2,3,['58'],"['18', '90+3']",8.0,4.74,1.34,1.74,2.09,2.03,1.75
75,1414251,Malta Maltese Premier League,2021/2022,2021-12-19 10:00:00,13,Floriana,Sliema Wanderers,2,0,2,"['59', '83']",[],1.58,3.88,5.25,1.9,1.9,2.14,1.67
76,1414252,Malta Maltese Premier League,2021/2022,2021-12-19 14:00:00,13,Balzan,Valletta,2,1,3,"['26', '85']",['64'],1.66,3.3,2.1,1.98,1.83,1.66,2.16
77,1502850,Malta Maltese Premier League,2021/2022,2022-01-17 15:00:00,14,Hamrun Spartans,Mosta,2,1,3,"['34', '50']",['40'],1.29,4.0,3.4,1.67,2.15,1.83,1.91
78,1502848,Malta Maltese Premier League,2021/2022,2022-01-17 15:00:00,14,Valletta,Floriana,0,2,2,[],"['24', '63']",1.8,3.2,1.91,1.85,1.95,1.73,2.0
79,1502847,Malta Maltese Premier League,2021/2022,2022-01-18 13:00:00,14,Sliema Wanderers,Gzira United,1,3,4,['87'],"['12', '18', '70']",2.6,3.4,1.4,1.85,1.95,1.75,1.95
80,1502851,Malta Maltese Premier League,2021/2022,2022-01-18 15:00:00,14,Hibernians,Sirens,1,1,2,['15'],['72'],1.4,3.6,2.55,1.75,2.05,1.68,2.1
81,1502849,Malta Maltese Premier League,2021/2022,2022-01-19 13:00:00,14,Santa Lucia,Gudja United,0,3,3,[],"['44', '52', '56']",1.8,3.4,1.82,1.85,1.95,1.68,2.05
82,1502852,Malta Maltese Premier League,2021/2022,2022-01-19 17:00:00,14,Birkirkara,Balzan,3,2,5,"['86', '90+2', '90+5']","['31', '43']",1.55,3.6,2.2,2.0,1.8,1.78,1.99
83,1502854,Malta Maltese Premier League,2021/2022,2022-01-22 10:00:00,15,Balzan,Hamrun Spartans,2,2,4,"['29', '40']","['63', '90+1']",3.8,3.6,1.66,1.65,2.12,1.57,2.25
84,1502857,Malta Maltese Premier League,2021/2022,2022-01-22 12:00:00,15,Mosta,Hibernians,1,1,2,['51'],['14'],3.15,3.5,1.28,1.5,2.5,1.65,2.18
85,1502853,Malta Maltese Premier League,2021/2022,2022-01-22 14:00:00,15,Gudja United,Sliema Wanderers,1,0,1,['23'],[],1.62,3.4,2.1,1.9,1.9,1.79,1.98
86,1502856,Malta Maltese Premier League,2021/2022,2022-01-23 10:00:00,15,Gzira United,Valletta,1,1,2,['83'],['81'],2.15,3.6,2.75,1.88,1.81,1.7,2.05
87,1502855,Malta Maltese Premier League,2021/2022,2022-01-23 12:00:00,15,Sirens,Santa Lucia,2,1,3,"['28', '66']",['27'],1.5,4.0,2.45,1.58,2.23,1.5,2.4
88,1502858,Malta Maltese Premier League,2021/2022,2022-01-23 14:00:00,15,Floriana,Birkirkara,1,0,1,['16'],[],1.9,3.5,1.85,1.75,2.05,1.85,1.91
89,1414248,Malta Maltese Premier League,2021/2022,2022-01-26 15:00:00,13,Hamrun Spartans,Birkirkara,0,0,0,[],[],1.48,3.5,2.35,1.9,1.9,1.7,2.05
90,1414243,Malta Maltese Premier League,2021/2022,2022-01-26 15:00:00,12,Sliema Wanderers,Balzan,1,0,1,['38'],[],3.05,3.75,1.32,1.73,2.08,1.73,2.06
91,1502859,Malta Maltese Premier League,2021/2022,2022-01-29 10:00:00,16,Santa Lucia,Hibernians,0,0,0,[],[],4.17,3.69,1.72,1.57,2.25,1.83,1.83
92,1502860,Malta Maltese Premier League,2021/2022,2022-01-29 12:00:00,16,Sliema Wanderers,Sirens,1,0,1,['55'],[],1.95,3.5,1.7,2.03,1.78,1.83,1.83
93,1502861,Malta Maltese Premier League,2021/2022,2022-01-29 14:00:00,16,Balzan,Mosta,2,3,5,"['8', '42']","['18', '34', '84']",1.38,3.8,2.7,1.7,2.1,1.73,2.0
94,1502862,Malta Maltese Premier League,2021/2022,2022-01-30 10:00:00,16,Hamrun Spartans,Floriana,2,2,4,"['59', '66']","['12', '64']",1.81,3.25,3.7,1.96,1.75,1.74,2.0
95,1502863,Malta Maltese Premier League,2021/2022,2022-01-30 12:00:00,16,Valletta,Gudja United,1,3,4,['67'],"['6', '22', '90+1']",1.52,3.5,2.35,2.0,1.8,1.71,2.0
96,1502864,Malta Maltese Premier League,2021/2022,2022-01-30 14:00:00,16,Birkirkara,Gzira United,1,0,1,['8'],[],1.62,3.4,2.05,1.95,1.85,1.66,2.16
97,1502865,Malta Maltese Premier League,2021/2022,2022-02-05 10:00:00,17,Mosta,Santa Lucia,1,0,1,['36'],[],1.93,3.3,3.3,1.56,2.27,1.45,2.5
98,1502866,Malta Maltese Premier League,2021/2022,2022-02-05 12:00:00,17,Gzira United,Hamrun Spartans,4,1,5,"['52', '54', '59', '88']",['49'],2.3,3.5,1.54,1.75,2.05,1.64,2.1
99,1502867,Malta Maltese Premier League,2021/2022,2022-02-05 14:00:00,17,Hibernians,Sliema Wanderers,1,0,1,['20'],[],1.41,4.12,6.47,1.84,1.91,1.85,1.85
100,1502868,Malta Maltese Premier League,2021/2022,2022-02-06 07:30:00,17,Floriana,Balzan,2,1,3,"['31', '89']",['67'],1.87,3.25,3.7,1.91,1.8,1.82,1.88
101,1502869,Malta Maltese Premier League,2021/2022,2022-02-06 10:00:00,17,Gudja United,Birkirkara,0,1,1,[],['20'],4.0,3.5,1.73,1.67,2.1,1.67,2.07
102,1502870,Malta Maltese Premier League,2021/2022,2022-02-06 14:00:00,17,Sirens,Valletta,2,1,3,"['12', '23']",['5'],2.0,3.4,1.68,1.7,2.1,1.6,2.27
103,1502871,Malta Maltese Premier League,2021/2022,2022-02-12 10:00:00,18,Floriana,Mosta,2,0,2,"['68', '90+3']",[],1.8,3.6,3.75,1.76,1.95,1.75,1.95
104,1502872,Malta Maltese Premier League,2021/2022,2022-02-12 12:00:00,18,Valletta,Hibernians,1,4,5,['78'],"['2', '27', '71', '79']",2.15,3.25,1.62,1.95,1.85,1.72,2.0
105,1502873,Malta Maltese Premier League,2021/2022,2022-02-12 14:00:00,18,Balzan,Gzira United,1,3,4,['18'],"['12', '50', '84']",2.15,3.3,1.63,1.7,2.1,1.57,2.25
106,1502874,Malta Maltese Premier League,2021/2022,2022-02-13 10:00:00,18,Hamrun Spartans,Gudja United,0,1,1,[],['79'],1.85,3.5,3.6,1.84,1.67,1.9,1.8
107,1502875,Malta Maltese Premier League,2021/2022,2022-02-13 12:00:00,18,Sliema Wanderers,Santa Lucia,1,1,2,['45+2'],['13'],1.66,3.5,2.1,2.08,1.73,1.75,1.95
108,1502876,Malta Maltese Premier League,2021/2022,2022-02-13 14:00:00,18,Birkirkara,Sirens,1,1,2,['25'],['28'],1.47,3.6,2.5,2.0,1.8,1.78,1.95
109,1502877,Malta Maltese Premier League,2021/2022,2022-02-19 10:00:00,19,Gudja United,Balzan,1,0,1,['30'],[],1.84,3.12,3.27,1.75,1.75,1.73,2.0
110,1502878,Malta Maltese Premier League,2021/2022,2022-02-19 12:00:00,19,Hibernians,Birkirkara,2,3,5,"['49', '79']","['24', '43', '83']",1.4,3.4,2.75,1.95,1.85,1.8,1.9
111,1502879,Malta Maltese Premier League,2021/2022,2022-02-19 14:00:00,19,Sirens,Hamrun Spartans,1,1,2,['62'],['42'],2.6,3.2,1.44,2.0,1.8,1.68,2.05
112,1502880,Malta Maltese Premier League,2021/2022,2022-02-20 07:30:00,19,Mosta,Sliema Wanderers,1,0,1,['27'],[],2.01,3.25,2.92,2.0,1.7,1.8,1.96
113,1502881,Malta Maltese Premier League,2021/2022,2022-02-20 10:00:00,19,Santa Lucia,Valletta,2,1,3,"['4', '62']",['72'],2.6,3.2,2.4,1.78,1.99,1.66,2.16
114,1502882,Malta Maltese Premier League,2021/2022,2022-02-20 14:00:00,19,Gzira United,Floriana,1,2,3,['88'],"['10', '40']",1.9,3.5,1.8,1.88,1.93,1.7,2.09
115,1502883,Malta Maltese Premier League,2021/2022,2022-02-26 10:00:00,20,Valletta,Sliema Wanderers,1,0,1,['53'],[],1.71,3.52,4.6,1.91,1.81,1.99,1.78
116,1502884,Malta Maltese Premier League,2021/2022,2022-02-26 12:00:00,20,Hamrun Spartans,Hibernians,0,0,0,[],[],1.58,3.6,2.15,2.14,1.64,1.82,1.9
117,1502885,Malta Maltese Premier League,2021/2022,2022-02-26 14:00:00,20,Floriana,Gudja United,2,0,2,"['67', '80']",[],1.54,3.62,5.1,1.95,1.75,1.85,1.85
118,1502886,Malta Maltese Premier League,2021/2022,2022-02-27 10:00:00,20,Birkirkara,Santa Lucia,2,3,5,"['75', '89']","['22', '55', '64']",1.53,3.92,5.55,1.81,1.89,1.68,2.05
119,1502887,Malta Maltese Premier League,2021/2022,2022-02-27 12:00:00,20,Balzan,Sirens,2,1,3,"['28', '35']",['90+5'],1.83,3.4,1.87,1.8,2.0,1.63,2.15
120,1502888,Malta Maltese Premier League,2021/2022,2022-02-27 14:00:00,20,Gzira United,Mosta,3,4,7,"['6', '24', '34']","['14', '52', '65', '71']",1.28,3.75,3.3,1.73,2.08,1.68,2.05
121,1502889,Malta Maltese Premier League,2021/2022,2022-03-05 10:00:00,21,Gudja United,Gzira United,1,2,3,['70'],"['27', '39']",2.9,3.26,2.33,2.05,1.77,1.71,2.08
122,1502890,Malta Maltese Premier League,2021/2022,2022-03-05 12:00:00,21,Hibernians,Balzan,1,0,1,['86'],[],1.35,3.4,2.8,1.9,1.9,1.8,1.96
123,1502891,Malta Maltese Premier League,2021/2022,2022-03-05 14:00:00,21,Mosta,Valletta,2,2,4,"['57', '59']","['71', '90+1']",2.55,3.2,2.4,1.7,2.0,1.66,2.15
124,1502892,Malta Maltese Premier League,2021/2022,2022-03-06 10:00:00,21,Santa Lucia,Hamrun Spartans,0,1,1,[],['79'],3.8,3.45,1.85,1.73,2.0,1.7,2.1
125,1502893,Malta Maltese Premier League,2021/2022,2022-03-06 10:00:00,21,Sirens,Floriana,0,3,3,[],"['37', '44', '56']",2.95,3.2,2.2,1.96,1.86,1.74,2.04
