Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Malta Maltese Premier League,2021/2022,2021-08-12 15:00:00,1,Balzan,Sliema Wanderers,1,0,1,['90+3'],[],2.87,3.2,2.2,1.8,1.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Malta Maltese Premier League,2021/2022,2021-08-13 15:00:00,1,Gudja United,Sirens,0,1,1,[],['48'],2.6,3.4,2.3,1.72,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Malta Maltese Premier League,2021/2022,2021-08-13 15:00:00,1,Hamrun Spartans,Valletta,1,2,3,['42'],"['69', '74']",1.22,4.33,3.6,1.53,1.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Malta Maltese Premier League,2021/2022,2021-08-14 15:00:00,1,Mosta,Birkirkara,0,3,3,[],"['52', '90', '90+4']",2.8,3.8,1.35,1.5,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Malta Maltese Premier League,2021/2022,2021-08-14 15:00:00,1,Floriana,Santa Lucia,2,2,4,"['51', '77']","['20', '52']",2.2,3.25,2.5,1.65,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Malta Maltese Premier League,2021/2022,2021-08-16 15:00:00,1,Gzira United,Hibernians,1,3,4,['24'],"['13', '50', '74']",2.4,3.5,2.4,1.57,1.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Malta Maltese Premier League,2021/2022,2021-08-20 14:00:00,2,Sirens,Mosta,1,1,2,['65'],['60'],1.8,3.3,1.85,1.73,1.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Malta Maltese Premier League,2021/2022,2021-08-20 14:00:00,2,Sliema Wanderers,Floriana,0,0,0,[],[],1.62,3.6,2.05,1.8,1.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Malta Maltese Premier League,2021/2022,2021-08-21 14:00:00,2,Valletta,Balzan,1,0,1,['43'],[],1.58,3.4,2.15,1.85,1.81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Malta Maltese Premier League,2021/2022,2021-08-21 14:00:00,2,Birkirkara,Hamrun Spartans,2,1,3,"['40', '58']",['31'],1.88,3.5,1.78,1.8,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
