Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1282211,Mexico Liga MX,2021/2022,2021-07-22 23:00:00,1,Querétaro,América,0,0,0,[],[],3.75,3.3,2.0,2.3,1.61,2.1,1.69
2,1282212,Mexico Liga MX,2021/2022,2021-07-23 21:00:00,1,Necaxa,Santos Laguna,0,3,3,[],"['23', '42', '57']",2.65,3.15,2.65,2.25,1.62,1.91,1.87
3,1282213,Mexico Liga MX,2021/2022,2021-07-23 23:00:00,1,Juárez,Toluca,1,3,4,['35'],"['6', '64', '89']",2.6,3.1,2.8,2.15,1.67,1.91,1.83
4,1282214,Mexico Liga MX,2021/2022,2021-07-24 18:00:00,1,Pachuca,León,4,0,4,"['59', '61', '75', '90+1']",[],2.15,3.35,3.25,1.8,1.95,1.69,2.1
5,1282215,Mexico Liga MX,2021/2022,2021-07-24 23:00:00,1,Guadalajara,Atlético San Luis,1,2,3,['78'],"['12', '65']",1.71,3.4,5.25,2.2,1.65,2.1,1.71
6,1282216,Mexico Liga MX,2021/2022,2021-07-25 14:00:00,1,Pumas UNAM,Atlas,0,0,0,[],[],3.65,3.25,2.2,2.22,1.58,2.1,1.69
7,1282217,Mexico Liga MX,2021/2022,2021-07-25 21:06:00,1,Monterrey,Puebla,1,1,2,['88'],['90'],1.71,3.6,4.9,1.95,1.83,1.91,1.83
8,1282218,Mexico Liga MX,2021/2022,2021-07-25 23:06:00,1,Tijuana,Tigres UANL,1,2,3,['74'],"['8', '56']",2.35,3.2,3.0,2.0,1.8,1.8,1.95
9,1282219,Mexico Liga MX,2021/2022,2021-07-26 22:00:00,1,Cruz Azul,Mazatlán,0,2,2,[],"['45+1', '66']",1.49,3.95,6.75,1.95,1.8,2.05,1.71
10,1282220,Mexico Liga MX,2021/2022,2021-07-30 21:00:00,2,Mazatlán,Pachuca,2,1,3,"['45+2', '83']",['20'],3.75,3.25,2.05,2.0,1.8,1.8,1.95
11,1282221,Mexico Liga MX,2021/2022,2021-07-30 23:05:00,2,Puebla,Guadalajara,0,2,2,[],"['55', '90+4']",2.1,3.1,3.8,2.45,1.53,2.15,1.65
12,1282226,Mexico Liga MX,2021/2022,2021-07-31 19:00:00,2,León,Tijuana,2,1,3,"['26', '90']",['90+8'],1.5,4.1,6.0,1.65,2.2,1.74,2.05
13,1282222,Mexico Liga MX,2021/2022,2021-07-31 21:00:00,2,América,Necaxa,2,1,3,"['40', '76']",['68'],1.59,3.65,6.0,2.0,1.77,2.0,1.74
14,1282223,Mexico Liga MX,2021/2022,2021-07-31 23:00:00,2,Monterrey,Pumas UNAM,2,0,2,"['2', '53']",[],1.38,4.6,7.5,1.71,2.1,1.95,1.8
15,1282224,Mexico Liga MX,2021/2022,2021-07-31 23:00:00,2,Atlas,Juárez,2,0,2,"['69', '90+3']",[],1.42,4.25,7.25,2.1,1.71,2.4,1.54
16,1282225,Mexico Liga MX,2021/2022,2021-08-01 14:00:00,2,Toluca,Tigres UANL,3,1,4,"['33', '84', '90+6']",['27'],2.2,3.3,3.15,2.0,1.8,1.83,1.91
17,1282227,Mexico Liga MX,2021/2022,2021-08-01 20:00:00,2,Santos Laguna,Cruz Azul,1,1,2,['82'],['64'],2.15,3.05,3.6,2.4,1.54,2.15,1.67
18,1282228,Mexico Liga MX,2021/2022,2021-08-02 23:00:00,2,Atlético San Luis,Querétaro,1,1,2,['3'],['62'],2.05,3.1,3.6,2.35,1.57,2.15,1.69
19,1282229,Mexico Liga MX,2021/2022,2021-08-05 23:05:00,3,Querétaro,León,0,1,1,[],['28'],3.2,3.15,2.2,1.95,1.83,1.77,2.05
20,1282230,Mexico Liga MX,2021/2022,2021-08-06 21:00:00,3,Mazatlán,Monterrey,1,1,2,['45+1'],['45+3'],3.25,3.15,2.15,2.0,1.8,1.8,1.95
21,1282231,Mexico Liga MX,2021/2022,2021-08-06 23:05:00,3,Necaxa,Cruz Azul,1,2,3,['28'],"['20', '71']",2.9,3.0,2.45,2.2,1.65,1.95,1.8
22,1282232,Mexico Liga MX,2021/2022,2021-08-06 23:06:00,3,Tijuana,Toluca,0,2,2,[],"['11', '80']",1.91,3.5,3.6,1.87,1.91,1.83,1.95
23,1282236,Mexico Liga MX,2021/2022,2021-08-07 19:00:00,3,Guadalajara,Juárez,2,2,4,"['15', '89']","['10', '51']",1.7,3.5,5.0,2.1,1.67,2.2,1.67
24,1282233,Mexico Liga MX,2021/2022,2021-08-07 21:00:00,3,América,Puebla,2,0,2,"['43', '54']",[],1.91,3.25,4.05,2.2,1.65,2.05,1.74
25,1282234,Mexico Liga MX,2021/2022,2021-08-07 23:00:00,3,Tigres UANL,Santos Laguna,1,1,2,['89'],['8'],2.05,3.15,3.55,2.25,1.62,2.1,1.71
26,1282235,Mexico Liga MX,2021/2022,2021-08-08 14:00:00,3,Pumas UNAM,Atlético San Luis,1,3,4,['39'],"['6', '32', '82']",2.35,3.0,3.0,2.2,1.65,1.95,1.8
27,1282237,Mexico Liga MX,2021/2022,2021-08-09 23:00:00,3,Pachuca,Atlas,0,1,1,[],['5'],2.55,2.9,2.9,2.5,1.5,2.2,1.67
28,1282238,Mexico Liga MX,2021/2022,2021-08-12 23:00:00,4,Atlético San Luis,Necaxa,0,2,2,[],"['41', '90+3']",2.75,3.25,2.4,2.0,1.8,1.83,1.95
29,1282239,Mexico Liga MX,2021/2022,2021-08-13 21:00:00,4,Puebla,Tigres UANL,1,1,2,['45+6'],['56'],2.5,3.0,2.85,2.4,1.56,2.1,1.71
30,1282240,Mexico Liga MX,2021/2022,2021-08-13 23:00:00,4,Juárez,Tijuana,1,1,2,['45+5'],['8'],2.7,3.0,2.65,2.25,1.61,2.0,1.77
31,1282244,Mexico Liga MX,2021/2022,2021-08-14 19:00:00,4,Pumas UNAM,Querétaro,0,0,0,[],[],2.0,3.4,3.6,2.1,1.68,2.0,1.77
32,1282241,Mexico Liga MX,2021/2022,2021-08-14 21:00:00,4,León,Mazatlán,3,0,3,"['42', '68', '80']",[],1.61,3.75,5.25,1.71,2.1,1.77,2.05
33,1282243,Mexico Liga MX,2021/2022,2021-08-14 23:00:00,4,Cruz Azul,Toluca,4,0,4,"['4', '5', '34', '71']",[],1.74,3.25,5.0,2.0,1.8,1.91,1.87
34,1282242,Mexico Liga MX,2021/2022,2021-08-14 23:06:00,4,Monterrey,Pachuca,3,1,4,"['36', '73', '79']",['52'],1.8,3.3,4.35,2.0,1.8,0.0,0.0
35,1282246,Mexico Liga MX,2021/2022,2021-08-15 19:00:00,4,Atlas,América,0,1,1,[],['77'],2.84,3.28,2.56,2.22,1.68,2.1,1.71
36,1282245,Mexico Liga MX,2021/2022,2021-08-15 21:06:00,4,Santos Laguna,Guadalajara,0,0,0,[],[],2.05,3.1,3.7,2.05,1.74,1.91,1.87
37,1282250,Mexico Liga MX,2021/2022,2021-08-17 19:00:00,5,Toluca,Mazatlán,2,2,4,"['9', '38']","['32', '44']",1.65,3.8,4.75,1.8,1.95,1.87,1.91
38,1282247,Mexico Liga MX,2021/2022,2021-08-17 21:00:00,5,Tigres UANL,Querétaro,3,0,3,"['22', '49', '74']",[],1.77,3.35,4.6,2.25,1.62,2.15,1.69
39,1282249,Mexico Liga MX,2021/2022,2021-08-17 23:00:00,5,Necaxa,Pumas UNAM,3,0,3,"['35', '72', '90+3']",[],1.8,3.55,4.15,1.91,1.87,1.87,1.91
40,1282248,Mexico Liga MX,2021/2022,2021-08-17 23:06:00,5,Tijuana,Puebla,1,1,2,['4'],['71'],2.25,3.05,3.15,2.1,1.71,1.87,1.91
