Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Mexico Liga MX,2021/2022,2021-07-22 23:00:00,1,Querétaro,América,0,0,0,[],[],3.75,3.3,2.0,2.3,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Mexico Liga MX,2021/2022,2021-07-23 21:00:00,1,Necaxa,Santos Laguna,0,3,3,[],"['23', '42', '57']",2.65,3.15,2.65,2.25,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Mexico Liga MX,2021/2022,2021-07-23 23:00:00,1,Juárez,Toluca,1,3,4,['35'],"['6', '64', '89']",2.6,3.1,2.8,2.15,1.91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,Mexico Liga MX,2021/2022,2021-07-24 18:00:00,1,Pachuca,León,4,0,4,"['59', '61', '75', '90+1']",[],2.15,3.35,3.25,1.8,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Mexico Liga MX,2021/2022,2021-07-24 23:00:00,1,Guadalajara,Atlético San Luis,1,2,3,['78'],"['12', '65']",1.71,3.4,5.25,2.2,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Mexico Liga MX,2021/2022,2021-07-25 14:00:00,1,Pumas UNAM,Atlas,0,0,0,[],[],3.65,3.25,2.2,2.22,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Mexico Liga MX,2021/2022,2021-07-25 21:06:00,1,Monterrey,Puebla,1,1,2,['88'],['90'],1.71,3.6,4.9,1.95,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Mexico Liga MX,2021/2022,2021-07-25 23:06:00,1,Tijuana,Tigres UANL,1,2,3,['74'],"['8', '56']",2.35,3.2,3.0,2.0,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Mexico Liga MX,2021/2022,2021-07-26 22:00:00,1,Cruz Azul,Mazatlán,0,2,2,[],"['45+1', '66']",1.49,3.95,6.75,1.95,2.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Mexico Liga MX,2021/2022,2021-07-30 21:00:00,2,Mazatlán,Pachuca,2,1,3,"['45+2', '83']",['20'],3.75,3.25,2.05,2.0,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Mexico Liga MX,2021/2022,2021-07-30 23:05:00,2,Puebla,Guadalajara,0,2,2,[],"['55', '90+4']",2.1,3.1,3.8,2.45,2.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mexico Liga MX,2021/2022,2021-07-31 19:00:00,2,León,Tijuana,2,1,3,"['26', '90']",['90+8'],1.5,4.1,6.0,1.65,1.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Mexico Liga MX,2021/2022,2021-07-31 21:00:00,2,América,Necaxa,2,1,3,"['40', '76']",['68'],1.59,3.65,6.0,2.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Mexico Liga MX,2021/2022,2021-07-31 23:00:00,2,Monterrey,Pumas UNAM,2,0,2,"['2', '53']",[],1.38,4.6,7.5,1.71,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Mexico Liga MX,2021/2022,2021-07-31 23:00:00,2,Atlas,Juárez,2,0,2,"['69', '90+3']",[],1.42,4.25,7.25,2.1,2.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Mexico Liga MX,2021/2022,2021-08-01 14:00:00,2,Toluca,Tigres UANL,3,1,4,"['33', '84', '90+6']",['27'],2.2,3.3,3.15,2.0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Mexico Liga MX,2021/2022,2021-08-01 20:00:00,2,Santos Laguna,Cruz Azul,1,1,2,['82'],['64'],2.15,3.05,3.6,2.4,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Mexico Liga MX,2021/2022,2021-08-02 23:00:00,2,Atlético San Luis,Querétaro,1,1,2,['3'],['62'],2.05,3.1,3.6,2.35,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Mexico Liga MX,2021/2022,2021-08-05 23:05:00,3,Querétaro,León,0,1,1,[],['28'],3.2,3.15,2.2,1.95,1.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mexico Liga MX,2021/2022,2021-08-06 21:00:00,3,Mazatlán,Monterrey,1,1,2,['45+1'],['45+3'],3.25,3.15,2.15,2.0,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Mexico Liga MX,2021/2022,2021-08-06 23:05:00,3,Necaxa,Cruz Azul,1,2,3,['28'],"['20', '71']",2.9,3.0,2.45,2.2,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
