Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1268911,Montenegro Montenegrin First League,2021/2022,2021-07-24 15:30:00,1,Iskra,FK Jezero Plav,2,0,2,"['64', '89']",[],1.75,3.0,4.75,2.4,1.5,2.5,1.5
2,1268912,Montenegro Montenegrin First League,2021/2022,2021-07-24 15:30:00,1,Dečić,Zeta,2,0,2,"['19', '25']",[],1.15,6.0,17.0,1.91,1.8,2.07,1.68
3,1268914,Montenegro Montenegrin First League,2021/2022,2021-07-24 15:30:00,1,Petrovac,Mornar,0,1,1,[],['66'],1.97,3.18,3.86,2.4,1.5,2.19,1.65
4,1268913,Montenegro Montenegrin First League,2021/2022,2021-07-25 14:00:00,1,Sutjeska,Mladost Lješkopolje,1,0,1,['77'],[],1.83,3.25,3.75,2.3,1.6,0.0,0.0
5,1268919,Montenegro Montenegrin First League,2021/2022,2021-07-31 14:00:00,2,Rudar,Iskra,0,0,0,[],[],1.68,3.2,2.0,2.25,1.62,1.94,1.77
6,1268918,Montenegro Montenegrin First League,2021/2022,2021-07-31 14:00:00,2,FK Jezero Plav,Dečić,0,0,0,[],[],2.6,3.0,1.4,2.7,1.44,2.48,1.48
7,1268915,Montenegro Montenegrin First League,2021/2022,2021-07-31 15:00:00,2,Budućnost,Mornar,1,1,2,['45'],['60'],1.2,4.5,3.75,2.0,1.8,2.14,1.63
8,1268916,Montenegro Montenegrin First League,2021/2022,2021-07-31 15:30:00,2,Mladost Lješkopolje,Petrovac,1,3,4,['29'],"['22', '72', '90+1']",1.32,3.1,2.85,2.35,1.57,2.16,1.62
9,1268917,Montenegro Montenegrin First League,2021/2022,2021-08-02 16:00:00,2,Zeta,Sutjeska,0,4,4,[],"['33', '55', '75', '81']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1268923,Montenegro Montenegrin First League,2021/2022,2021-08-07 15:00:00,3,Petrovac,Zeta,2,2,4,"['29', '60']","['17', '78']",1.17,4.0,4.1,2.1,1.7,2.1,1.65
11,1268921,Montenegro Montenegrin First League,2021/2022,2021-08-07 15:00:00,3,Dečić,Rudar,3,0,3,"['25', '42', '67']",[],1.25,3.4,3.3,2.7,1.44,2.47,1.52
12,1268920,Montenegro Montenegrin First League,2021/2022,2021-08-07 15:00:00,3,Iskra,Budućnost,2,1,3,"['48', '90']",['40'],2.3,3.0,1.52,2.4,1.53,2.1,1.7
13,1268924,Montenegro Montenegrin First League,2021/2022,2021-08-07 15:30:00,3,Mornar,Mladost Lješkopolje,3,1,4,"['39', '53', '90+5']",['4'],1.48,3.2,2.35,2.35,1.57,2.06,1.68
14,1268922,Montenegro Montenegrin First League,2021/2022,2021-08-08 14:00:00,3,Sutjeska,FK Jezero Plav,2,0,2,"['18', '77']",[],1.07,5.0,7.0,2.0,1.8,2.55,1.45
15,1268927,Montenegro Montenegrin First League,2021/2022,2021-08-14 14:00:00,4,FK Jezero Plav,Petrovac,1,2,3,['44'],"['67', '74']",1.87,3.0,1.83,2.35,1.57,2.0,1.72
16,1268926,Montenegro Montenegrin First League,2021/2022,2021-08-14 15:00:00,4,Zeta,Mornar,0,1,1,[],['33'],3.3,3.3,1.28,2.15,1.67,2.0,1.72
17,1268929,Montenegro Montenegrin First League,2021/2022,2021-08-14 15:30:00,4,Iskra,Dečić,0,1,1,[],['54'],1.66,2.75,2.1,2.88,1.4,2.25,1.57
18,1268925,Montenegro Montenegrin First League,2021/2022,2021-08-14 15:30:00,4,Budućnost,Mladost Lješkopolje,2,1,3,"['3', '90+1']",['58'],1.16,4.0,4.5,2.05,1.75,2.1,1.66
19,1268928,Montenegro Montenegrin First League,2021/2022,2021-08-15 15:00:00,4,Rudar,Sutjeska,0,1,1,[],['24'],4.2,3.4,1.18,2.08,1.75,2.05,1.7
20,1268931,Montenegro Montenegrin First League,2021/2022,2021-08-21 14:00:00,5,Sutjeska,Iskra,3,1,4,"['15', '18', '88']",['2'],1.3,3.25,3.25,2.3,1.6,2.15,1.62
21,1268934,Montenegro Montenegrin First League,2021/2022,2021-08-21 15:00:00,5,Mladost Lješkopolje,Zeta,0,0,0,[],[],1.17,3.5,4.1,2.35,1.57,2.5,1.5
22,1268932,Montenegro Montenegrin First League,2021/2022,2021-08-21 15:00:00,5,Petrovac,Rudar,4,3,7,"['56', '68', '90+2', '90+7']","['20', '35', '82']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1268930,Montenegro Montenegrin First League,2021/2022,2021-08-21 15:30:00,5,Dečić,Budućnost,2,2,4,"['61', '72']","['20', '34']",0.0,0.0,0.0,2.4,1.53,0.0,0.0
24,1268933,Montenegro Montenegrin First League,2021/2022,2021-08-21 15:30:00,5,Mornar,FK Jezero Plav,1,0,1,['60'],[],1.62,3.2,4.4,2.2,1.49,2.15,1.51
25,1268910,Montenegro Montenegrin First League,2021/2022,2021-08-25 12:30:00,1,Rudar,Budućnost,1,1,2,['28'],['35'],4.0,3.75,1.18,1.92,1.75,1.96,1.76
26,1268936,Montenegro Montenegrin First League,2021/2022,2021-08-28 13:00:00,6,FK Jezero Plav,Mladost Lješkopolje,1,2,3,['55'],"['68', '69']",1.66,2.9,2.1,2.7,1.44,2.1,1.65
27,1268938,Montenegro Montenegrin First League,2021/2022,2021-08-28 14:00:00,6,Iskra,Petrovac,4,1,5,"['23', '34', '83', '90+2']",['66'],1.75,3.15,4.33,2.35,1.5,2.15,1.63
28,1268937,Montenegro Montenegrin First League,2021/2022,2021-08-29 12:30:00,6,Rudar,Mornar,2,1,3,"['7', '87']",['27'],2.0,3.1,1.72,2.5,1.5,2.05,1.68
29,1268935,Montenegro Montenegrin First League,2021/2022,2021-08-29 14:00:00,6,Budućnost,Zeta,5,1,6,"['52', '62', '69', '85', '86']",['12'],1.07,4.33,7.0,2.0,1.8,2.6,1.44
30,1268939,Montenegro Montenegrin First League,2021/2022,2021-08-29 15:00:00,6,Dečić,Sutjeska,1,1,2,['67'],['86'],2.35,3.1,1.52,2.4,1.53,2.0,1.72
31,1268940,Montenegro Montenegrin First League,2021/2022,2021-09-11 13:00:00,7,Sutjeska,Budućnost,1,0,1,['78'],[],1.42,3.4,2.5,2.15,1.67,2.05,1.74
32,1268941,Montenegro Montenegrin First League,2021/2022,2021-09-11 14:00:00,7,Petrovac,Dečić,3,2,5,"['32', '48', '61']","['45', '67']",4.0,3.0,1.85,2.37,1.5,2.15,1.67
33,1268944,Montenegro Montenegrin First League,2021/2022,2021-09-11 14:00:00,7,Zeta,FK Jezero Plav,1,2,3,['73'],"['4', '80']",2.57,2.8,2.68,2.4,1.48,2.15,1.67
