Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1267138,Netherlands Eredivisie,2021/2022,2021-08-13 15:00:00,1,Go Ahead Eagles,Heerenveen,0,1,1,[],['7'],2.6,3.35,2.6,1.91,1.87,1.77,2.05
2,1267139,Netherlands Eredivisie,2021/2022,2021-08-14 11:30:00,1,RKC Waalwijk,AZ,1,0,1,['45'],[],5.75,4.4,1.51,1.53,2.45,1.67,2.15
3,1267140,Netherlands Eredivisie,2021/2022,2021-08-14 13:45:00,1,Heracles,PSV,0,2,2,[],"['40', '64']",7.75,5.0,1.36,1.62,2.25,1.91,1.87
4,1267141,Netherlands Eredivisie,2021/2022,2021-08-14 15:00:00,1,Fortuna Sittard,Twente,2,1,3,"['61', '81']",['36'],2.9,3.5,2.3,1.8,2.0,1.71,2.1
5,1267142,Netherlands Eredivisie,2021/2022,2021-08-14 16:00:00,1,Ajax,NEC,5,0,5,"['6', '10', '14', '20', '39']",[],1.07,14.0,34.0,1.25,3.9,2.35,1.57
6,1267143,Netherlands Eredivisie,2021/2022,2021-08-15 07:15:00,1,Cambuur,Groningen,1,2,3,['68'],"['33', '90+3']",2.76,3.35,2.24,1.7,2.0,1.69,2.15
7,1267144,Netherlands Eredivisie,2021/2022,2021-08-15 09:30:00,1,PEC Zwolle,Vitesse,0,1,1,[],['20'],3.3,3.45,2.1,1.74,2.05,1.67,2.15
8,1267145,Netherlands Eredivisie,2021/2022,2021-08-15 09:30:00,1,Utrecht,Sparta Rotterdam,4,0,4,"['2', '66', '75', '90+3']",[],1.61,3.8,5.75,1.83,1.95,1.91,1.87
9,1267146,Netherlands Eredivisie,2021/2022,2021-08-15 11:45:00,1,Willem II,Feyenoord,0,4,4,[],"['17', '25', '48', '90+2']",3.46,3.59,1.88,1.52,2.35,1.77,2.0
10,1267147,Netherlands Eredivisie,2021/2022,2021-08-20 15:00:00,2,NEC,PEC Zwolle,2,0,2,"['4', '42']",[],2.42,3.37,2.56,1.7,2.0,1.62,2.3
11,1267148,Netherlands Eredivisie,2021/2022,2021-08-21 13:45:00,2,Heerenveen,RKC Waalwijk,3,2,5,"['14', '31', '44']","['68', '89']",1.83,3.59,3.54,1.61,2.33,1.69,2.1
12,1267149,Netherlands Eredivisie,2021/2022,2021-08-21 15:00:00,2,PSV,Cambuur,4,1,5,"['18', '21', '48', '90+4']",['66'],1.21,5.99,9.64,1.39,2.86,1.83,1.95
13,1267150,Netherlands Eredivisie,2021/2022,2021-08-21 15:00:00,2,Sparta Rotterdam,Heracles,1,1,2,['40'],['77'],2.04,3.21,3.26,2.01,1.85,1.74,2.05
14,1267151,Netherlands Eredivisie,2021/2022,2021-08-21 16:00:00,2,Groningen,Utrecht,0,0,0,[],[],3.02,3.16,2.18,1.98,1.88,1.77,2.0
15,1267152,Netherlands Eredivisie,2021/2022,2021-08-22 07:15:00,2,Twente,Ajax,1,1,2,['87'],['52'],6.95,4.84,1.34,1.33,3.0,1.77,2.0
16,1267153,Netherlands Eredivisie,2021/2022,2021-08-22 09:30:00,2,Feyenoord,Go Ahead Eagles,2,0,2,"['60', '87']",[],1.21,6.75,12.0,1.44,2.7,2.05,1.74
17,1267154,Netherlands Eredivisie,2021/2022,2021-08-22 11:45:00,2,Vitesse,Willem II,0,3,3,[],"['18', '36', '82']",1.74,3.8,4.25,1.65,2.2,1.65,2.2
18,1267156,Netherlands Eredivisie,2021/2022,2021-08-27 15:00:00,3,Fortuna Sittard,RKC Waalwijk,2,2,4,"['23', '68']","['38', '55']",1.8,3.75,4.1,1.69,2.15,1.67,2.15
19,1267157,Netherlands Eredivisie,2021/2022,2021-08-28 13:45:00,3,Cambuur,Twente,2,0,2,"['66', '90+1']",[],2.4,3.41,2.48,1.62,2.21,1.59,2.3
20,1267158,Netherlands Eredivisie,2021/2022,2021-08-28 15:00:00,3,Go Ahead Eagles,Sparta Rotterdam,2,0,2,"['6', '60']",[],2.81,3.13,2.28,1.92,1.78,1.87,1.91
21,1267159,Netherlands Eredivisie,2021/2022,2021-08-28 15:00:00,3,PSV,Groningen,5,2,7,"['7', '27', '45+7', '55', '90+7']","['15', '18']",1.28,4.85,8.1,1.57,2.31,1.95,1.83
22,1267160,Netherlands Eredivisie,2021/2022,2021-08-28 16:00:00,3,Willem II,PEC Zwolle,1,0,1,['53'],[],1.98,3.22,3.35,1.76,1.94,1.77,2.0
23,1267161,Netherlands Eredivisie,2021/2022,2021-08-29 07:15:00,3,Utrecht,Feyenoord,3,1,4,"['45+3', '48', '51']",['45'],2.6,3.45,2.5,1.59,2.3,1.51,2.5
24,1267162,Netherlands Eredivisie,2021/2022,2021-08-29 09:30:00,3,Ajax,Vitesse,5,0,5,"['5', '31', '43', '60', '67']",[],1.16,8.25,14.0,1.26,3.75,1.8,2.0
25,1267163,Netherlands Eredivisie,2021/2022,2021-08-29 09:30:00,3,Heracles,NEC,0,1,1,[],['50'],1.83,3.75,3.9,1.74,2.05,1.74,2.05
26,1267164,Netherlands Eredivisie,2021/2022,2021-08-29 11:45:00,3,Heerenveen,AZ,1,3,4,['11'],"['14', '50', '88']",3.82,3.54,1.8,1.65,2.1,1.59,2.3
27,1267165,Netherlands Eredivisie,2021/2022,2021-09-11 11:30:00,4,Twente,Utrecht,1,0,1,['90+1'],[],3.75,3.7,1.87,1.74,2.05,1.71,2.1
28,1267166,Netherlands Eredivisie,2021/2022,2021-09-11 13:45:00,4,PEC Zwolle,Ajax,0,2,2,[],"['29', '67']",15.0,7.0,1.2,1.3,3.2,2.1,1.71
29,1267167,Netherlands Eredivisie,2021/2022,2021-09-11 13:45:00,4,Cambuur,Go Ahead Eagles,5,2,7,"['45', '50', '53', '56', '75']","['36', '78']",1.91,3.6,4.0,1.8,1.95,1.65,2.2
30,1267169,Netherlands Eredivisie,2021/2022,2021-09-11 16:00:00,4,AZ,PSV,0,3,3,[],"['14', '69', '83']",3.15,3.85,2.11,1.53,2.33,1.61,2.25
31,1267170,Netherlands Eredivisie,2021/2022,2021-09-12 07:15:00,4,NEC,Willem II,0,0,0,[],[],2.45,3.46,2.76,1.86,1.91,1.74,2.1
32,1267173,Netherlands Eredivisie,2021/2022,2021-09-12 09:30:00,4,Groningen,Heerenveen,1,1,2,['68'],['19'],1.95,3.6,3.65,1.8,1.95,1.8,2.0
33,1267168,Netherlands Eredivisie,2021/2022,2021-09-12 09:30:00,4,Sparta Rotterdam,Fortuna Sittard,3,1,4,"['21', '29', '73']",['49'],2.0,3.45,3.6,1.87,1.91,1.8,2.0
34,1267172,Netherlands Eredivisie,2021/2022,2021-09-12 11:45:00,4,RKC Waalwijk,Vitesse,1,2,3,['27'],"['8', '54']",3.25,3.6,2.1,1.65,2.2,1.61,2.3
35,1267174,Netherlands Eredivisie,2021/2022,2021-09-17 15:00:00,5,Sparta Rotterdam,NEC,1,1,2,['44'],['28'],2.1,3.4,3.3,1.95,1.83,1.87,1.91
36,1267175,Netherlands Eredivisie,2021/2022,2021-09-18 11:30:00,5,Heerenveen,Fortuna Sittard,1,0,1,['5'],[],1.71,4.05,4.3,1.69,2.15,1.74,2.05
37,1267176,Netherlands Eredivisie,2021/2022,2021-09-18 13:45:00,5,Willem II,Groningen,2,1,3,"['5', '24']",['61'],2.5,3.2,2.8,1.95,1.83,1.74,2.05
38,1267177,Netherlands Eredivisie,2021/2022,2021-09-18 15:00:00,5,Ajax,Cambuur,9,0,9,"['16', '19', '29', '38', '60', '64', '67', '76', '84']",[],1.11,10.0,23.0,1.22,3.75,1.87,1.87
39,1267178,Netherlands Eredivisie,2021/2022,2021-09-18 16:00:00,5,Utrecht,RKC Waalwijk,2,2,4,"['4', '52']","['20', '45']",1.28,6.0,9.25,1.5,2.5,1.95,1.83
40,1267179,Netherlands Eredivisie,2021/2022,2021-09-19 07:15:00,5,Go Ahead Eagles,PEC Zwolle,1,0,1,['77'],[],2.3,3.1,3.2,2.25,1.61,2.05,1.77
41,1267180,Netherlands Eredivisie,2021/2022,2021-09-19 09:30:00,5,PSV,Feyenoord,0,4,4,[],"['45+1', '71', '85', '90+2']",1.65,4.1,4.7,1.5,2.55,1.54,2.4
42,1267181,Netherlands Eredivisie,2021/2022,2021-09-19 11:45:00,5,Vitesse,Twente,1,4,5,['62'],"['3', '45+1', '56', '60']",2.0,3.5,3.6,1.71,2.1,1.65,2.2
43,1267182,Netherlands Eredivisie,2021/2022,2021-09-19 11:45:00,5,Heracles,AZ,3,2,5,"['45+1', '72', '90+4']","['19', '89']",4.05,3.75,1.8,1.71,2.1,1.71,2.1
44,1267183,Netherlands Eredivisie,2021/2022,2021-09-21 13:45:00,6,Fortuna Sittard,Ajax,0,5,5,[],"['11', '27', '38', '72', '77']",16.0,8.25,1.15,1.28,3.55,1.74,2.0
45,1267184,Netherlands Eredivisie,2021/2022,2021-09-21 16:00:00,6,RKC Waalwijk,Willem II,1,2,3,['90+4'],"['52', '60']",2.3,3.45,2.9,1.74,2.05,1.65,2.2
46,1267185,Netherlands Eredivisie,2021/2022,2021-09-22 13:45:00,6,Go Ahead Eagles,PSV,1,2,3,['55'],"['15', '86']",7.75,4.85,1.37,1.57,2.35,1.83,1.95
47,1267186,Netherlands Eredivisie,2021/2022,2021-09-22 13:45:00,6,NEC,Utrecht,0,3,3,[],"['7', '67', '79']",4.15,3.6,1.8,1.87,1.91,1.83,1.95
48,1267187,Netherlands Eredivisie,2021/2022,2021-09-22 15:00:00,6,Groningen,Vitesse,0,1,1,[],['45+3'],2.15,3.5,3.1,1.83,1.95,1.74,2.1
49,1267189,Netherlands Eredivisie,2021/2022,2021-09-22 16:00:00,6,PEC Zwolle,Sparta Rotterdam,1,1,2,['8'],['1'],2.7,3.0,2.7,2.25,1.62,2.0,1.8
50,1267188,Netherlands Eredivisie,2021/2022,2021-09-22 16:00:00,6,Feyenoord,Heerenveen,3,1,4,"['12', '60', '88']",['82'],1.31,5.75,8.0,1.48,2.6,1.8,1.95
51,1267190,Netherlands Eredivisie,2021/2022,2021-09-23 13:45:00,6,Cambuur,Heracles,2,1,3,"['25', '47']",['90'],2.35,3.4,2.85,1.65,2.2,1.56,2.4
52,1267191,Netherlands Eredivisie,2021/2022,2021-09-23 16:00:00,6,Twente,AZ,3,1,4,"['1', '17', '90+1']",['44'],3.05,3.4,2.25,1.74,2.05,1.65,2.2
53,1267193,Netherlands Eredivisie,2021/2022,2021-09-25 11:30:00,7,Willem II,PSV,2,1,3,"['20', '76']",['30'],5.75,4.25,1.53,1.62,2.25,1.8,2.0
54,1267194,Netherlands Eredivisie,2021/2022,2021-09-25 13:45:00,7,Vitesse,Fortuna Sittard,1,1,2,['49'],['2'],1.62,3.95,5.0,1.67,2.2,1.71,2.1
55,1267192,Netherlands Eredivisie,2021/2022,2021-09-25 13:45:00,7,Ajax,Groningen,3,0,3,"['40', '56', '81']",[],1.06,16.0,39.0,1.25,3.8,2.8,1.42
56,1267195,Netherlands Eredivisie,2021/2022,2021-09-25 16:00:00,7,Feyenoord,NEC,5,3,8,"['14', '17', '80', '89', '90+2']","['32', '44', '74']",1.25,6.5,10.0,1.4,2.82,1.95,1.8
57,1267196,Netherlands Eredivisie,2021/2022,2021-09-25 16:00:00,7,Utrecht,PEC Zwolle,5,1,6,"['11', '59', '65', '66', '86']",['75'],1.33,5.5,8.0,2.3,1.6,1.91,1.87
58,1267197,Netherlands Eredivisie,2021/2022,2021-09-26 07:15:00,7,Sparta Rotterdam,Cambuur,0,4,4,[],"['36', '63', '74', '90+4']",1.96,3.82,3.6,1.67,2.15,1.67,2.2
59,1267198,Netherlands Eredivisie,2021/2022,2021-09-26 09:30:00,7,AZ,Go Ahead Eagles,5,0,5,"['4', '29', '83', '85', '90+1']",[],1.3,5.5,9.25,1.54,2.45,1.95,1.83
60,1267199,Netherlands Eredivisie,2021/2022,2021-09-26 09:30:00,7,Heerenveen,Twente,2,3,5,"['74', '81']","['10', '42', '66']",2.35,3.35,2.9,1.8,2.0,1.67,2.15
61,1267200,Netherlands Eredivisie,2021/2022,2021-09-26 11:45:00,7,Heracles,RKC Waalwijk,1,0,1,['59'],[],1.83,3.7,3.9,1.69,2.1,1.67,2.15
62,1267201,Netherlands Eredivisie,2021/2022,2021-10-01 15:00:00,8,Groningen,Twente,1,1,2,['8'],['74'],2.5,3.3,2.75,1.9,1.87,1.68,2.1
63,1267202,Netherlands Eredivisie,2021/2022,2021-10-02 13:45:00,8,RKC Waalwijk,Go Ahead Eagles,1,1,2,['60'],['15'],2.13,3.35,2.92,1.67,2.1,1.55,2.3
64,1267203,Netherlands Eredivisie,2021/2022,2021-10-02 15:00:00,8,Heracles,Willem II,3,2,5,"['41', '53', '90+4']","['66', '77']",2.13,3.35,2.91,1.72,1.98,1.68,2.1
65,1267204,Netherlands Eredivisie,2021/2022,2021-10-02 15:00:00,8,PEC Zwolle,Heerenveen,0,1,1,[],['63'],2.95,3.15,2.18,1.82,1.88,1.72,2.0
66,1267205,Netherlands Eredivisie,2021/2022,2021-10-02 16:00:00,8,Fortuna Sittard,NEC,1,3,4,['34'],"['21', '26', '52']",2.21,3.3,2.82,1.73,2.0,1.6,2.2
67,1267206,Netherlands Eredivisie,2021/2022,2021-10-03 09:30:00,8,Ajax,Utrecht,0,1,1,[],['77'],1.19,5.6,11.0,1.28,3.47,1.7,2.05
68,1267207,Netherlands Eredivisie,2021/2022,2021-10-03 09:30:00,8,Cambuur,AZ,1,3,4,['72'],"['17', '33', '60']",3.58,3.58,1.8,1.6,2.35,1.53,2.45
69,1267208,Netherlands Eredivisie,2021/2022,2021-10-03 11:45:00,8,Vitesse,Feyenoord,2,1,3,"['6', '46']",['29'],3.07,3.45,2.02,1.64,2.25,1.55,2.4
70,1267209,Netherlands Eredivisie,2021/2022,2021-10-03 15:00:00,8,PSV,Sparta Rotterdam,2,1,3,"['82', '86']",['90'],1.29,5.9,9.4,1.46,2.6,1.98,1.8
71,1267210,Netherlands Eredivisie,2021/2022,2021-10-16 11:30:00,9,Feyenoord,RKC Waalwijk,2,2,4,"['34', '47']","['37', '45+1']",1.2,6.95,12.08,1.33,3.15,1.8,1.95
72,1267211,Netherlands Eredivisie,2021/2022,2021-10-16 13:45:00,9,Heerenveen,Ajax,0,2,2,[],"['24', '75']",9.75,6.75,1.25,1.28,3.3,1.7,2.05
73,1267212,Netherlands Eredivisie,2021/2022,2021-10-16 13:45:00,9,Go Ahead Eagles,Heracles,4,2,6,"['29', '58', '62', '90+9']","['43', '64']",2.8,3.25,2.45,2.03,1.81,1.75,2.0
74,1267214,Netherlands Eredivisie,2021/2022,2021-10-16 16:00:00,9,PSV,PEC Zwolle,3,1,4,"['84', '86', '89']",['3'],1.16,8.25,14.0,1.4,2.75,2.2,1.62
75,1267213,Netherlands Eredivisie,2021/2022,2021-10-16 16:00:00,9,Fortuna Sittard,Cambuur,1,0,1,['86'],[],2.1,3.5,3.2,1.56,2.4,1.5,2.5
76,1267215,Netherlands Eredivisie,2021/2022,2021-10-17 07:15:00,9,AZ,Utrecht,5,1,6,"['6', '12', '39', '56', '86']",['90'],2.1,3.83,3.2,1.6,2.3,1.53,2.38
77,1267217,Netherlands Eredivisie,2021/2022,2021-10-17 09:30:00,9,Sparta Rotterdam,Groningen,1,1,2,['33'],['28'],2.36,3.5,2.87,1.85,1.94,1.7,2.05
78,1267216,Netherlands Eredivisie,2021/2022,2021-10-17 09:30:00,9,NEC,Vitesse,0,1,1,[],['16'],3.07,3.56,2.25,1.72,2.1,1.62,2.2
79,1267218,Netherlands Eredivisie,2021/2022,2021-10-17 11:45:00,9,Twente,Willem II,1,1,2,['6'],['24'],1.92,3.74,3.7,1.73,2.09,1.67,2.1
80,1267219,Netherlands Eredivisie,2021/2022,2021-10-22 15:00:00,10,Willem II,Fortuna Sittard,1,1,2,['59'],['54'],1.84,3.8,4.1,1.79,2.02,1.68,2.05
81,1267220,Netherlands Eredivisie,2021/2022,2021-10-23 13:45:00,10,Utrecht,Heerenveen,2,1,3,"['21', '80']",['23'],1.55,4.54,5.5,1.57,2.31,1.7,2.05
82,1267221,Netherlands Eredivisie,2021/2022,2021-10-23 15:00:00,10,PEC Zwolle,Heracles,1,0,1,['90+2'],[],2.77,3.48,2.49,1.96,1.94,1.68,2.05
83,1267223,Netherlands Eredivisie,2021/2022,2021-10-23 16:00:00,10,RKC Waalwijk,Sparta Rotterdam,1,0,1,['89'],[],2.6,3.6,2.58,1.86,2.04,1.62,2.15
84,1267222,Netherlands Eredivisie,2021/2022,2021-10-24 07:15:00,10,Twente,NEC,1,2,3,['58'],"['50', '76']",1.8,3.5,3.87,1.72,2.0,1.66,2.2
85,1267224,Netherlands Eredivisie,2021/2022,2021-10-24 09:30:00,10,Cambuur,Feyenoord,2,3,5,"['23', '50']","['25', '45', '58']",4.62,3.82,1.61,1.4,2.75,1.47,2.65
86,1267226,Netherlands Eredivisie,2021/2022,2021-10-24 09:30:00,10,Vitesse,Go Ahead Eagles,1,2,3,['3'],"['53', '90+1']",1.37,4.48,6.8,1.52,2.35,1.6,2.3
87,1267227,Netherlands Eredivisie,2021/2022,2021-10-24 11:45:00,10,Ajax,PSV,5,0,5,"['19', '56', '66', '76', '90+2']",[],1.61,3.82,4.62,1.45,2.55,1.53,2.45
88,1267225,Netherlands Eredivisie,2021/2022,2021-10-24 15:00:00,10,Groningen,AZ,2,0,2,"['20', '71']",[],3.7,3.74,1.92,1.72,2.1,1.72,2.1
89,1267232,Netherlands Eredivisie,2021/2022,2021-10-30 11:30:00,11,PSV,Twente,5,2,7,"['14', '27', '54', '58', '63']","['13', '44']",1.31,4.9,7.75,1.55,2.31,1.93,1.83
90,1267229,Netherlands Eredivisie,2021/2022,2021-10-30 13:45:00,11,Heracles,Ajax,0,0,0,[],[],10.92,6.69,1.24,1.36,2.99,1.78,1.9
91,1267231,Netherlands Eredivisie,2021/2022,2021-10-30 15:00:00,11,Heerenveen,Vitesse,1,2,3,['45+2'],"['55', '90+2']",2.39,3.6,2.75,1.7,2.13,1.55,2.3
92,1267228,Netherlands Eredivisie,2021/2022,2021-10-30 16:00:00,11,AZ,PEC Zwolle,3,2,5,"['14', '38', '52']","['5', '13']",1.25,6.15,10.5,1.5,2.48,1.95,1.78
