Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Netherlands Eerste Divisie,2021/2022,2021-08-06 15:00:00,1,Den Bosch,Helmond Sport,2,0,2,"['64', '78']",[],2.3,3.6,2.65,1.54,1.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Netherlands Eerste Divisie,2021/2022,2021-08-06 15:00:00,1,Dordrecht,PSV II,1,1,2,['64'],['18'],2.85,3.65,2.15,1.56,1.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Netherlands Eerste Divisie,2021/2022,2021-08-06 15:00:00,1,Eindhoven,Volendam,2,2,4,"['45+1', '90+3']","['12', '40']",4.0,4.0,1.71,1.57,1.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Netherlands Eerste Divisie,2021/2022,2021-08-06 15:00:00,1,Excelsior,Oss,0,1,1,[],['41'],2.05,3.6,3.15,1.65,1.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Netherlands Eerste Divisie,2021/2022,2021-08-06 15:00:00,1,Telstar,Emmen,1,1,2,['4'],['26'],3.9,3.75,1.8,1.74,1.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Netherlands Eerste Divisie,2021/2022,2021-08-07 11:30:00,1,De Graafschap,Roda JC,0,3,3,[],"['48', '56', '88']",1.95,3.65,3.3,1.67,1.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Netherlands Eerste Divisie,2021/2022,2021-08-08 07:15:00,1,ADO Den Haag,Ajax II,2,0,2,"['51', '86']",[],2.1,3.75,3.0,1.43,1.42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Netherlands Eerste Divisie,2021/2022,2021-08-08 09:30:00,1,VVV,NAC Breda,2,2,4,"['21', '58']","['10', '90+1']",2.5,3.45,2.55,1.77,1.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Netherlands Eerste Divisie,2021/2022,2021-08-09 15:00:00,1,AZ II,Almere City,2,1,3,"['74', '81']",['20'],3.75,3.95,1.77,1.62,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Netherlands Eerste Divisie,2021/2022,2021-08-09 15:00:00,1,Utrecht II,MVV,0,1,1,[],['37'],1.95,3.8,3.35,1.69,1.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,Volendam,ADO Den Haag,1,3,4,['4'],"['19', '41', '66']",1.8,4.05,3.55,1.48,1.51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,Roda JC,Excelsior,1,2,3,['83'],"['7', '24']",1.67,4.05,4.3,1.62,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,Oss,VVV,2,1,3,"['61', '90+2']",['89'],2.6,3.6,2.4,1.67,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,NAC Breda,Telstar,2,2,4,"['19', '25']","['76', '87']",1.67,4.0,4.35,1.65,1.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,Emmen,Eindhoven,0,1,1,[],['79'],1.41,4.75,6.5,1.53,1.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,Helmond Sport,AZ II,1,2,3,['59'],"['70', '90+4']",2.16,3.94,3.15,1.47,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,Almere City,Utrecht II,1,1,2,['15'],['89'],1.45,4.55,6.0,1.48,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Netherlands Eerste Divisie,2021/2022,2021-08-13 15:00:00,2,MVV,De Graafschap,1,3,4,['23'],"['13', '26', '78']",6.0,4.3,1.48,1.65,1.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Netherlands Eerste Divisie,2021/2022,2021-08-16 15:00:00,2,Ajax II,Dordrecht,1,2,3,['33'],"['84', '90']",1.42,4.75,6.5,1.38,1.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Netherlands Eerste Divisie,2021/2022,2021-08-16 15:00:00,2,PSV II,Den Bosch,0,1,1,[],['89'],2.25,3.6,2.7,1.53,1.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Netherlands Eerste Divisie,2021/2022,2021-08-20 15:00:00,3,MVV,Helmond Sport,3,2,5,"['10', '19', '76']","['36', '70']",2.95,3.45,2.2,1.71,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,Netherlands Eerste Divisie,2021/2022,2021-08-20 15:00:00,3,Telstar,Roda JC,3,4,7,"['25', '32', '45']","['22', '63', '66', '90+6']",2.7,3.55,2.3,1.65,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Netherlands Eerste Divisie,2021/2022,2021-08-20 15:00:00,3,De Graafschap,NAC Breda,2,0,2,"['38', '90']",[],1.54,4.15,5.25,1.62,1.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Netherlands Eerste Divisie,2021/2022,2021-08-20 15:00:00,3,Dordrecht,Utrecht II,2,2,4,"['24', '32']","['28', '50']",2.8,3.7,2.2,1.59,1.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Netherlands Eerste Divisie,2021/2022,2021-08-20 15:00:00,3,Den Bosch,Ajax II,2,3,5,"['1', '90+5']","['23', '53', '68']",2.2,3.8,2.7,1.44,1.43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Netherlands Eerste Divisie,2021/2022,2021-08-20 15:00:00,3,Excelsior,Volendam,1,1,2,['40'],['45+1'],2.9,4.15,2.0,1.39,1.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Netherlands Eerste Divisie,2021/2022,2021-08-20 15:30:00,3,ADO Den Haag,Emmen,1,2,3,['47'],"['10', '73']",2.8,3.6,2.2,1.74,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
