Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Netherlands Eredivisie,2022/2023,2022-08-05 15:00:00,1,Heerenveen,Sparta Rotterdam,0,0,0,[],[],1.95,3.4,3.8,1.81,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Netherlands Eredivisie,2022/2023,2022-08-06 11:30:00,1,Fortuna Sittard,Ajax,2,3,5,"['6', '87']","['48', '51', '62']",14.75,7.85,1.16,1.3,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Netherlands Eredivisie,2022/2023,2022-08-06 13:45:00,1,Cambuur,Excelsior,0,2,2,[],"['10', '44']",2.0,3.78,3.4,1.58,1.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Netherlands Eredivisie,2022/2023,2022-08-06 15:00:00,1,PSV,Emmen,4,1,5,"['18', '26', '38', '54']",['62'],1.2,7.0,11.93,1.41,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Netherlands Eredivisie,2022/2023,2022-08-06 16:00:00,1,RKC Waalwijk,Utrecht,2,2,4,"['15', '45']","['52', '85']",3.66,3.55,1.98,1.78,1.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Netherlands Eredivisie,2022/2023,2022-08-07 07:15:00,1,Groningen,Volendam,2,2,4,"['2', '34']","['38', '68']",1.8,3.6,4.1,1.91,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Netherlands Eredivisie,2022/2023,2022-08-07 09:30:00,1,Vitesse,Feyenoord,2,5,7,"['19', '56']","['31', '41', '61', '66', '69']",3.4,3.7,1.95,1.64,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Netherlands Eredivisie,2022/2023,2022-08-07 09:30:00,1,NEC,Twente,0,1,1,[],['90+1'],3.0,3.4,2.2,1.81,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Netherlands Eredivisie,2022/2023,2022-08-07 11:45:00,1,AZ,Go Ahead Eagles,2,0,2,"['70', '86']",[],1.36,4.8,8.0,1.65,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Netherlands Eredivisie,2022/2023,2022-08-12 15:00:00,2,Excelsior,Vitesse,3,1,4,"['14', '20', '76']",['29'],3.32,3.37,1.99,1.77,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Netherlands Eredivisie,2022/2023,2022-08-13 13:45:00,2,Go Ahead Eagles,PSV,2,5,7,"['14', '80']","['3', '45+3', '45+10', '76', '89']",7.28,5.05,1.38,1.59,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Netherlands Eredivisie,2022/2023,2022-08-13 15:00:00,2,Utrecht,Cambuur,0,0,0,[],[],1.48,4.7,5.83,1.5,1.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Netherlands Eredivisie,2022/2023,2022-08-13 15:00:00,2,Emmen,RKC Waalwijk,1,1,2,['58'],['89'],1.92,3.7,3.72,1.77,1.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Netherlands Eredivisie,2022/2023,2022-08-13 16:00:00,2,Feyenoord,Heerenveen,0,0,0,[],[],1.3,5.7,8.67,1.46,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Netherlands Eredivisie,2022/2023,2022-08-14 07:15:00,2,Volendam,NEC,1,4,5,['11'],"['17', '19', '76', '90']",2.53,3.9,2.51,1.57,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Netherlands Eredivisie,2022/2023,2022-08-14 09:30:00,2,Ajax,Groningen,6,1,7,"['4', '28', '45', '57', '66', '88']",['10'],1.14,8.8,16.5,1.33,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Netherlands Eredivisie,2022/2023,2022-08-14 09:30:00,2,Twente,Fortuna Sittard,3,0,3,"['22', '44', '53']",[],1.47,4.5,6.6,1.6,1.77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Netherlands Eredivisie,2022/2023,2022-08-14 11:45:00,2,Sparta Rotterdam,AZ,2,3,5,"['1', '59']","['45+1', '57', '65']",4.05,3.65,1.89,2.02,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,Netherlands Eredivisie,2022/2023,2022-08-20 11:30:00,3,Vitesse,Heerenveen,0,4,4,[],"['5', '45+3', '72', '77']",1.92,3.75,3.8,1.76,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Netherlands Eredivisie,2022/2023,2022-08-20 13:45:00,3,Fortuna Sittard,Cambuur,1,4,5,['10'],"['47', '79', '87', '90+2']",2.28,3.75,2.88,1.6,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Netherlands Eredivisie,2022/2023,2022-08-20 16:00:00,3,Emmen,Utrecht,3,2,5,"['27', '59', '79']","['10', '34']",3.5,3.5,2.05,1.73,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,Netherlands Eredivisie,2022/2023,2022-08-21 07:15:00,3,Groningen,Go Ahead Eagles,1,0,1,['3'],[],1.9,3.35,4.1,1.74,1.71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Netherlands Eredivisie,2022/2023,2022-08-21 09:30:00,3,Sparta Rotterdam,Ajax,0,1,1,[],['37'],11.0,6.0,1.22,1.35,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Netherlands Eredivisie,2022/2023,2022-08-21 11:45:00,3,RKC Waalwijk,Feyenoord,0,1,1,[],['68'],6.0,4.75,1.4,1.43,1.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Netherlands Eredivisie,2022/2023,2022-08-26 15:00:00,4,NEC,Groningen,1,1,2,['88'],['75'],2.15,3.4,2.83,1.85,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Netherlands Eredivisie,2022/2023,2022-08-27 11:30:00,4,Go Ahead Eagles,Sparta Rotterdam,0,1,1,[],['18'],2.34,3.57,2.84,1.72,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Netherlands Eredivisie,2022/2023,2022-08-27 13:45:00,4,Vitesse,RKC Waalwijk,2,2,4,"['61', '71']","['35', '50']",1.75,3.95,4.25,1.57,1.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Netherlands Eredivisie,2022/2023,2022-08-27 15:00:00,4,Feyenoord,Emmen,4,0,4,"['60', '85', '88', '90+2']",[],1.3,5.5,9.2,1.49,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Netherlands Eredivisie,2022/2023,2022-08-27 16:00:00,4,Heerenveen,Fortuna Sittard,2,1,3,"['22', '44']",['84'],1.81,3.78,4.1,1.72,1.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Netherlands Eredivisie,2022/2023,2022-08-28 07:15:00,4,Utrecht,Ajax,0,2,2,[],"['10', '45+1']",6.6,4.8,1.39,1.48,1.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Netherlands Eredivisie,2022/2023,2022-08-28 09:30:00,4,Excelsior,PSV,1,6,7,['74'],"['2', '29', '45', '55', '59', '84']",8.75,6.5,1.27,1.34,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Netherlands Eredivisie,2022/2023,2022-08-28 09:30:00,4,Volendam,Twente,1,0,1,['83'],[],4.1,3.95,1.75,1.68,1.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Netherlands Eredivisie,2022/2023,2022-08-28 11:45:00,4,Cambuur,AZ,0,1,1,[],['90'],4.3,3.85,1.73,1.68,1.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Netherlands Eredivisie,2022/2023,2022-08-31 13:45:00,3,PSV,Volendam,7,1,8,"['1', '25', '39', '47', '51', '67', '79']",['40'],1.1,11.5,20.0,1.28,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,Netherlands Eredivisie,2022/2023,2022-08-31 16:00:00,3,Twente,Excelsior,4,0,4,"['1', '8', '62', '90+3']",[],1.26,6.2,10.0,1.47,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,Netherlands Eredivisie,2022/2023,2022-09-01 15:00:00,3,AZ,NEC,1,1,2,['57'],['54'],1.47,4.33,6.0,1.61,1.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Netherlands Eredivisie,2022/2023,2022-09-02 15:00:00,5,Fortuna Sittard,Utrecht,3,4,7,"['67', '82', '90+7']","['64', '70', '77', '86']",3.6,3.7,1.95,1.53,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Netherlands Eredivisie,2022/2023,2022-09-03 11:30:00,5,Ajax,Cambuur,4,0,4,"['35', '40', '53', '64']",[],1.11,10.0,21.0,1.3,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,Netherlands Eredivisie,2022/2023,2022-09-03 13:45:00,5,Twente,PSV,2,1,3,"['17', '24']",['55'],4.2,4.25,1.74,1.5,1.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Netherlands Eredivisie,2022/2023,2022-09-03 15:00:00,5,Sparta Rotterdam,Volendam,4,0,4,"['14', '68', '72', '85']",[],1.59,4.35,5.2,1.66,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,Netherlands Eredivisie,2022/2023,2022-09-03 16:00:00,5,Go Ahead Eagles,Feyenoord,3,4,7,"['3', '13', '90+6']","['24', '42', '56', '79']",6.2,4.23,1.51,1.63,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,Netherlands Eredivisie,2022/2023,2022-09-04 07:15:00,5,RKC Waalwijk,Excelsior,5,2,7,"['38', '50', '60', '80', '90+1']","['15', '43']",2.02,3.7,3.45,1.66,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
