Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2515281,Northern Ireland NIFL Premiership,2022/2023,2022-08-12 15:45:00,1,Larne,Glentoran,0,0,0,[],[],1.9,3.31,3.02,1.75,1.95,1.65,2.11
2,2515277,Northern Ireland NIFL Premiership,2022/2023,2022-08-13 11:00:00,1,Ballymena United,Glenavon,2,2,4,"['4', '32']","['45+1', '90+4']",2.4,3.25,2.65,1.81,1.95,1.73,2.0
3,2515278,Northern Ireland NIFL Premiership,2022/2023,2022-08-13 11:00:00,1,Carrick Rangers,Newry City AFC,2,1,3,"['37', '75']",['16'],2.25,3.3,2.75,1.82,1.9,1.67,2.1
4,2515279,Northern Ireland NIFL Premiership,2022/2023,2022-08-13 11:00:00,1,Coleraine,Cliftonville,3,1,4,"['31', '38', '90+5']",['57'],3.55,3.5,1.9,1.84,1.92,1.83,1.83
5,2515280,Northern Ireland NIFL Premiership,2022/2023,2022-08-13 11:00:00,1,Crusaders,Dungannon Swifts,5,1,6,"['7', '37', '48', '65', '68']",['45+2'],1.33,5.0,7.5,1.49,2.33,1.82,1.94
6,2515282,Northern Ireland NIFL Premiership,2022/2023,2022-08-14 11:00:00,1,Linfield,Portadown,4,0,4,"['7', '57', '72', '86']",[],1.1,7.0,16.0,1.35,2.94,2.44,1.53
7,2515286,Northern Ireland NIFL Premiership,2022/2023,2022-08-19 15:45:00,2,Glentoran,Crusaders,3,1,4,"['8', '53', '78']",['5'],2.07,3.52,3.34,1.82,1.94,1.66,2.16
8,2515288,Northern Ireland NIFL Premiership,2022/2023,2022-08-20 11:00:00,2,Portadown,Coleraine,0,2,2,[],"['20', '47']",5.8,4.6,1.38,1.58,2.28,1.7,2.06
9,2515285,Northern Ireland NIFL Premiership,2022/2023,2022-08-20 11:00:00,2,Glenavon,Larne,1,2,3,['40'],"['34', '90+7']",4.0,3.8,1.66,1.71,2.08,1.73,2.07
10,2515284,Northern Ireland NIFL Premiership,2022/2023,2022-08-20 11:00:00,2,Dungannon Swifts,Ballymena United,0,2,2,[],"['51', '89']",2.88,3.4,2.12,1.73,2.05,1.61,2.25
11,2515283,Northern Ireland NIFL Premiership,2022/2023,2022-08-20 11:00:00,2,Cliftonville,Carrick Rangers,3,2,5,"['1', '53', '70']","['38', '43']",1.3,4.9,7.0,1.71,2.08,2.16,1.67
12,2515287,Northern Ireland NIFL Premiership,2022/2023,2022-08-21 10:00:00,2,Newry City AFC,Linfield,1,3,4,['35'],"['16', '28', '78']",5.5,4.5,1.4,1.45,2.43,1.57,2.34
13,2515289,Northern Ireland NIFL Premiership,2022/2023,2022-08-23 15:45:00,3,Ballymena United,Cliftonville,1,2,3,['36'],"['18', '68']",5.0,3.9,1.65,1.8,2.0,1.83,1.87
14,2515290,Northern Ireland NIFL Premiership,2022/2023,2022-08-23 15:45:00,3,Carrick Rangers,Coleraine,2,4,6,"['45+1', '90+1']","['17', '40', '54', '87']",3.25,3.5,2.15,1.85,1.95,1.75,1.95
15,2515291,Northern Ireland NIFL Premiership,2022/2023,2022-08-23 15:45:00,3,Crusaders,Portadown,2,1,3,"['64', '86']",['32'],1.2,6.5,13.0,1.44,2.59,2.05,1.7
16,2515292,Northern Ireland NIFL Premiership,2022/2023,2022-08-23 15:45:00,3,Dungannon Swifts,Glentoran,0,1,1,[],['86'],8.0,5.0,1.36,1.62,2.3,1.7,2.05
17,2515300,Northern Ireland NIFL Premiership,2022/2023,2022-08-26 15:45:00,4,Portadown,Glentoran,0,3,3,[],"['19', '23', '73']",9.5,5.5,1.3,1.57,2.38,1.73,2.06
18,2515298,Northern Ireland NIFL Premiership,2022/2023,2022-08-26 15:45:00,4,Larne,Ballymena United,3,0,3,"['42', '78', '90']",[],1.32,4.72,6.84,1.63,2.05,1.83,1.93
