Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Northern Ireland NIFL Premiership,2021/2022,2021-08-27 15:45:00,1,Larne,Coleraine,4,2,6,"['32', '72', '87', '90']","['51', '67']",2.1,3.2,3.0,1.83,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Northern Ireland NIFL Premiership,2021/2022,2021-08-27 15:45:00,1,Portadown,Glenavon,1,1,2,['90+1'],['90+4'],4.05,3.95,1.61,1.49,1.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Northern Ireland NIFL Premiership,2021/2022,2021-08-28 11:00:00,1,Cliftonville,Carrick Rangers,2,1,3,"['17', '33']",['12'],1.36,4.65,6.25,1.5,1.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Northern Ireland NIFL Premiership,2021/2022,2021-08-28 11:00:00,1,Dungannon Swifts,Glentoran,2,3,5,"['21', '90']","['8', '50', '85']",6.75,4.55,1.34,1.5,1.74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Northern Ireland NIFL Premiership,2021/2022,2021-08-28 11:00:00,1,Linfield,Crusaders,2,0,2,"['31', '52']",[],1.77,3.45,3.65,1.62,1.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Northern Ireland NIFL Premiership,2021/2022,2021-08-28 11:00:00,1,Warrenpoint Town,Ballymena United,2,1,3,"['43', '47']",['2'],2.95,3.6,1.95,1.54,1.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Northern Ireland NIFL Premiership,2021/2022,2021-08-31 15:45:00,2,Crusaders,Portadown,4,0,4,"['32', '56', '61', '66']",[],1.3,5.0,6.75,1.43,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Northern Ireland NIFL Premiership,2021/2022,2021-08-31 15:45:00,2,Cliftonville,Coleraine,2,1,3,"['79', '81']",['88'],2.95,3.3,2.14,1.86,1.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Northern Ireland NIFL Premiership,2021/2022,2021-08-31 15:45:00,2,Carrick Rangers,Warrenpoint Town,1,0,1,['17'],[],2.65,3.4,2.28,1.67,1.47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Northern Ireland NIFL Premiership,2021/2022,2021-09-04 11:00:00,3,Warrenpoint Town,Glenavon,1,6,7,['11'],"['12', '20', '24', '42', '59', '87']",3.45,3.55,1.8,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
