Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1565986,Norway Eliteserien,2022,2022-04-02 11:00:00,1,HamKam,Lillestrøm,2,2,4,"['11', '21']","['65', '70']",2.85,3.25,2.55,1.95,1.86,1.7,2.05
2,1565987,Norway Eliteserien,2022,2022-04-02 13:00:00,1,Molde,Vålerenga,1,0,1,['57'],[],1.55,4.2,5.35,1.47,2.57,1.57,2.25
3,1565988,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Aalesund,Kristiansund,1,0,1,['52'],[],1.9,3.53,3.31,1.67,2.15,1.57,2.25
4,1565989,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Haugesund,Sandefjord,1,3,4,['75'],"['13', '27', '42']",1.73,3.48,4.0,1.8,1.9,1.75,2.0
5,1565990,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Jerv,Strømsgodset,1,0,1,['69'],[],2.38,3.35,2.53,1.7,2.05,1.62,2.2
6,1565991,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Sarpsborg 08,Viking,0,1,1,[],['89'],2.25,3.31,2.75,1.8,1.91,1.62,2.2
7,1565992,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Odd,Tromsø,2,0,2,"['6', '54']",[],2.05,3.35,3.07,1.74,1.96,1.67,2.1
8,1565993,Norway Eliteserien,2022,2022-04-03 15:00:00,1,FK Bodo - Glimt,Rosenborg,2,2,4,"['63', '70']","['16', '75']",1.63,4.0,4.8,1.62,2.15,1.7,2.05
9,1565994,Norway Eliteserien,2022,2022-04-09 11:00:00,2,Lillestrøm,Jerv,4,0,4,"['12', '40', '71', '90+5']",[],1.4,4.9,7.6,1.64,2.25,1.92,1.87
10,1565995,Norway Eliteserien,2022,2022-04-10 13:00:00,2,Sandefjord,FK Bodo - Glimt,1,2,3,['67'],"['13', '76']",3.95,4.1,1.81,1.7,2.0,1.68,2.15
11,1565996,Norway Eliteserien,2022,2022-04-10 13:00:00,2,Kristiansund,Sarpsborg 08,2,3,5,"['52', '79']","['1', '32', '42']",1.99,3.85,3.45,1.75,1.95,1.65,2.25
12,1565997,Norway Eliteserien,2022,2022-04-10 13:00:00,2,Strømsgodset,Molde,1,3,4,['41'],"['58', '68', '79']",3.7,4.0,1.89,1.65,2.1,1.6,2.3
13,1565998,Norway Eliteserien,2022,2022-04-10 13:00:00,2,Rosenborg,Odd,1,0,1,['33'],[],1.7,4.2,4.45,1.6,2.2,1.63,2.25
14,1565999,Norway Eliteserien,2022,2022-04-10 13:00:00,2,Tromsø,HamKam,2,1,3,"['10', '51']",['15'],1.89,3.9,3.75,1.95,1.75,1.88,1.9
15,1566000,Norway Eliteserien,2022,2022-04-10 13:00:00,2,Vålerenga,Haugesund,2,1,3,"['1', '5']",['43'],1.83,4.05,3.9,1.7,2.0,1.72,2.1
16,1566001,Norway Eliteserien,2022,2022-04-10 15:00:00,2,Viking,Aalesund,1,0,1,['72'],[],1.57,3.9,5.0,1.57,2.3,1.65,2.2
17,1566002,Norway Eliteserien,2022,2022-04-18 13:00:00,3,Aalesund,Tromsø,2,2,4,"['18', '69']","['51', '90+5']",2.15,3.5,3.35,1.61,2.18,1.72,2.1
18,1566003,Norway Eliteserien,2022,2022-04-18 13:00:00,3,HamKam,Sandefjord,3,0,3,"['42', '77', '81']",[],2.82,3.42,2.49,1.71,2.02,1.72,2.1
19,1566004,Norway Eliteserien,2022,2022-04-18 13:00:00,3,Haugesund,Strømsgodset,0,1,1,[],['81'],2.01,3.63,3.62,1.61,2.18,1.58,2.35
20,1566005,Norway Eliteserien,2022,2022-04-18 13:00:00,3,Jerv,Kristiansund,1,0,1,['29'],[],2.99,3.48,2.34,1.7,2.04,1.68,2.15
21,1566006,Norway Eliteserien,2022,2022-04-18 13:00:00,3,Molde,Lillestrøm,1,2,3,['79'],"['19', '90+8']",1.55,4.5,5.45,1.52,2.43,1.65,2.1
22,1566007,Norway Eliteserien,2022,2022-04-18 13:00:00,3,Sarpsborg 08,Rosenborg,1,1,2,['45+2'],['64'],2.64,3.45,2.62,1.63,2.14,1.63,2.15
23,1566008,Norway Eliteserien,2022,2022-04-18 13:00:00,3,Odd,Viking,2,1,3,"['51', '90+5']",['88'],2.05,3.6,3.52,1.61,2.18,1.55,2.3
24,1566009,Norway Eliteserien,2022,2022-04-18 15:00:00,3,FK Bodo - Glimt,Vålerenga,5,1,6,"['36', '41', '62', '71', '78']",['86'],1.45,4.85,6.6,1.57,2.31,1.66,2.2
25,1566010,Norway Eliteserien,2022,2022-04-23 11:00:00,4,Odd,Aalesund,2,3,5,"['50', '65']","['14', '34', '55']",1.87,3.3,3.5,1.73,2.0,1.67,2.1
26,1566011,Norway Eliteserien,2022,2022-04-23 13:00:00,4,Strømsgodset,Sandefjord,0,5,5,[],"['15', '41', '63', '71', '80']",1.68,3.95,4.9,1.87,2.03,1.91,1.91
27,1566012,Norway Eliteserien,2022,2022-04-24 13:00:00,4,Kristiansund,HamKam,2,2,4,"['16', '63']","['44', '85']",2.06,3.64,3.48,1.84,1.98,1.67,2.1
28,1566013,Norway Eliteserien,2022,2022-04-24 13:00:00,4,Lillestrøm,Haugesund,1,0,1,['87'],[],2.06,3.68,3.44,1.76,2.09,1.8,1.95
29,1566014,Norway Eliteserien,2022,2022-04-24 13:00:00,4,Tromsø,Sarpsborg 08,2,5,7,"['45', '75']","['14', '34', '48', '52', '85']",2.34,3.5,3.0,1.93,1.9,1.8,1.95
30,1566015,Norway Eliteserien,2022,2022-04-24 13:00:00,4,Viking,FK Bodo - Glimt,2,0,2,"['26', '67']",[],2.85,3.7,2.34,1.55,2.29,1.5,2.5
31,1566016,Norway Eliteserien,2022,2022-04-24 13:00:00,4,Vålerenga,Jerv,1,0,1,['82'],[],1.7,4.06,4.66,1.74,2.12,1.91,1.91
32,1566017,Norway Eliteserien,2022,2022-04-24 15:00:00,4,Rosenborg,Molde,0,0,0,[],[],2.61,3.56,2.61,1.79,2.05,1.5,2.5
33,1566110,Norway Eliteserien,2022,2022-04-28 15:00:00,15,Lillestrøm,Aalesund,2,0,2,"['9', '33']",[],1.67,4.3,4.55,1.55,2.3,1.65,2.1
34,1566122,Norway Eliteserien,2022,2022-04-30 13:00:00,16,Viking,Haugesund,5,1,6,"['27', '42', '51', '90', '90+4']",['21'],1.44,4.6,6.5,1.5,2.4,1.75,2.03
35,1566018,Norway Eliteserien,2022,2022-05-07 11:00:00,5,Sarpsborg 08,Odd,1,0,1,['63'],[],1.7,3.55,4.65,1.75,2.08,1.7,2.05
36,1566019,Norway Eliteserien,2022,2022-05-07 13:00:00,5,Molde,Viking,3,4,7,"['14', '25', '28']","['30', '63', '72', '83']",1.54,3.83,5.22,1.36,2.9,1.44,2.63
37,1566020,Norway Eliteserien,2022,2022-05-08 13:00:00,5,FK Bodo - Glimt,Lillestrøm,1,1,2,['82'],['32'],1.58,4.4,5.1,1.63,2.28,1.62,2.2
38,1566021,Norway Eliteserien,2022,2022-05-08 13:00:00,5,Haugesund,Kristiansund,2,0,2,"['2', '48']",[],2.38,3.35,3.0,1.85,1.95,1.62,2.2
39,1566022,Norway Eliteserien,2022,2022-05-08 13:00:00,5,Jerv,Tromsø,1,1,2,['30'],['33'],3.1,3.25,2.35,2.12,1.72,1.75,2.0
40,1566023,Norway Eliteserien,2022,2022-05-08 13:00:00,5,Strømsgodset,Rosenborg,3,0,3,"['2', '22', '37']",[],2.95,3.45,2.35,1.7,2.15,1.57,2.25
41,1566024,Norway Eliteserien,2022,2022-05-08 13:00:00,5,Sandefjord,Vålerenga,1,3,4,['74'],"['9', '32', '51']",2.9,3.4,2.43,1.81,2.0,1.62,2.2
42,1566025,Norway Eliteserien,2022,2022-05-08 15:00:00,5,HamKam,Aalesund,0,0,0,[],[],2.0,3.25,4.1,2.08,1.75,1.75,2.0
43,1566134,Norway Eliteserien,2022,2022-05-11 14:00:00,18,Molde,Odd,3,0,3,"['15', '34', '63']",[],1.33,5.0,7.5,1.4,2.75,1.66,2.22
44,1566138,Norway Eliteserien,2022,2022-05-12 14:00:00,18,Viking,Strømsgodset,0,0,0,[],[],1.53,4.43,5.44,1.4,2.75,1.64,2.26
45,1566089,Norway Eliteserien,2022,2022-05-12 14:00:00,12,Tromsø,Vålerenga,1,0,1,['67'],[],2.31,3.58,2.98,1.76,2.07,1.64,2.26
