Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Norway Eliteserien,2022,2022-04-02 11:00:00,1,HamKam,Lillestrøm,2,2,4,"['11', '21']","['65', '70']",2.85,3.25,2.55,1.95,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Norway Eliteserien,2022,2022-04-02 13:00:00,1,Molde,Vålerenga,1,0,1,['57'],[],1.55,4.2,5.35,1.47,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Aalesund,Kristiansund,1,0,1,['52'],[],1.9,3.53,3.31,1.67,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Haugesund,Sandefjord,1,3,4,['75'],"['13', '27', '42']",1.73,3.48,4.0,1.8,1.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Jerv,Strømsgodset,1,0,1,['69'],[],2.38,3.35,2.53,1.7,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Sarpsborg 08,Viking,0,1,1,[],['89'],2.25,3.31,2.75,1.8,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Norway Eliteserien,2022,2022-04-03 13:00:00,1,Odd,Tromsø,2,0,2,"['6', '54']",[],2.05,3.35,3.07,1.74,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Norway Eliteserien,2022,2022-04-03 15:00:00,1,FK Bodo - Glimt,Rosenborg,2,2,4,"['63', '70']","['16', '75']",1.63,4.0,4.8,1.62,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Norway Eliteserien,2022,2022-04-09 11:00:00,2,Lillestrøm,Jerv,4,0,4,"['12', '40', '71', '90+5']",[],1.4,4.9,7.6,1.64,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Norway Eliteserien,2022,2022-04-10 13:00:00,2,Sandefjord,FK Bodo - Glimt,1,2,3,['67'],"['13', '76']",3.95,4.1,1.81,1.7,1.68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
