Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Norway First Division,2022,2022-04-02 11:00:00,1,Sandnes Ulf,Bryne,2,1,3,"['6', '16']",['14'],1.92,3.8,3.65,1.62,1.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Norway First Division,2022,2022-04-03 10:00:00,1,KFUM,Grorud,2,2,4,"['23', '90+5']","['30', '45']",1.65,4.0,4.5,1.57,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Norway First Division,2022,2022-04-03 10:00:00,1,Ranheim,Brann,0,4,4,[],"['29', '45', '53', '87']",3.3,3.5,1.92,1.58,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Norway First Division,2022,2022-04-04 12:30:00,1,Skeid,Stabæk,2,3,5,"['5', '78']","['24', '66', '71']",3.5,3.45,1.88,1.57,1.53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Norway First Division,2022,2022-04-04 13:00:00,1,Fredrikstad,Stjørdals-Blink,2,2,4,"['7', '41']","['4', '72']",1.49,4.2,5.0,1.45,1.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Norway First Division,2022,2022-04-04 13:00:00,1,Mjøndalen,Kongsvinger,1,0,1,['15'],[],1.95,3.45,3.25,1.6,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Norway First Division,2022,2022-04-04 13:00:00,1,Sogndal,Raufoss,2,0,2,"['29', '47']",[],1.7,3.7,3.95,1.57,1.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Norway First Division,2022,2022-04-04 13:00:00,1,Åsane,Start,1,5,6,['48'],"['3', '23', '59', '61', '90']",2.5,3.2,2.5,1.6,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Norway First Division,2022,2022-04-09 13:00:00,2,Brann,Åsane,1,1,2,['53'],['50'],1.3,4.75,8.5,1.55,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Norway First Division,2022,2022-04-10 10:00:00,2,Grorud,Fredrikstad,2,2,4,"['24', '77']","['51', '63']",3.0,3.5,2.0,1.57,1.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Norway First Division,2022,2022-04-11 13:00:00,2,Stjørdals-Blink,Sandnes Ulf,1,2,3,['33'],"['40', '90+3']",2.64,3.64,2.47,1.73,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,Norway First Division,2022,2022-04-11 13:00:00,2,Stabæk,Sogndal,0,0,0,[],[],1.74,3.9,4.36,1.74,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Norway First Division,2022,2022-04-11 13:00:00,2,Start,Mjøndalen,1,1,2,['33'],['19'],2.3,3.56,2.92,1.74,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Norway First Division,2022,2022-04-11 13:00:00,2,Kongsvinger,Skeid,1,0,1,['10'],[],2.01,3.74,3.4,1.62,1.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Norway First Division,2022,2022-04-11 13:00:00,2,Bryne,KFUM,1,2,3,['38'],"['16', '47']",2.11,3.58,3.26,1.78,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Norway First Division,2022,2022-04-11 13:00:00,2,Raufoss,Ranheim,1,1,2,['83'],['45+1'],2.22,3.94,2.83,1.44,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Norway First Division,2022,2022-04-18 10:00:00,3,Fredrikstad,Start,1,0,1,['49'],[],2.15,3.82,3.02,1.52,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Norway First Division,2022,2022-04-19 13:00:00,3,KFUM,Raufoss,1,1,2,['87'],['2'],2.0,3.65,3.35,1.65,1.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Norway First Division,2022,2022-04-19 13:00:00,3,Mjøndalen,Stjørdals-Blink,2,1,3,"['24', '48']",['41'],1.62,3.85,5.0,1.73,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Norway First Division,2022,2022-04-19 13:00:00,3,Ranheim,Grorud,2,1,3,"['17', '50']",['82'],1.8,3.8,3.9,1.45,1.53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Norway First Division,2022,2022-04-19 13:00:00,3,Sandnes Ulf,Kongsvinger,4,1,5,"['4', '22', '55', '60']",['90+1'],1.95,3.45,3.65,1.54,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Norway First Division,2022,2022-04-19 13:00:00,3,Skeid,Brann,2,3,5,"['40', '60']","['30', '58', '90+5']",5.2,4.1,1.56,1.55,1.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Norway First Division,2022,2022-04-19 13:00:00,3,Sogndal,Bryne,2,1,3,"['9', '63']",['80'],1.72,3.65,4.6,1.83,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Norway First Division,2022,2022-04-19 13:00:00,3,Åsane,Stabæk,0,4,4,[],"['8', '23', '64', '71']",3.05,3.5,2.17,1.68,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Norway First Division,2022,2022-04-23 15:00:00,4,Brann,Sogndal,1,1,2,['38'],['80'],1.51,4.0,5.3,1.94,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Norway First Division,2022,2022-04-24 10:00:00,4,Raufoss,Grorud,1,1,2,['51'],['57'],1.7,4.2,4.36,1.5,1.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Norway First Division,2022,2022-04-24 10:00:00,4,Stjørdals-Blink,KFUM,1,3,4,['77'],"['38', '87', '90+1']",2.49,3.42,2.74,1.83,1.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Norway First Division,2022,2022-04-25 13:00:00,4,Start,Skeid,3,2,5,"['1', '36', '83']","['5', '38']",1.66,3.6,3.57,1.5,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,Norway First Division,2022,2022-04-25 13:00:00,4,Stabæk,Sandnes Ulf,0,1,1,[],['38'],1.72,3.52,3.42,1.61,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Norway First Division,2022,2022-04-25 13:00:00,4,Kongsvinger,Åsane,1,1,2,['58'],['4'],2.24,3.12,2.54,1.53,1.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Norway First Division,2022,2022-04-25 13:00:00,4,Bryne,Ranheim,1,2,3,['69'],"['58', '84']",2.24,3.12,2.54,1.67,1.57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Norway First Division,2022,2022-04-25 13:00:00,4,Mjøndalen,Fredrikstad,2,0,2,"['12', '63']",[],1.75,3.48,3.31,1.61,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,Norway First Division,2022,2022-04-29 12:00:00,10,Mjøndalen,Bryne,2,1,3,"['84', '90+9']",['68'],1.53,4.1,5.6,1.82,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Norway First Division,2022,2022-05-08 10:00:00,5,Grorud,Start,0,3,3,[],"['21', '58', '81']",2.45,3.3,2.5,1.5,1.44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Norway First Division,2022,2022-05-08 10:00:00,5,Skeid,Mjøndalen,1,2,3,['7'],"['3', '47']",3.25,3.3,2.0,1.62,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Norway First Division,2022,2022-05-08 10:00:00,5,Åsane,Stjørdals-Blink,1,1,2,['42'],['90+3'],1.85,3.5,3.5,1.53,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
