Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1178141,Paraguay Division Profesional,2021,2021-02-05 18:30:00,1,Sportivo Luqueño,Guaireña,3,1,4,"['29', '40', '50']",['11'],2.6,2.8,2.65,2.0,1.62,1.8,1.83
2,1178142,Paraguay Division Profesional,2021,2021-02-05 20:45:00,1,Guaraní,Nacional Asunción,2,2,4,"['50', '55']","['47', '68']",2.2,3.05,3.0,2.0,1.65,1.83,1.8
3,1178143,Paraguay Division Profesional,2021,2021-02-06 18:30:00,1,12 de Octubre,River Plate,2,2,4,"['9', '27']","['13', '15']",3.25,3.15,2.05,1.8,1.8,1.71,1.95
4,1178144,Paraguay Division Profesional,2021,2021-02-06 20:45:00,1,Sol de América,Cerro Porteño,1,3,4,['14'],"['43', '79', '81']",4.3,3.65,1.62,1.71,1.91,1.71,1.91
5,1178145,Paraguay Division Profesional,2021,2021-02-07 19:00:00,1,Olimpia,Libertad,0,1,1,[],['13'],2.7,3.2,2.3,1.59,2.1,1.48,2.35
6,1178146,Paraguay Division Profesional,2021,2021-02-09 18:30:00,2,River Plate,Guaraní,1,4,5,['85'],"['53', '59', '64', '90+2']",2.8,3.0,2.35,1.91,1.71,1.74,1.87
7,1178147,Paraguay Division Profesional,2021,2021-02-09 20:45:00,2,Nacional Asunción,Sol de América,1,0,1,['25'],[],2.5,3.0,2.6,1.83,1.77,1.65,2.0
8,1178148,Paraguay Division Profesional,2021,2021-02-10 18:30:00,2,Cerro Porteño,Sportivo Luqueño,1,0,1,['65'],[],1.35,4.2,6.75,1.71,1.87,2.0,1.67
9,1178149,Paraguay Division Profesional,2021,2021-02-10 20:45:00,2,12 de Octubre,Olimpia,0,2,2,[],"['30', '70']",5.5,4.1,1.43,1.48,2.3,1.57,2.15
10,1178151,Paraguay Division Profesional,2021,2021-02-13 20:30:00,3,Guaraní,12 de Octubre,2,1,3,"['15', '79']",['72'],1.54,3.6,5.25,1.71,1.91,1.74,1.91
11,1178152,Paraguay Division Profesional,2021,2021-02-14 18:30:00,3,Sportivo Luqueño,Nacional Asunción,0,3,3,[],"['15', '43', '45+2']",2.95,3.05,2.25,1.83,1.74,1.69,1.95
12,1178153,Paraguay Division Profesional,2021,2021-02-14 20:45:00,3,Olimpia,Guaireña,0,0,0,[],[],1.48,3.9,5.5,1.62,2.0,1.69,1.95
13,1178154,Paraguay Division Profesional,2021,2021-02-15 18:30:00,3,Sol de América,River Plate,1,1,2,['74'],['90+13'],2.1,3.0,3.25,1.87,1.74,1.74,1.91
14,1178155,Paraguay Division Profesional,2021,2021-02-15 20:45:00,3,Libertad,Cerro Porteño,2,1,3,"['22', '39']",['5'],2.45,2.85,2.85,1.87,1.74,1.65,2.0
15,1178158,Paraguay Division Profesional,2021,2021-02-19 19:30:00,4,River Plate,Sportivo Luqueño,1,0,1,['90+2'],[],2.05,3.2,3.2,1.83,1.77,1.71,1.91
16,1178157,Paraguay Division Profesional,2021,2021-02-20 18:30:00,4,12 de Octubre,Sol de América,0,5,5,[],"['3', '14', '42', '43', '60']",4.6,3.65,1.59,1.57,2.1,1.59,2.1
17,1178156,Paraguay Division Profesional,2021,2021-02-20 20:45:00,4,Guaraní,Olimpia,0,3,3,[],"['19', '58', '85']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1178160,Paraguay Division Profesional,2021,2021-02-21 18:30:00,4,Cerro Porteño,Guaireña,2,2,4,"['26', '37']","['86', '89']",1.57,3.4,5.25,1.83,1.77,1.87,1.77
19,1178159,Paraguay Division Profesional,2021,2021-02-21 20:45:00,4,Nacional Asunción,Libertad,0,3,3,[],"['3', '68', '72']",2.65,3.1,2.4,1.74,1.87,1.61,2.1
20,1178150,Paraguay Division Profesional,2021,2021-02-24 19:00:00,2,Guaireña,Libertad,1,0,1,['64'],[],5.25,3.7,1.57,1.65,2.1,1.62,2.05
21,1178164,Paraguay Division Profesional,2021,2021-02-26 19:30:00,5,Sportivo Luqueño,12 de Octubre,1,0,1,['61'],[],1.91,3.3,3.5,1.74,1.87,1.67,2.0
22,1178165,Paraguay Division Profesional,2021,2021-02-27 19:30:00,5,Sol de América,Guaraní,1,3,4,['45'],"['32', '54', '56']",2.65,3.0,2.45,1.77,1.83,1.62,2.05
23,1178161,Paraguay Division Profesional,2021,2021-02-28 18:30:00,5,Olimpia,Cerro Porteño,2,0,2,"['29', '62']",[],2.1,3.3,3.0,1.71,1.91,1.65,2.05
24,1178162,Paraguay Division Profesional,2021,2021-03-01 18:30:00,5,Guaireña,Nacional Asunción,1,0,1,['47'],[],3.1,2.9,2.25,2.05,1.61,1.8,1.83
25,1178163,Paraguay Division Profesional,2021,2021-03-01 20:45:00,5,Libertad,River Plate,2,1,3,"['69', '90+6']",['49'],1.56,3.45,5.25,1.69,1.91,1.71,1.95
26,1178169,Paraguay Division Profesional,2021,2021-03-05 18:15:00,6,River Plate,Guaireña,0,1,1,[],['58'],2.21,3.0,3.1,2.2,1.6,1.8,1.83
27,1178168,Paraguay Division Profesional,2021,2021-03-05 20:30:00,6,12 de Octubre,Libertad,2,1,3,"['27', '90+2']",['4'],5.2,3.8,1.51,1.81,2.01,1.71,1.91
28,1178170,Paraguay Division Profesional,2021,2021-03-06 18:15:00,6,Nacional Asunción,Cerro Porteño,2,0,2,"['67', '73']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1178166,Paraguay Division Profesional,2021,2021-03-06 20:30:00,6,Sol de América,Olimpia,0,2,2,[],"['9', '40']",3.94,3.74,1.84,2.15,1.65,1.53,2.15
30,1178167,Paraguay Division Profesional,2021,2021-03-07 19:30:00,6,Guaraní,Sportivo Luqueño,0,1,1,[],['40'],1.62,3.4,4.8,1.71,1.87,1.69,1.95
31,1178173,Paraguay Division Profesional,2021,2021-03-09 18:30:00,7,Guaireña,12 de Octubre,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1178172,Paraguay Division Profesional,2021,2021-03-09 20:45:00,7,Cerro Porteño,River Plate,3,0,3,"['53', '73', '85']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1178171,Paraguay Division Profesional,2021,2021-03-10 18:30:00,7,Olimpia,Nacional Asunción,1,4,5,['37'],"['58', '75', '81', '90']",1.82,3.25,3.8,1.99,1.81,1.67,1.95
34,1178175,Paraguay Division Profesional,2021,2021-03-10 20:45:00,7,Sportivo Luqueño,Sol de América,0,0,0,[],[],2.51,3.1,2.51,1.98,1.78,1.91,1.71
35,1178179,Paraguay Division Profesional,2021,2021-03-13 18:30:00,8,12 de Octubre,Cerro Porteño,0,2,2,[],"['4', '42']",3.7,3.4,1.8,1.93,1.89,1.77,1.87
36,1178180,Paraguay Division Profesional,2021,2021-03-13 18:30:00,8,River Plate,Nacional Asunción,0,0,0,[],[],3.25,2.85,2.17,2.02,1.8,1.8,1.83
37,1178177,Paraguay Division Profesional,2021,2021-03-13 20:45:00,8,Sol de América,Libertad,0,2,2,[],"['19', '60']",3.0,3.4,2.03,1.84,1.98,1.67,2.0
38,1178178,Paraguay Division Profesional,2021,2021-03-14 17:45:00,8,Guaraní,Guaireña,0,3,3,[],"['60', '72', '84']",1.98,3.34,3.76,2.25,1.61,1.91,1.74
39,1178176,Paraguay Division Profesional,2021,2021-03-14 20:00:00,8,Sportivo Luqueño,Olimpia,4,2,6,"['65', '67', '76', '84']","['9', '25']",4.38,3.92,1.7,1.64,2.18,1.59,2.1
40,1178182,Paraguay Division Profesional,2021,2021-03-20 19:00:00,9,Nacional Asunción,12 de Octubre,1,1,2,['27'],['20'],1.95,3.34,3.88,1.83,1.87,1.83,1.8
41,1178183,Paraguay Division Profesional,2021,2021-03-21 18:15:00,9,Cerro Porteño,Guaraní,2,1,3,"['40', '90+3']",['82'],1.69,3.35,4.35,1.83,1.77,1.8,1.83
42,1178181,Paraguay Division Profesional,2021,2021-03-21 20:30:00,9,Olimpia,River Plate,5,1,6,"['10', '32', '82', '90', '90+7']",['44'],1.39,4.0,6.25,1.57,2.1,1.71,1.91
43,1178184,Paraguay Division Profesional,2021,2021-03-22 18:15:00,9,Guaireña,Sol de América,2,2,4,"['39', '90+7']","['34', '42']",2.45,2.9,2.8,2.15,1.54,1.91,1.71
44,1178185,Paraguay Division Profesional,2021,2021-03-22 20:30:00,9,Libertad,Sportivo Luqueño,2,0,2,"['48', '69']",[],1.36,4.15,6.5,1.62,2.0,1.83,1.8
45,1178174,Paraguay Division Profesional,2021,2021-03-28 20:00:00,7,Libertad,Guaraní,1,1,2,['18'],['85'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1178190,Paraguay Division Profesional,2021,2021-04-01 19:15:00,10,River Plate,12 de Octubre,0,2,2,[],"['65', '67']",2.32,3.29,3.03,2.14,1.73,1.8,1.83
47,1178189,Paraguay Division Profesional,2021,2021-04-01 21:30:00,10,Nacional Asunción,Guaraní,2,0,2,"['68', '88']",[],2.79,3.18,2.55,2.19,1.7,1.74,1.91
48,1178187,Paraguay Division Profesional,2021,2021-04-03 19:15:00,10,Guaireña,Sportivo Luqueño,3,0,3,"['25', '40', '75']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1178186,Paraguay Division Profesional,2021,2021-04-03 21:30:00,10,Libertad,Olimpia,0,1,1,[],['17'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1178188,Paraguay Division Profesional,2021,2021-04-04 20:00:00,10,Cerro Porteño,Sol de América,1,0,1,['37'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1178193,Paraguay Division Profesional,2021,2021-04-10 19:15:00,11,Sol de América,Nacional Asunción,1,2,3,['77'],"['7', '52']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1178191,Paraguay Division Profesional,2021,2021-04-10 21:30:00,11,Olimpia,12 de Octubre,2,2,4,"['43', '90+10']","['53', '90+2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1178194,Paraguay Division Profesional,2021,2021-04-11 19:15:00,11,Sportivo Luqueño,Cerro Porteño,3,3,6,"['16', '39', '47']","['4', '43', '54']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1178195,Paraguay Division Profesional,2021,2021-04-11 21:30:00,11,Libertad,Guaireña,2,1,3,"['19', '45']",['53'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1178192,Paraguay Division Profesional,2021,2021-04-12 20:00:00,11,Guaraní,River Plate,2,0,2,"['41', '90+7']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1178196,Paraguay Division Profesional,2021,2021-04-16 19:00:00,12,Guaireña,Olimpia,1,2,3,['4'],"['15', '24']",3.85,3.15,1.85,1.93,1.83,1.77,1.87
57,1178200,Paraguay Division Profesional,2021,2021-04-16 21:15:00,12,12 de Octubre,Guaraní,1,1,2,['50'],['35'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1178198,Paraguay Division Profesional,2021,2021-04-17 18:45:00,12,Nacional Asunción,Sportivo Luqueño,1,0,1,['90+9'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1178199,Paraguay Division Profesional,2021,2021-04-17 21:00:00,12,River Plate,Sol de América,0,2,2,[],"['20', '35']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1178197,Paraguay Division Profesional,2021,2021-04-18 18:45:00,12,Cerro Porteño,Libertad,0,3,3,[],"['51', '66', '75']",2.7,3.05,2.4,1.95,1.67,1.8,1.83
61,1178202,Paraguay Division Profesional,2021,2021-04-23 20:00:00,13,Sol de América,12 de Octubre,0,3,3,[],"['61', '74', '90+3']",2.15,3.2,2.95,1.91,1.71,1.77,1.87
62,1178201,Paraguay Division Profesional,2021,2021-04-24 21:00:00,13,Olimpia,Guaraní,2,1,3,"['15', '60']",['30'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1178205,Paraguay Division Profesional,2021,2021-04-25 18:45:00,13,Guaireña,Cerro Porteño,0,1,1,[],['45+3'],3.05,3.15,2.1,1.95,1.67,1.8,1.83
64,1178204,Paraguay Division Profesional,2021,2021-04-25 21:00:00,13,Libertad,Nacional Asunción,1,1,2,['53'],['24'],1.66,3.4,4.6,1.9,1.95,1.67,2.0
65,1178203,Paraguay Division Profesional,2021,2021-04-26 19:15:00,13,Sportivo Luqueño,River Plate,2,2,4,"['28', '59']","['84', '90+1']",2.2,3.05,3.05,2.18,1.64,1.77,1.87
