Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1557140,Peru Primera División,2022,2022-02-04 15:15:00,1,César Vallejo,Cienciano,0,0,0,[],[],2.05,3.25,3.05,2.0,1.8,1.86,1.84
2,1557141,Peru Primera División,2022,2022-02-04 17:30:00,1,UTC Cajamarca,Sport Boys,2,1,3,"['4', '90+6']",['7'],1.69,3.55,4.05,1.9,1.86,1.95,1.77
3,1557142,Peru Primera División,2022,2022-02-04 21:00:00,1,Alianza Lima,Atlético Grau,1,1,2,['78'],['68'],1.35,4.25,6.8,1.9,1.86,1.98,1.74
4,1557143,Peru Primera División,2022,2022-02-05 15:15:00,1,Deportivo Municipal,Ayacucho,3,2,5,"['4', '19', '72']","['13', '20']",2.22,3.4,3.18,1.9,1.9,1.68,2.05
5,1557485,Peru Primera División,2022,2022-02-05 17:30:00,1,Sport Huancayo,Sporting Cristal,1,0,1,['39'],[],2.88,3.4,2.4,1.9,1.9,1.7,2.05
6,1557144,Peru Primera División,2022,2022-02-05 21:00:00,1,Melgar,Carlos Manucci,1,0,1,['59'],[],1.51,4.25,6.2,1.65,2.15,1.6,2.23
7,1557145,Peru Primera División,2022,2022-02-06 15:15:00,1,Carlos Stein,ADT,0,0,0,[],[],1.73,3.35,3.69,2.0,1.78,0.0,0.0
8,1557146,Peru Primera División,2022,2022-02-06 17:30:00,1,Academia Cantolao,Universitario,0,3,3,[],"['71', '73', '76']",2.92,3.35,2.08,1.9,1.86,1.77,1.95
9,1557149,Peru Primera División,2022,2022-02-11 21:00:00,2,Universitario,Universidad San Martín,3,0,3,"['17', '71', '86']",[],1.55,3.8,4.8,1.92,1.88,1.8,1.8
10,1557151,Peru Primera División,2022,2022-02-12 15:15:00,2,Alianza Atlético,UTC Cajamarca,1,0,1,['12'],[],2.76,3.21,2.56,1.95,1.81,1.78,1.98
11,1557147,Peru Primera División,2022,2022-02-12 17:00:00,2,ADT,César Vallejo,0,0,0,[],[],1.64,4.28,4.44,1.85,1.85,0.0,0.0
12,1557148,Peru Primera División,2022,2022-02-12 17:30:00,2,Ayacucho,Carlos Stein,2,1,3,"['52', '82']",['60'],2.73,3.27,2.56,1.84,1.76,1.8,1.96
13,1557153,Peru Primera División,2022,2022-02-12 21:00:00,2,Cienciano,Deportivo Municipal,4,2,6,"['25', '64', '77', '90+1']","['84', '90+4']",1.98,3.4,3.76,1.85,1.83,1.88,1.88
14,1557152,Peru Primera División,2022,2022-02-13 15:15:00,2,Sporting Cristal,Melgar,2,2,4,"['26', '81']","['14', '53']",2.2,3.3,2.9,1.83,1.97,1.61,2.26
15,1557486,Peru Primera División,2022,2022-02-13 15:30:00,2,Atlético Grau,Sport Huancayo,3,4,7,"['2', '69', '83']","['40', '64', '79', '90+6']",2.3,3.4,2.63,2.1,1.7,1.67,2.1
16,1557150,Peru Primera División,2022,2022-02-13 17:30:00,2,Sport Boys,Alianza Lima,0,0,0,[],[],3.6,3.3,1.91,2.04,1.84,1.83,1.93
17,1557154,Peru Primera División,2022,2022-02-14 21:00:00,2,Deportivo Binacional,Academia Cantolao,5,0,5,"['8', '23', '28', '47', '90+2']",[],1.4,4.22,6.66,1.8,1.87,1.86,1.76
18,1557158,Peru Primera División,2022,2022-02-19 13:30:00,3,Carlos Stein,Universitario,2,1,3,"['67', '90+1']",['59'],3.5,3.45,1.95,1.83,1.89,1.66,2.0
19,1557164,Peru Primera División,2022,2022-02-19 15:15:00,3,Deportivo Municipal,Deportivo Binacional,1,0,1,['85'],[],2.02,3.3,3.45,1.76,1.97,1.58,2.1
20,1557160,Peru Primera División,2022,2022-02-19 17:30:00,3,UTC Cajamarca,Atlético Grau,0,0,0,[],[],1.4,4.0,7.0,1.68,2.08,1.97,1.78
21,1557163,Peru Primera División,2022,2022-02-19 21:00:00,3,Sport Huancayo,Melgar,3,0,3,"['9', '49', '86']",[],3.25,3.15,2.15,1.97,1.76,1.71,1.95
22,1557161,Peru Primera División,2022,2022-02-20 13:00:00,3,Academia Cantolao,Alianza Atlético,1,3,4,['90'],"['10', '32', '61']",2.63,3.1,2.6,1.97,1.76,1.71,2.02
23,1557157,Peru Primera División,2022,2022-02-20 15:15:00,3,César Vallejo,Ayacucho,2,1,3,"['70', '81']",['37'],2.0,3.2,3.7,2.1,1.65,1.86,1.89
24,1557162,Peru Primera División,2022,2022-02-20 17:30:00,3,Alianza Lima,Carlos Manucci,3,1,4,"['56', '81', '90+2']",['45+2'],1.75,3.4,4.4,1.85,1.85,1.78,1.98
25,1557155,Peru Primera División,2022,2022-02-20 21:00:00,3,Cienciano,ADT,0,0,0,[],[],1.37,4.4,8.0,1.75,1.95,0.0,0.0
26,1557159,Peru Primera División,2022,2022-02-21 17:00:00,3,Universidad San Martín,Sport Boys,2,0,2,"['25', '71']",[],2.81,3.11,2.55,2.01,1.75,1.76,1.97
27,1557171,Peru Primera División,2022,2022-02-25 17:30:00,4,Sporting Cristal,UTC Cajamarca,3,2,5,"['16', '44', '65']","['45+2', '78']",1.45,4.5,7.2,1.76,1.93,2.0,1.77
28,1557172,Peru Primera División,2022,2022-02-25 21:00:00,4,Deportivo Binacional,Cienciano,3,2,5,"['16', '33', '41']","['80', '90+8']",2.65,3.4,2.65,1.77,2.04,1.69,2.1
29,1557169,Peru Primera División,2022,2022-02-26 15:30:00,4,Atlético Grau,Academia Cantolao,1,0,1,['20'],[],2.3,3.1,2.88,2.0,1.78,1.86,1.9
30,1557166,Peru Primera División,2022,2022-02-26 17:30:00,4,Ayacucho,Universidad San Martín,5,0,5,"['36', '54', '62', '71', '90+4']",[],1.5,3.9,5.0,1.9,1.88,1.88,1.88
31,1557487,Peru Primera División,2022,2022-02-26 19:45:00,4,Carlos Manucci,Sport Huancayo,0,1,1,[],['87'],2.03,3.35,3.25,2.05,1.83,1.82,1.94
32,1557168,Peru Primera División,2022,2022-02-27 13:00:00,4,Sport Boys,Carlos Stein,2,1,3,"['29', '85']",['62'],2.15,3.0,3.1,2.05,1.67,1.83,1.93
33,1557170,Peru Primera División,2022,2022-02-27 15:15:00,4,Alianza Atlético,Alianza Lima,4,2,6,"['32', '44', '51', '90+8']","['22', '50']",3.9,3.45,1.99,2.09,1.73,1.89,1.86
34,1557165,Peru Primera División,2022,2022-02-27 17:00:00,4,ADT,Deportivo Municipal,2,3,5,"['11', '61']","['39', '52', '69']",2.02,3.45,3.75,1.98,1.84,0.0,0.0
35,1557167,Peru Primera División,2022,2022-02-27 17:30:00,4,Universitario,César Vallejo,3,0,3,"['15', '38', '73']",[],2.15,3.4,3.45,1.96,1.86,1.85,1.91
36,1557173,Peru Primera División,2022,2022-03-04 17:30:00,5,UTC Cajamarca,Melgar,3,1,4,"['47', '66', '83']",['72'],2.97,3.32,2.38,2.1,1.7,1.85,1.91
37,1557180,Peru Primera División,2022,2022-03-04 21:00:00,5,Cienciano,Ayacucho,3,1,4,"['71', '90+4', '90+6']",['82'],1.82,3.74,4.15,1.83,1.91,1.58,2.1
38,1557179,Peru Primera División,2022,2022-03-05 17:00:00,5,Deportivo Municipal,Universitario,2,1,3,"['34', '57']",['70'],3.01,3.54,2.2,1.74,2.02,1.68,2.05
39,1557178,Peru Primera División,2022,2022-03-05 21:00:00,5,César Vallejo,Sport Boys,1,1,2,['44'],['73'],2.02,3.28,3.7,2.05,1.73,2.1,1.67
40,1557175,Peru Primera División,2022,2022-03-06 13:00:00,5,Academia Cantolao,Carlos Manucci,3,2,5,"['4', '13', '90+1']","['45+1', '76']",3.04,3.2,2.18,1.93,1.78,1.67,2.05
41,1557176,Peru Primera División,2022,2022-03-06 17:00:00,5,Carlos Stein,Alianza Atlético,0,1,1,[],['44'],2.5,3.0,2.8,1.95,1.78,1.8,1.96
42,1557174,Peru Primera División,2022,2022-03-06 17:30:00,5,Alianza Lima,Sporting Cristal,0,1,1,[],['40'],2.2,3.2,3.05,1.76,1.97,1.63,2.22
43,1557177,Peru Primera División,2022,2022-03-07 17:00:00,5,Universidad San Martín,Atlético Grau,1,2,3,['18'],"['27', '87']",2.3,3.1,2.9,1.95,1.75,1.73,2.0
44,1557181,Peru Primera División,2022,2022-03-07 21:00:00,5,Deportivo Binacional,ADT,0,1,1,[],['90+4'],1.45,4.0,6.0,1.65,2.1,0.0,0.0
45,1557185,Peru Primera División,2022,2022-03-12 13:00:00,6,Alianza Atlético,Universidad San Martín,3,1,4,"['13', '27', '56']",['30'],2.03,3.26,3.7,2.3,1.56,2.1,1.7
46,1557184,Peru Primera División,2022,2022-03-12 15:15:00,6,Carlos Manucci,Carlos Stein,1,0,1,['32'],[],2.17,3.14,3.44,2.0,1.78,1.68,1.95
47,1557182,Peru Primera División,2022,2022-03-12 17:30:00,6,Melgar,Alianza Lima,1,0,1,['14'],[],2.26,3.3,2.82,1.96,1.8,1.78,1.99
48,1557188,Peru Primera División,2022,2022-03-12 21:30:00,6,Universitario,Cienciano,1,1,2,['5'],['47'],2.11,3.5,2.95,1.84,1.92,1.62,2.24
49,1557183,Peru Primera División,2022,2022-03-13 13:00:00,6,Sporting Cristal,Academia Cantolao,2,2,4,"['59', '65']","['83', '90+1']",1.3,5.1,8.0,1.53,2.38,1.89,1.86
50,1557186,Peru Primera División,2022,2022-03-13 15:00:00,6,Atlético Grau,César Vallejo,1,1,2,['45'],['90+6'],2.48,3.0,2.85,2.18,1.61,1.88,1.88
