Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1917388,Peru Segunda División,2022,2022-04-02 17:30:00,1,Deportivo Coopsol,Santa Rosa PNP,2,0,2,"['26', '58']",[],1.85,3.2,3.8,1.8,2.0,0.0,0.0
2,1917391,Peru Segunda División,2022,2022-04-02 17:30:00,1,Comerciantes Unidos,Alfonso Ugarte Puno,2,1,3,"['52', '53']",['18'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1917387,Peru Segunda División,2022,2022-04-03 15:00:00,1,Unión Comercio,Real Garcilaso,1,0,1,['41'],[],2.0,3.25,3.2,0.0,0.0,0.0,0.0
4,1917389,Peru Segunda División,2022,2022-04-03 17:30:00,1,Union Huaral,Deportivo Llacuabamba,3,0,3,"['51', '65', '82']",[],1.35,3.6,2.9,0.0,0.0,1.6,2.15
5,1917392,Peru Segunda División,2022,2022-04-03 17:30:00,1,Juan Aurich,Molinos El Pirata,0,2,2,[],"['13', '43']",1.25,4.0,3.55,0.0,0.0,1.55,2.25
6,1917398,Peru Segunda División,2022,2022-04-09 15:00:00,2,Molinos El Pirata,Alianza Universidad,0,1,1,[],['70'],3.0,4.0,1.91,0.0,0.0,0.0,0.0
7,1917393,Peru Segunda División,2022,2022-04-10 15:00:00,2,Santos,Deportivo Coopsol,2,2,4,"['81', '88']","['65', '90+1']",1.8,3.5,1.9,0.0,0.0,1.52,2.3
8,1917394,Peru Segunda División,2022,2022-04-10 17:00:00,2,Alfonso Ugarte Puno,Unión Comercio,1,1,2,['52'],['42'],1.13,4.33,5.25,1.67,2.15,1.8,1.9
9,1917396,Peru Segunda División,2022,2022-04-10 17:00:00,2,Deportivo Llacuabamba,Juan Aurich,2,1,3,"['82', '87']",['45'],1.33,3.75,3.0,0.0,0.0,1.76,1.9
10,1917395,Peru Segunda División,2022,2022-04-10 17:30:00,2,Sport Chavelines Juniors,Comerciantes Unidos,2,0,2,"['65', '81']",[],1.14,4.1,5.0,0.0,0.0,1.52,2.35
11,1917397,Peru Segunda División,2022,2022-04-10 17:30:00,2,Santa Rosa PNP,Union Huaral,1,1,2,['90+3'],['90+5'],1.76,3.4,1.95,0.0,0.0,1.54,2.3
12,1917400,Peru Segunda División,2022,2022-04-16 17:00:00,3,Real Garcilaso,Alfonso Ugarte Puno,2,2,4,"['40', '88']","['32', '87']",1.12,3.6,5.75,1.95,1.85,1.83,1.83
13,1917399,Peru Segunda División,2022,2022-04-17 15:00:00,3,Unión Comercio,Sport Chavelines Juniors,3,0,3,"['6', '81', '83']",[],2.43,3.2,2.8,1.84,1.94,1.8,1.96
14,1917402,Peru Segunda División,2022,2022-04-17 17:00:00,3,Alianza Universidad,Deportivo Llacuabamba,1,1,2,['28'],['87'],1.71,3.75,4.4,1.72,2.02,1.87,1.89
15,1917403,Peru Segunda División,2022,2022-04-17 17:30:00,3,Comerciantes Unidos,Molinos El Pirata,1,1,2,['64'],['64'],1.82,3.6,3.78,1.57,2.25,1.61,2.25
16,1917404,Peru Segunda División,2022,2022-04-17 17:30:00,3,Juan Aurich,Santa Rosa PNP,4,2,6,"['6', '32', '59', '90+4']","['19', '21']",3.84,3.56,1.87,1.91,1.91,1.97,1.8
17,1917401,Peru Segunda División,2022,2022-04-17 17:30:00,3,Union Huaral,Santos,0,0,0,[],[],1.61,4.0,4.8,1.71,2.04,1.68,2.13
18,1917406,Peru Segunda División,2022,2022-04-23 15:00:00,4,Deportivo Coopsol,Union Huaral,0,1,1,[],['53'],2.91,3.19,2.19,1.86,1.82,1.58,2.23
19,1917410,Peru Segunda División,2022,2022-04-23 17:00:00,4,Molinos El Pirata,Unión Comercio,0,2,2,[],"['47', '74']",7.05,4.11,1.37,1.82,1.84,1.85,1.86
20,1917405,Peru Segunda División,2022,2022-04-24 15:00:00,4,Santos,Juan Aurich,4,0,4,"['4', '6', '45', '45+2']",[],2.06,3.3,2.75,1.73,2.0,1.67,2.15
21,1917408,Peru Segunda División,2022,2022-04-24 17:00:00,4,Deportivo Llacuabamba,Comerciantes Unidos,1,0,1,['17'],[],1.55,3.7,4.2,1.52,2.38,1.6,2.27
22,1917407,Peru Segunda División,2022,2022-04-24 17:30:00,4,Sport Chavelines Juniors,Real Garcilaso,0,1,1,[],['-1'],4.33,3.75,1.62,1.75,2.05,0.0,0.0
23,1917409,Peru Segunda División,2022,2022-04-24 17:30:00,4,Santa Rosa PNP,Alianza Universidad,3,2,5,"['9', '31', '78']","['37', '86']",2.34,2.95,2.6,2.02,1.71,1.8,1.96
24,1917415,Peru Segunda División,2022,2022-04-30 13:30:00,5,Comerciantes Unidos,Santa Rosa PNP,1,0,1,['27'],[],4.33,3.59,1.58,1.67,2.08,1.56,2.36
