Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Peru Primera División,2021,2021-03-12 15:15:00,1,Deportivo Municipal,Sport Huancayo,0,1,1,[],['55'],2.6,3.35,2.6,2.02,1.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Peru Primera División,2021,2021-03-12 17:30:00,1,Cienciano,UTC Cajamarca,1,0,1,['10'],[],2.6,2.75,2.85,2.1,1.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Peru Primera División,2021,2021-03-12 20:00:00,1,Deportivo Binacional,Sporting Cristal,0,4,4,[],"['12', '45+2', '62', '78']",4.3,3.75,1.61,1.83,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Peru Primera División,2021,2021-03-13 13:00:00,1,Carlos Manucci,Academia Cantolao,2,0,2,"['14', '79']",[],1.87,3.15,3.75,1.83,1.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Peru Primera División,2021,2021-03-13 17:30:00,1,Universitario,Melgar,1,1,2,['31'],['55'],2.45,2.75,2.95,1.95,1.71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Peru Primera División,2021,2021-03-13 20:00:00,1,Sport Boys,César Vallejo,2,3,5,"['30', '34']","['4', '10', '18']",4.15,3.2,1.77,2.15,2.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Peru Primera División,2021,2021-03-15 17:30:00,1,Alianza Universidad,Real Garcilaso,1,0,1,['68'],[],2.7,3.4,2.55,2.0,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Peru Primera División,2021,2021-03-19 17:00:00,2,Academia Cantolao,Universitario,3,1,4,"['28', '44', '56']",['48'],3.55,3.35,1.86,1.99,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Peru Primera División,2021,2021-03-19 20:00:00,2,Sporting Cristal,Sport Boys,1,0,1,['51'],[],1.28,4.75,7.7,1.57,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Peru Primera División,2021,2021-03-20 15:15:00,2,Universidad San Martín,Alianza Atlético,2,1,3,"['5', '70']",['52'],2.18,3.1,3.25,2.14,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Peru Primera División,2021,2021-03-20 17:30:00,2,Real Garcilaso,Cienciano,2,2,4,"['15', '49']","['38', '55']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Peru Primera División,2021,2021-03-22 13:00:00,2,Sport Huancayo,Deportivo Binacional,3,0,3,"['7', '32', '37']",[],1.8,3.05,4.25,2.05,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,Peru Primera División,2021,2021-03-22 15:15:00,2,César Vallejo,Alianza Universidad,0,1,1,[],['17'],1.79,3.33,4.52,2.11,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Peru Primera División,2021,2021-03-22 17:30:00,2,UTC Cajamarca,Carlos Manucci,2,2,4,"['45', '85']","['62', '78']",3.15,3.1,2.1,1.83,1.71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Peru Primera División,2021,2021-03-27 13:00:00,3,Cienciano,Alianza Atlético,1,0,1,['44'],[],1.71,3.4,4.15,1.95,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
