Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Peru Primera División,2022,2022-02-04 15:15:00,1,César Vallejo,Cienciano,0,0,0,[],[],2.05,3.25,3.05,2.0,1.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Peru Primera División,2022,2022-02-04 17:30:00,1,UTC Cajamarca,Sport Boys,2,1,3,"['4', '90+6']",['7'],1.69,3.55,4.05,1.9,1.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Peru Primera División,2022,2022-02-04 21:00:00,1,Alianza Lima,Atlético Grau,1,1,2,['78'],['68'],1.35,4.25,6.8,1.9,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Peru Primera División,2022,2022-02-05 15:15:00,1,Deportivo Municipal,Ayacucho,3,2,5,"['4', '19', '72']","['13', '20']",2.22,3.4,3.18,1.9,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Peru Primera División,2022,2022-02-05 17:30:00,1,Sport Huancayo,Sporting Cristal,1,0,1,['39'],[],2.88,3.4,2.4,1.9,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Peru Primera División,2022,2022-02-05 21:00:00,1,Melgar,Carlos Manucci,1,0,1,['59'],[],1.51,4.25,6.2,1.65,1.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Peru Primera División,2022,2022-02-06 15:15:00,1,Carlos Stein,ADT,0,0,0,[],[],1.73,3.35,3.69,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Peru Primera División,2022,2022-02-06 17:30:00,1,Academia Cantolao,Universitario,0,3,3,[],"['71', '73', '76']",2.92,3.35,2.08,1.9,1.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Peru Primera División,2022,2022-02-11 21:00:00,2,Universitario,Universidad San Martín,3,0,3,"['17', '71', '86']",[],1.55,3.8,4.8,1.92,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Peru Primera División,2022,2022-02-12 15:15:00,2,Alianza Atlético,UTC Cajamarca,1,0,1,['12'],[],2.76,3.21,2.56,1.95,1.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Peru Primera División,2022,2022-02-12 17:00:00,2,ADT,César Vallejo,0,0,0,[],[],1.64,4.28,4.44,1.85,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Peru Primera División,2022,2022-02-12 17:30:00,2,Ayacucho,Carlos Stein,2,1,3,"['52', '82']",['60'],2.73,3.27,2.56,1.84,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Peru Primera División,2022,2022-02-12 21:00:00,2,Cienciano,Deportivo Municipal,4,2,6,"['25', '64', '77', '90+1']","['84', '90+4']",1.98,3.4,3.76,1.85,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Peru Primera División,2022,2022-02-13 15:15:00,2,Sporting Cristal,Melgar,2,2,4,"['26', '81']","['14', '53']",2.2,3.3,2.9,1.83,1.61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Peru Primera División,2022,2022-02-13 15:30:00,2,Atlético Grau,Sport Huancayo,3,4,7,"['2', '69', '83']","['40', '64', '79', '90+6']",2.3,3.4,2.63,2.1,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Peru Primera División,2022,2022-02-13 17:30:00,2,Sport Boys,Alianza Lima,0,0,0,[],[],3.6,3.3,1.91,2.04,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Peru Primera División,2022,2022-02-14 21:00:00,2,Deportivo Binacional,Academia Cantolao,5,0,5,"['8', '23', '28', '47', '90+2']",[],1.4,4.22,6.66,1.8,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
