Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Peru Segunda División,2022,2022-04-02 17:30:00,1,Deportivo Coopsol,Santa Rosa PNP,2,0,2,"['26', '58']",[],1.85,3.2,3.8,1.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Peru Segunda División,2022,2022-04-02 17:30:00,1,Comerciantes Unidos,Alfonso Ugarte Puno,2,1,3,"['52', '53']",['18'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Peru Segunda División,2022,2022-04-03 15:00:00,1,Unión Comercio,Real Garcilaso,1,0,1,['41'],[],2.0,3.25,3.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Peru Segunda División,2022,2022-04-03 17:30:00,1,Union Huaral,Deportivo Llacuabamba,3,0,3,"['51', '65', '82']",[],1.35,3.6,2.9,0.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Peru Segunda División,2022,2022-04-03 17:30:00,1,Juan Aurich,Molinos El Pirata,0,2,2,[],"['13', '43']",1.25,4.0,3.55,0.0,1.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Peru Segunda División,2022,2022-04-09 15:00:00,2,Molinos El Pirata,Alianza Universidad,0,1,1,[],['70'],3.0,4.0,1.91,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Peru Segunda División,2022,2022-04-10 15:00:00,2,Santos,Deportivo Coopsol,2,2,4,"['81', '88']","['65', '90+1']",1.8,3.5,1.9,0.0,1.52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Peru Segunda División,2022,2022-04-10 17:00:00,2,Alfonso Ugarte Puno,Unión Comercio,1,1,2,['52'],['42'],1.13,4.33,5.25,1.67,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Peru Segunda División,2022,2022-04-10 17:00:00,2,Deportivo Llacuabamba,Juan Aurich,2,1,3,"['82', '87']",['45'],1.33,3.75,3.0,0.0,1.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Peru Segunda División,2022,2022-04-10 17:30:00,2,Sport Chavelines Juniors,Comerciantes Unidos,2,0,2,"['65', '81']",[],1.14,4.1,5.0,0.0,1.52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
