Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Peru Segunda División,2021,2021-05-19 13:00:00,1,Unión Comercio,Santa Rosa PNP,2,2,4,"['23', '54']","['10', '38']",1.78,3.5,4.0,1.88,1.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Peru Segunda División,2021,2021-05-19 15:30:00,1,Sport Chavelines Juniors,Atlético Grau,2,2,4,"['82', '90+3']","['53', '65']",2.65,3.3,2.3,1.8,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Peru Segunda División,2021,2021-05-19 17:30:00,1,Deportivo Coopsol,Comerciantes Unidos,0,1,1,[],['18'],1.95,3.2,3.2,1.95,1.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Peru Segunda División,2021,2021-05-20 13:00:00,1,Carlos Stein,Deportivo Llacuabamba,3,2,5,"['45+2', '49', '81']","['29', '44']",1.51,3.4,5.25,1.8,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Peru Segunda División,2021,2021-05-20 15:30:00,1,Union Huaral,Santos,1,3,4,['21'],"['14', '51', '77']",1.75,3.0,5.0,1.99,1.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Peru Segunda División,2021,2021-05-20 17:30:00,1,Juan Aurich,Molinos El Pirata,2,0,2,"['22', '71']",[],1.37,3.6,6.75,1.87,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Peru Segunda División,2021,2021-05-25 13:00:00,2,Santa Rosa PNP,Carlos Stein,1,1,2,['90+3'],['44'],2.75,3.4,1.38,1.57,1.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Peru Segunda División,2021,2021-05-25 15:15:00,2,Atlético Grau,Deportivo Coopsol,2,0,2,"['33', '69']",[],2.0,3.25,3.3,1.75,1.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Peru Segunda División,2021,2021-05-25 17:30:00,2,Comerciantes Unidos,Juan Aurich,1,2,3,['17'],"['4', '51']",4.1,3.8,1.57,1.71,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Peru Segunda División,2021,2021-05-26 13:00:00,2,Deportivo Llacuabamba,Union Huaral,4,3,7,"['31', '56', '74', '90+1']","['8', '25', '62']",2.37,3.25,2.55,1.67,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Peru Segunda División,2021,2021-05-26 15:15:00,2,Santos,Sport Chavelines Juniors,2,1,3,"['42', '89']",['45+1'],2.8,3.2,2.2,1.73,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Peru Segunda División,2021,2021-05-26 17:30:00,2,Molinos El Pirata,Unión Comercio,0,3,3,[],"['36', '42', '47']",3.25,3.55,1.8,1.8,1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Peru Segunda División,2021,2021-05-29 13:00:00,3,Sport Chavelines Juniors,Deportivo Llacuabamba,4,2,6,"['18', '36', '61', '90+2']","['24', '41']",2.25,3.35,2.45,1.61,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Peru Segunda División,2021,2021-05-30 12:00:00,3,Deportivo Coopsol,Santos,1,0,1,['24'],[],2.7,3.5,2.2,1.85,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Peru Segunda División,2021,2021-05-30 14:00:00,3,Union Huaral,Santa Rosa PNP,0,3,3,[],"['30', '71', '89']",1.91,3.9,3.4,1.61,1.51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Peru Segunda División,2021,2021-05-31 13:00:00,3,Unión Comercio,Carlos Stein,0,0,0,[],[],1.63,3.0,2.15,2.08,1.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
