Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1299233,Poland 1. Liga,2021/2022,2021-07-30 13:00:00,1,Odra Opole,Miedź Legnica,1,4,5,['66'],"['11', '48', '53', '80']",2.65,2.8,2.7,2.5,1.43,2.2,1.56
2,1299230,Poland 1. Liga,2021/2022,2021-07-30 15:00:00,1,Korona Kielce,SKRA Częstochowa,2,0,2,"['44', '45+1']",[],1.56,3.8,4.7,1.84,1.84,1.95,1.74
3,1299234,Poland 1. Liga,2021/2022,2021-07-30 15:30:00,1,Tychy 71,ŁKS Łódź,1,1,2,['74'],['52'],2.28,3.5,2.6,1.85,1.97,1.71,2.0
4,1299236,Poland 1. Liga,2021/2022,2021-07-31 07:40:00,1,GKS Katowice,Resovia Rzeszów,2,2,4,"['18', '52']","['74', '90+6']",2.05,3.45,3.0,1.95,1.8,1.74,1.95
5,1299235,Poland 1. Liga,2021/2022,2021-07-31 13:00:00,1,Jastrzębie,Puszcza Niepołomice,0,2,2,[],"['45+1', '82']",2.05,3.05,3.5,2.15,1.57,2.0,1.71
6,1299229,Poland 1. Liga,2021/2022,2021-07-31 15:30:00,1,Arka Gdynia,Zagłębie Sosnowiec,1,1,2,['62'],['72'],1.61,3.7,4.75,1.67,2.1,1.91,1.77
7,1299237,Poland 1. Liga,2021/2022,2021-08-01 07:40:00,1,Widzew Łódź,Sandecja Nowy Sącz,3,0,3,"['19', '40', '64']",[],1.95,3.5,3.4,1.75,1.95,1.69,2.0
8,1299232,Poland 1. Liga,2021/2022,2021-08-01 10:00:00,1,Polkowice,Podbeskidzie,1,1,2,['72'],['45+4'],3.35,3.2,2.05,1.95,1.69,1.83,1.83
9,1299231,Poland 1. Liga,2021/2022,2021-08-01 13:00:00,1,Stomil Olsztyn,Chrobry Głogów,1,2,3,['70'],"['20', '34']",2.9,3.05,2.35,2.15,1.59,1.95,1.74
10,1299238,Poland 1. Liga,2021/2022,2021-08-06 13:00:00,2,Resovia Rzeszów,Tychy 71,1,0,1,['16'],[],2.8,2.95,2.35,2.05,1.65,1.8,1.83
11,1299242,Poland 1. Liga,2021/2022,2021-08-06 15:30:00,2,Podbeskidzie,Odra Opole,0,3,3,[],"['44', '90+1', '90+5']",1.57,4.0,5.75,1.9,1.87,2.05,1.65
12,1299241,Poland 1. Liga,2021/2022,2021-08-07 07:40:00,2,Miedź Legnica,GKS Katowice,1,0,1,['38'],[],1.73,3.52,3.88,1.8,1.91,1.77,1.87
13,1299243,Poland 1. Liga,2021/2022,2021-08-07 13:00:00,2,Polkowice,Sandecja Nowy Sącz,0,2,2,[],"['11', '52']",2.3,3.15,2.65,1.91,1.74,1.74,1.91
14,1299239,Poland 1. Liga,2021/2022,2021-08-07 15:30:00,2,Arka Gdynia,Chrobry Głogów,0,2,2,[],"['28', '40']",1.56,3.65,4.9,1.91,1.77,1.95,1.69
15,1299244,Poland 1. Liga,2021/2022,2021-08-08 07:40:00,2,Zagłębie Sosnowiec,Widzew Łódź,1,2,3,['17'],"['33', '39']",2.5,3.3,2.55,1.92,1.82,1.74,1.91
16,1299245,Poland 1. Liga,2021/2022,2021-08-08 10:00:00,2,Jastrzębie,Stomil Olsztyn,1,0,1,['90+4'],[],2.05,3.0,3.25,2.1,1.62,1.91,1.74
17,1299246,Poland 1. Liga,2021/2022,2021-08-08 13:00:00,2,ŁKS Łódź,SKRA Częstochowa,3,2,5,"['19', '71', '79']","['12', '87']",1.31,4.6,7.75,1.67,2.0,2.0,1.69
18,1299240,Poland 1. Liga,2021/2022,2021-08-09 13:00:00,2,Korona Kielce,Puszcza Niepołomice,3,1,4,"['13', '48', '66']",['53'],2.05,2.95,3.4,2.1,1.61,1.91,1.74
19,1299247,Poland 1. Liga,2021/2022,2021-08-12 15:00:00,3,Resovia Rzeszów,SKRA Częstochowa,0,1,1,[],['57'],1.69,3.3,4.5,1.91,1.74,1.87,1.8
