Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1266424,Poland Ekstraklasa,2021/2022,2021-07-23 13:00:00,1,Nieciecza,Stal Mielec,1,1,2,['41'],['48'],2.35,3.15,3.05,2.05,1.74,1.83,1.91
2,1266426,Poland Ekstraklasa,2021/2022,2021-07-23 15:30:00,1,Lech Poznań,Radomiak Radom,0,0,0,[],[],1.67,3.65,5.25,1.91,1.91,1.87,1.91
3,1269872,Poland Ekstraklasa,2021/2022,2021-07-24 10:00:00,1,Górnik Łęczna,Cracovia Kraków,1,1,2,['42'],['82'],3.4,3.15,2.2,2.2,1.65,2.0,1.74
4,1266425,Poland Ekstraklasa,2021/2022,2021-07-24 12:30:00,1,Jagiellonia Białystok,Lechia Gdańsk,1,1,2,['55'],['52'],2.7,3.25,2.55,1.87,1.91,1.69,2.1
5,1266427,Poland Ekstraklasa,2021/2022,2021-07-24 15:00:00,1,Legia Warszawa,Wisła Płock,1,0,1,['28'],[],1.83,3.35,4.35,2.15,1.69,2.0,1.77
6,1266428,Poland Ekstraklasa,2021/2022,2021-07-25 10:00:00,1,Piast Gliwice,Raków Częstochowa,2,3,5,"['5', '66']","['43', '70', '74']",2.5,3.15,2.85,2.2,1.65,1.95,1.8
7,1266431,Poland Ekstraklasa,2021/2022,2021-07-25 12:30:00,1,Śląsk Wrocław,Warta Poznań,2,2,4,"['50', '63']","['27', '76']",2.3,3.1,3.15,2.15,1.69,1.91,1.83
8,1266429,Poland Ekstraklasa,2021/2022,2021-07-25 15:00:00,1,Pogoń Szczecin,Górnik Zabrze,2,0,2,"['33', '66']",[],1.91,3.4,4.05,2.05,1.74,1.95,1.8
9,1266430,Poland Ekstraklasa,2021/2022,2021-07-26 13:00:00,1,Wisła Kraków,Zagłębie Lubin,3,0,3,"['25', '29', '81']",[],2.15,3.4,3.3,1.77,2.0,1.67,2.15
10,1269873,Poland Ekstraklasa,2021/2022,2021-07-30 13:00:00,2,Zagłębie Lubin,Górnik Łęczna,3,1,4,"['21', '55', '85']",['33'],1.83,3.45,4.25,1.91,1.87,1.83,1.91
11,1266434,Poland Ekstraklasa,2021/2022,2021-07-30 15:30:00,2,Górnik Zabrze,Lech Poznań,1,3,4,['8'],"['38', '49', '69']",3.65,3.25,2.05,2.0,1.8,1.8,1.95
12,1266438,Poland Ekstraklasa,2021/2022,2021-07-31 10:00:00,2,Stal Mielec,Piast Gliwice,0,2,2,[],"['18', '45+1']",3.2,3.1,2.3,2.15,1.69,1.91,1.83
13,1266432,Poland Ekstraklasa,2021/2022,2021-07-31 12:30:00,2,Nieciecza,Wisła Kraków,2,2,4,"['28', '66']","['56', '90']",2.8,3.2,2.5,1.95,1.8,1.77,2.0
14,1266436,Poland Ekstraklasa,2021/2022,2021-07-31 15:00:00,2,Radomiak Radom,Legia Warszawa,3,1,4,"['46', '80', '90+6']",['82'],3.7,3.2,2.05,2.05,1.77,1.83,1.91
15,1266439,Poland Ekstraklasa,2021/2022,2021-08-01 10:00:00,2,Warta Poznań,Pogoń Szczecin,1,1,2,['84'],['12'],3.3,3.0,2.3,2.4,1.54,2.1,1.67
16,1266433,Poland Ekstraklasa,2021/2022,2021-08-01 12:30:00,2,Cracovia Kraków,Śląsk Wrocław,1,2,3,['90+1'],"['16', '88']",2.05,3.2,3.7,2.1,1.71,1.8,1.95
17,1266568,Poland Ekstraklasa,2021/2022,2021-08-01 15:00:00,2,Jagiellonia Białystok,Raków Częstochowa,3,0,3,"['35', '38', '87']",[],2.95,3.25,2.35,1.91,1.87,1.74,2.0
