Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Poland 1. Liga,2022/2023,2022-07-15 13:00:00,1,Nieciecza,Odra Opole,2,1,3,"['16', '80']",['39'],1.22,3.8,4.0,1.85,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Poland 1. Liga,2022/2023,2022-07-15 15:30:00,1,Ruch Chorzów,SKRA Częstochowa,0,0,0,[],[],1.44,3.3,2.62,2.15,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Poland 1. Liga,2022/2023,2022-07-16 10:00:00,1,Chojniczanka Chojnice,Tychy 71,2,2,4,"['10', '26']","['9', '78']",2.63,3.3,2.29,1.82,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Poland 1. Liga,2022/2023,2022-07-16 12:30:00,1,Wisła Kraków,Sandecja Nowy Sącz,0,0,0,[],[],1.29,3.6,3.5,2.0,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Poland 1. Liga,2022/2023,2022-07-16 15:00:00,1,ŁKS Łódź,GKS Katowice,0,2,2,[],"['8', '24']",1.44,3.4,2.62,2.0,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Poland 1. Liga,2022/2023,2022-07-17 07:40:00,1,Podbeskidzie,Arka Gdynia,0,1,1,[],['57'],2.35,3.3,2.7,1.84,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Poland 1. Liga,2022/2023,2022-07-17 10:00:00,1,Puszcza Niepołomice,Górnik Łęczna,1,0,1,['1'],[],2.55,3.1,2.6,2.08,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Poland 1. Liga,2022/2023,2022-07-17 13:00:00,1,Stal Rzeszów,Chrobry Głogów,3,3,6,"['25', '45', '61']","['4', '36', '87']",1.75,3.3,2.0,2.08,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,Poland 1. Liga,2022/2023,2022-07-18 13:00:00,1,Zagłębie Sosnowiec,Resovia Rzeszów,2,1,3,"['41', '77']",['2'],1.72,3.25,2.05,2.1,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Poland 1. Liga,2022/2023,2022-07-22 13:00:00,2,SKRA Częstochowa,Chojniczanka Chojnice,2,0,2,"['3', '51']",[],2.7,3.2,2.55,2.08,1.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Poland 1. Liga,2022/2023,2022-07-22 15:30:00,2,Resovia Rzeszów,Wisła Kraków,0,2,2,[],"['18', '79']",3.5,3.1,2.15,2.25,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Poland 1. Liga,2022/2023,2022-07-23 10:00:00,2,Puszcza Niepołomice,Stal Rzeszów,2,1,3,"['42', '54']",['22'],2.5,3.2,2.8,2.1,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Poland 1. Liga,2022/2023,2022-07-23 12:30:00,2,Arka Gdynia,Zagłębie Sosnowiec,0,0,0,[],[],1.65,4.0,4.75,1.85,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Poland 1. Liga,2022/2023,2022-07-23 15:00:00,2,Chrobry Głogów,Ruch Chorzów,0,2,2,[],"['75', '78']",2.38,3.3,2.8,2.0,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
