Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Poland Ekstraklasa,2022/2023,2022-07-15 13:00:00,1,Raków Częstochowa,Warta Poznań,1,0,1,['79'],[],1.44,3.8,6.5,1.91,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Poland Ekstraklasa,2022/2023,2022-07-15 15:30:00,1,Zagłębie Lubin,Śląsk Wrocław,0,0,0,[],[],2.35,3.1,2.7,1.83,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Poland Ekstraklasa,2022/2023,2022-07-16 10:00:00,1,Lech Poznań,Stal Mielec,0,2,2,[],"['14', '64']",1.3,5.2,8.4,1.62,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Poland Ekstraklasa,2022/2023,2022-07-16 12:30:00,1,Jagiellonia Białystok,Piast Gliwice,2,0,2,"['29', '90+4']",[],2.75,3.3,2.5,2.0,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Poland Ekstraklasa,2022/2023,2022-07-16 15:00:00,1,Korona Kielce,Legia Warszawa,1,1,2,['82'],['72'],3.5,3.3,2.1,1.9,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Poland Ekstraklasa,2022/2023,2022-07-17 07:30:00,1,Radomiak Radom,Miedź Legnica,1,1,2,['80'],['53'],2.23,3.2,3.2,2.05,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Poland Ekstraklasa,2022/2023,2022-07-17 10:00:00,1,Wisła Płock,Lechia Gdańsk,3,0,3,"['43', '76', '90+1']",[],2.85,3.2,2.43,1.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Poland Ekstraklasa,2022/2023,2022-07-17 12:30:00,1,Pogoń Szczecin,Widzew Łódź,2,1,3,"['45', '71']",['19'],1.59,3.98,5.47,1.87,1.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Poland Ekstraklasa,2022/2023,2022-07-18 14:00:00,1,Górnik Zabrze,Cracovia Kraków,0,2,2,[],"['24', '41']",2.3,3.3,3.0,1.98,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Poland Ekstraklasa,2022/2023,2022-07-22 13:00:00,2,Warta Poznań,Wisła Płock,0,4,4,[],"['14', '21', '44', '47']",2.16,3.25,3.3,2.06,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Poland Ekstraklasa,2022/2023,2022-07-22 15:30:00,2,Jagiellonia Białystok,Widzew Łódź,0,2,2,[],"['72', '84']",2.04,3.65,3.15,1.96,1.77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Poland Ekstraklasa,2022/2023,2022-07-23 12:30:00,2,Cracovia Kraków,Korona Kielce,2,0,2,"['29', '90+4']",[],1.65,3.85,4.9,1.88,1.93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Poland Ekstraklasa,2022/2023,2022-07-23 15:00:00,2,Legia Warszawa,Zagłębie Lubin,2,0,2,"['25', '90+4']",[],1.8,3.65,4.16,1.84,1.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Poland Ekstraklasa,2022/2023,2022-07-24 12:30:00,2,Śląsk Wrocław,Pogoń Szczecin,2,1,3,"['4', '55']",['30'],3.2,3.45,2.11,2.04,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Poland Ekstraklasa,2022/2023,2022-07-25 14:00:00,2,Stal Mielec,Radomiak Radom,1,1,2,['70'],['55'],2.55,3.2,2.75,2.07,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Poland Ekstraklasa,2022/2023,2022-07-29 13:00:00,3,Piast Gliwice,Zagłębie Lubin,0,1,1,[],['61'],1.91,3.5,3.8,1.87,1.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Poland Ekstraklasa,2022/2023,2022-07-29 15:30:00,3,Cracovia Kraków,Legia Warszawa,3,0,3,"['37', '51', '90+3']",[],2.5,3.25,2.7,1.92,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Poland Ekstraklasa,2022/2023,2022-07-30 12:30:00,3,Radomiak Radom,Górnik Zabrze,0,3,3,[],"['28', '32', '64']",2.51,3.18,2.93,1.89,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Poland Ekstraklasa,2022/2023,2022-07-30 15:00:00,3,Miedź Legnica,Warta Poznań,1,2,3,['23'],"['22', '60']",2.22,3.31,3.31,2.02,1.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Poland Ekstraklasa,2022/2023,2022-07-31 10:00:00,3,Pogoń Szczecin,Jagiellonia Białystok,1,0,1,['8'],[],1.54,4.29,5.89,1.81,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
