Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1301348,Portugal Liga NOS,2021/2022,2021-08-06 16:15:00,1,Sporting CP,FC Vizela,3,0,3,"['48', '64', '74']",[],1.24,6.25,12.0,1.62,2.25,2.25,1.62
2,1301356,Portugal Liga NOS,2021/2022,2021-08-07 08:45:00,1,FC Arouca,GD Estoril Praia,0,2,2,[],"['4', '90+6']",2.25,3.1,3.35,2.45,1.54,2.15,1.67
3,1301352,Portugal Liga NOS,2021/2022,2021-08-07 14:00:00,1,Moreirense FC,Benfica,1,2,3,['30'],"['9', '19']",7.0,4.75,1.4,1.71,2.1,2.05,1.77
4,1301355,Portugal Liga NOS,2021/2022,2021-08-07 16:30:00,1,CS Marítimo,Sporting Braga,0,2,2,[],"['61', '69']",4.6,3.35,1.8,2.2,1.65,2.1,1.71
5,1301351,Portugal Liga NOS,2021/2022,2021-08-08 11:30:00,1,Vitória Guimarães,Portimonense,0,1,1,[],['86'],2.02,3.2,3.85,2.15,1.62,2.1,1.71
6,1301354,Portugal Liga NOS,2021/2022,2021-08-08 11:30:00,1,CD Tondela,Santa Clara,3,0,3,"['18', '54', '84']",[],3.05,3.1,2.38,2.1,1.65,1.95,1.83
7,1301349,Portugal Liga NOS,2021/2022,2021-08-08 14:00:00,1,Porto,Belenenses,2,0,2,"['19', '65']",[],1.16,8.25,16.0,1.51,2.45,2.4,1.56
8,1301350,Portugal Liga NOS,2021/2022,2021-08-08 16:30:00,1,Paços de Ferreira,Famalicão,2,0,2,"['49', '50']",[],2.6,3.0,2.85,2.55,1.5,2.25,1.61
9,1301353,Portugal Liga NOS,2021/2022,2021-08-09 16:15:00,1,Gil Vicente,Boavista FC,3,0,3,"['3', '24', '56']",[],1.87,3.1,4.7,2.5,1.51,2.2,1.65
10,1301364,Portugal Liga NOS,2021/2022,2021-08-13 16:15:00,2,GD Estoril Praia,Vitória Guimarães,0,0,0,[],[],2.9,3.0,2.55,2.15,1.67,1.91,1.87
11,1301365,Portugal Liga NOS,2021/2022,2021-08-14 11:30:00,2,FC Vizela,CD Tondela,2,1,3,"['52', '90+8']",['38'],2.35,3.2,3.0,2.4,1.5,1.8,2.0
12,1301357,Portugal Liga NOS,2021/2022,2021-08-14 14:00:00,2,Benfica,FC Arouca,2,0,2,"['38', '43']",[],1.21,6.5,14.0,1.62,2.25,2.35,1.57
13,1301358,Portugal Liga NOS,2021/2022,2021-08-14 16:30:00,2,Sporting Braga,Sporting CP,1,2,3,['90+2'],"['40', '50']",2.95,3.05,2.45,2.1,1.69,1.87,1.91
14,1301363,Portugal Liga NOS,2021/2022,2021-08-15 11:30:00,2,Portimonense,Gil Vicente,0,1,1,[],['60'],2.31,3.07,2.93,2.39,1.51,2.1,1.71
15,1301360,Portugal Liga NOS,2021/2022,2021-08-15 14:00:00,2,Famalicão,Porto,1,2,3,['56'],"['13', '43']",7.5,4.75,1.39,1.67,2.15,1.95,1.8
16,1301359,Portugal Liga NOS,2021/2022,2021-08-15 16:30:00,2,Santa Clara,Moreirense FC,2,2,4,"['58', '90+4']","['90', '90+10']",2.15,3.25,3.4,2.2,1.67,2.0,1.8
17,1301362,Portugal Liga NOS,2021/2022,2021-08-16 15:00:00,2,Boavista FC,Paços de Ferreira,3,0,3,"['19', '61', '76']",[],2.82,3.05,2.52,2.45,1.48,2.15,1.69
18,1301361,Portugal Liga NOS,2021/2022,2021-08-16 17:15:00,2,Belenenses,CS Marítimo,1,2,3,['45'],"['12', '15']",2.8,2.85,2.75,2.75,1.43,2.35,1.57
19,1301374,Portugal Liga NOS,2021/2022,2021-08-20 15:00:00,3,FC Arouca,Famalicão,2,1,3,"['65', '89']",['23'],2.9,3.05,2.5,2.25,1.62,2.0,1.8
20,1301369,Portugal Liga NOS,2021/2022,2021-08-20 17:15:00,3,Moreirense FC,Sporting Braga,2,3,5,"['80', '83']","['39', '41', '90+5']",5.25,3.5,1.69,1.91,1.87,1.91,1.87
21,1301370,Portugal Liga NOS,2021/2022,2021-08-21 14:00:00,3,Gil Vicente,Benfica,0,2,2,[],"['84', '88']",5.75,3.65,1.62,1.87,1.91,1.91,1.87
22,1301366,Portugal Liga NOS,2021/2022,2021-08-21 16:30:00,3,Sporting CP,Belenenses,2,0,2,"['7', '48']",[],1.19,7.0,15.0,1.65,2.2,2.7,1.45
23,1301371,Portugal Liga NOS,2021/2022,2021-08-22 11:30:00,3,CD Tondela,Portimonense,0,3,3,[],"['35', '45+1', '80']",2.76,3.22,2.65,2.22,1.59,1.87,1.91
24,1301373,Portugal Liga NOS,2021/2022,2021-08-22 14:00:00,3,CS Marítimo,Porto,1,1,2,['45+4'],['35'],8.5,4.55,1.38,1.95,1.83,2.3,1.59
25,1301368,Portugal Liga NOS,2021/2022,2021-08-22 16:30:00,3,Vitória Guimarães,FC Vizela,4,0,4,"['70', '75', '82', '90+5']",[],1.69,3.65,4.9,2.0,1.77,2.0,1.8
26,1301367,Portugal Liga NOS,2021/2022,2021-08-23 15:00:00,3,Paços de Ferreira,GD Estoril Praia,1,3,4,['30'],"['45+1', '78', '81']",2.4,3.0,3.15,2.4,1.54,2.1,1.71
27,1301372,Portugal Liga NOS,2021/2022,2021-08-23 17:15:00,3,Boavista FC,Santa Clara,2,0,2,"['31', '47']",[],2.35,3.1,3.1,2.3,1.59,2.1,1.71
28,1301380,Portugal Liga NOS,2021/2022,2021-08-27 15:00:00,4,Belenenses,Moreirense FC,1,1,2,['29'],['86'],3.25,3.15,2.25,2.3,1.61,2.1,1.71
29,1301382,Portugal Liga NOS,2021/2022,2021-08-27 17:15:00,4,GD Estoril Praia,CS Marítimo,2,1,3,"['28', '59']",['45'],2.1,3.05,3.75,2.55,1.49,2.3,1.61
30,1301383,Portugal Liga NOS,2021/2022,2021-08-28 11:30:00,4,FC Vizela,Boavista FC,1,1,2,['74'],['51'],2.63,2.91,2.57,2.0,1.7,1.87,1.91
31,1301375,Portugal Liga NOS,2021/2022,2021-08-28 14:00:00,4,Porto,FC Arouca,3,0,3,"['24', '34', '63']",[],1.21,6.75,13.0,1.5,2.55,2.1,1.71
