Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1300850,Portugal LigaPro,2021/2022,2021-08-07 06:45:00,1,Academico Viseu,Casa Pia,2,1,3,"['70', '76']",['44'],3.05,3.15,2.21,2.2,1.6,2.0,1.77
2,1300851,Portugal LigaPro,2021/2022,2021-08-07 10:00:00,1,Varzim,GD Chaves,2,2,4,"['22', '89']","['30', '61']",2.6,3.05,2.65,2.2,1.65,1.91,1.87
3,1300852,Portugal LigaPro,2021/2022,2021-08-07 14:00:00,1,Porto II,CD Trofense,2,2,4,"['75', '90+0']","['57', '77']",1.49,4.15,6.0,1.87,1.91,2.0,1.8
4,1300847,Portugal LigaPro,2021/2022,2021-08-07 15:30:00,1,CD Feirense,Sporting Covilhã,1,2,3,['90+5'],"['51', '86']",2.15,2.85,3.8,2.3,1.59,2.0,1.77
5,1300854,Portugal LigaPro,2021/2022,2021-08-08 07:00:00,1,Estrela Amadora,CD Mafra,0,2,2,[],"['10', '90']",2.55,2.85,2.9,2.1,1.67,1.83,1.95
6,1300846,Portugal LigaPro,2021/2022,2021-08-08 10:00:00,1,Rio Ave FC,Associação Académica de Coimbra OAF,5,1,6,"['2', '10', '22', '68', '81']",['71'],1.91,3.15,4.1,2.2,1.65,2.05,1.77
7,1300848,Portugal LigaPro,2021/2022,2021-08-09 14:00:00,1,Benfica II,CD Nacional,5,0,5,"['13', '19', '45+3', '47', '90+2']",[],2.85,3.35,2.3,1.87,1.91,1.74,2.05
8,1300853,Portugal LigaPro,2021/2022,2021-08-09 14:00:00,1,Vilafranquense,FC Penafiel,0,1,1,[],['89'],4.25,3.3,1.83,2.25,1.62,2.1,1.69
9,1300849,Portugal LigaPro,2021/2022,2021-08-10 14:00:00,1,Leixões,Farense,3,1,4,"['4', '27', '90+1']",['15'],3.1,2.9,2.4,2.3,1.61,2.0,1.8
10,1300863,Portugal LigaPro,2021/2022,2021-08-13 14:00:00,2,CD Trofense,Estrela Amadora,0,0,0,[],[],2.6,2.8,2.9,2.4,1.54,2.05,1.74
11,1300857,Portugal LigaPro,2021/2022,2021-08-14 07:00:00,2,Associação Académica de Coimbra OAF,Varzim,1,1,2,['63'],['66'],2.0,3.45,3.35,1.97,1.82,1.87,1.91
12,1300860,Portugal LigaPro,2021/2022,2021-08-14 10:00:00,2,Casa Pia,Porto II,2,0,2,"['47', '73']",[],2.5,2.95,2.9,2.0,1.8,1.77,2.0
13,1300861,Portugal LigaPro,2021/2022,2021-08-14 14:00:00,2,CD Mafra,CD Feirense,0,1,1,[],['77'],2.4,2.9,3.05,2.15,1.67,1.91,1.87
