Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,4128657,Portugal Taça de Portugal,2022/2023,2022-09-09 12:45:00,0,Alverca,Rio Maior SC,2,0,2,"['29', '76']",[],1.07,12.73,32.69,0.0,0.0,2.37,1.5
2,4128660,Portugal Taça de Portugal,2022/2023,2022-09-09 15:00:00,0,Lusitânia,Praiense,2,3,5,"['-1', '-1']","['-1', '-1', '-1']",3.5,3.25,1.91,1.53,2.4,1.44,2.63
3,4128643,Portugal Taça de Portugal,2022/2023,2022-09-10 07:00:00,0,Valadares Gaia,Salgueiros,5,2,7,"['4', '10', '28', '56', '67']","['43', '52']",3.25,3.25,2.0,2.1,1.7,1.83,1.83
4,4128630,Portugal Taça de Portugal,2022/2023,2022-09-10 11:00:00,0,Bragança,Monção,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4128667,Portugal Taça de Portugal,2022/2023,2022-09-10 16:00:00,0,CF Esperança de Lagos,Comércio Indústria,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,2.45,1.45,0.0,0.0
6,4128639,Portugal Taça de Portugal,2022/2023,2022-09-11 07:00:00,0,Gondomar SC,Rebordosa,1,0,1,['84'],[],1.4,4.0,7.5,1.73,2.08,1.83,1.83
7,4128627,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Vinhais,Vianense,0,4,4,[],"['-1', '-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4128651,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Pombal,União de Tomar,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4128652,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,UD da Serra,Pedrógão São Pedro,5,1,6,"['-1', '-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4128653,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Benfica Castelo Branco,Águias do Moradal,8,0,8,"['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4128654,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Pêro Pinheiro,AD Portomosense,7,1,8,"['-1', '-1', '-1', '-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4128655,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Arronches e Benfica,Mosteirense,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4128656,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Sintrense,Fazendense,1,0,1,['-1'],[],1.25,4.4,15.5,0.0,0.0,0.0,0.0
14,4128658,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,União Santarém,Gavionenses,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4128659,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Oriental Dragon,1 Dezembro,2,1,3,"['-1', '-1']",['-1'],1.67,3.5,4.33,1.9,1.9,1.83,1.83
16,4128662,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Lusitano Évora 1911,Fontinhas,0,2,2,[],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4128663,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Clube Oriental de Lisboa,Madalena,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4128664,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,FC Serpa,Castrense,3,0,3,"['-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4128665,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Atlético Reguengos,SC Olhanense,2,5,7,"['-1', '-1']","['-1', '-1', '-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4128668,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Juventude Évora,Moncarapachense,3,0,3,"['-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4128650,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Marinhense,União de Leiria,0,1,1,[],['25'],15.0,5.5,1.17,1.6,2.3,2.38,1.53
22,4128649,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Alcains,Sertanense,0,1,1,[],['4501'],11.0,4.0,1.29,2.1,1.7,2.63,1.44
23,4128661,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Lajense,São Roque (Açores),3,2,5,"['-1', '-1', '-1']","['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4128647,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Sporting Mêda,SC Beira-Mar,0,6,6,[],"['-1', '-1', '-1', '-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4128646,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,São João Ver,Mortágua,7,1,8,"['42', '4501', '46', '52', '60', '67', '9001']",['78'],1.08,7.9,24.0,1.53,2.3,3.1,1.33
26,4128648,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Lusitano FCV,Sanjoanense,0,3,3,[],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4128644,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Os Marialvas,Vila Cortez,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4128642,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Canelas 2010,Régua,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4128641,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Leça,Resende,1,2,3,['-1'],"['-1', '-1']",1.73,3.3,4.33,1.85,1.95,1.8,1.91
