Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Portugal Liga NOS,2021/2022,2021-08-06 16:15:00,1,Sporting CP,FC Vizela,3,0,3,"['48', '64', '74']",[],1.24,6.25,12.0,1.62,2.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Portugal Liga NOS,2021/2022,2021-08-07 08:45:00,1,FC Arouca,GD Estoril Praia,0,2,2,[],"['4', '90+6']",2.25,3.1,3.35,2.45,2.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Portugal Liga NOS,2021/2022,2021-08-07 14:00:00,1,Moreirense FC,Benfica,1,2,3,['30'],"['9', '19']",7.0,4.75,1.4,1.71,2.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Portugal Liga NOS,2021/2022,2021-08-07 16:30:00,1,CS Marítimo,Sporting Braga,0,2,2,[],"['61', '69']",4.6,3.35,1.8,2.2,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Portugal Liga NOS,2021/2022,2021-08-08 11:30:00,1,Vitória Guimarães,Portimonense,0,1,1,[],['86'],2.02,3.2,3.85,2.15,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Portugal Liga NOS,2021/2022,2021-08-08 11:30:00,1,CD Tondela,Santa Clara,3,0,3,"['18', '54', '84']",[],3.05,3.1,2.38,2.1,1.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,Portugal Liga NOS,2021/2022,2021-08-08 14:00:00,1,Porto,Belenenses,2,0,2,"['19', '65']",[],1.16,8.25,16.0,1.51,2.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Portugal Liga NOS,2021/2022,2021-08-08 16:30:00,1,Paços de Ferreira,Famalicão,2,0,2,"['49', '50']",[],2.6,3.0,2.85,2.55,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Portugal Liga NOS,2021/2022,2021-08-09 16:15:00,1,Gil Vicente,Boavista FC,3,0,3,"['3', '24', '56']",[],1.87,3.1,4.7,2.5,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Portugal Liga NOS,2021/2022,2021-08-13 16:15:00,2,GD Estoril Praia,Vitória Guimarães,0,0,0,[],[],2.9,3.0,2.55,2.15,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Portugal Liga NOS,2021/2022,2021-08-14 11:30:00,2,FC Vizela,CD Tondela,2,1,3,"['52', '90+8']",['38'],2.35,3.2,3.0,2.4,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Portugal Liga NOS,2021/2022,2021-08-14 14:00:00,2,Benfica,FC Arouca,2,0,2,"['38', '43']",[],1.21,6.5,14.0,1.62,2.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Portugal Liga NOS,2021/2022,2021-08-14 16:30:00,2,Sporting Braga,Sporting CP,1,2,3,['90+2'],"['40', '50']",2.95,3.05,2.45,2.1,1.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Portugal Liga NOS,2021/2022,2021-08-15 11:30:00,2,Portimonense,Gil Vicente,0,1,1,[],['60'],2.31,3.07,2.93,2.39,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Portugal Liga NOS,2021/2022,2021-08-15 14:00:00,2,Famalicão,Porto,1,2,3,['56'],"['13', '43']",7.5,4.75,1.39,1.67,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Portugal Liga NOS,2021/2022,2021-08-15 16:30:00,2,Santa Clara,Moreirense FC,2,2,4,"['58', '90+4']","['90', '90+10']",2.15,3.25,3.4,2.2,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Portugal Liga NOS,2021/2022,2021-08-16 15:00:00,2,Boavista FC,Paços de Ferreira,3,0,3,"['19', '61', '76']",[],2.82,3.05,2.52,2.45,2.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Portugal Liga NOS,2021/2022,2021-08-16 17:15:00,2,Belenenses,CS Marítimo,1,2,3,['45'],"['12', '15']",2.8,2.85,2.75,2.75,2.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,Portugal Liga NOS,2021/2022,2021-08-20 15:00:00,3,FC Arouca,Famalicão,2,1,3,"['65', '89']",['23'],2.9,3.05,2.5,2.25,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
