Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Portugal Taça de Portugal,2022/2023,2022-09-09 12:45:00,0,Alverca,Rio Maior SC,2,0,2,"['29', '76']",[],1.07,12.73,32.69,0.0,2.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Portugal Taça de Portugal,2022/2023,2022-09-09 15:00:00,0,Lusitânia,Praiense,2,3,5,"['-1', '-1']","['-1', '-1', '-1']",3.5,3.25,1.91,1.53,1.44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Portugal Taça de Portugal,2022/2023,2022-09-10 07:00:00,0,Valadares Gaia,Salgueiros,5,2,7,"['4', '10', '28', '56', '67']","['43', '52']",3.25,3.25,2.0,2.1,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Portugal Taça de Portugal,2022/2023,2022-09-10 11:00:00,0,Bragança,Monção,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Portugal Taça de Portugal,2022/2023,2022-09-10 16:00:00,0,CF Esperança de Lagos,Comércio Indústria,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,2.45,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Portugal Taça de Portugal,2022/2023,2022-09-11 07:00:00,0,Gondomar SC,Rebordosa,1,0,1,['84'],[],1.4,4.0,7.5,1.73,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Vinhais,Vianense,0,4,4,[],"['-1', '-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Pombal,União de Tomar,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,UD da Serra,Pedrógão São Pedro,5,1,6,"['-1', '-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Benfica Castelo Branco,Águias do Moradal,8,0,8,"['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Pêro Pinheiro,AD Portomosense,7,1,8,"['-1', '-1', '-1', '-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Portugal Taça de Portugal,2022/2023,2022-09-11 11:00:00,0,Arronches e Benfica,Mosteirense,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
