Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1540831,Republic of Ireland First Division,2022,2022-02-18 16:45:00,1,Athlone Town,Waterford,2,5,7,"['80', '87']","['16', '18', '36', '54', '82']",4.33,3.5,1.67,1.75,1.95,1.83,1.83
2,1540832,Republic of Ireland First Division,2022,2022-02-18 16:45:00,1,Bray Wanderers,Cork City,0,6,6,[],"['34', '57', '59', '60', '63', '76']",2.0,3.3,3.3,2.08,1.68,1.83,1.83
3,1540833,Republic of Ireland First Division,2022,2022-02-18 16:45:00,1,Wexford,Treaty United,1,5,6,['42'],"['18', '35', '50', '57', '65']",2.7,3.25,2.4,1.91,1.81,1.83,1.83
4,1540835,Republic of Ireland First Division,2022,2022-02-25 16:45:00,2,Cobh Ramblers,Wexford,2,3,5,"['30', '72']","['71', '81', '89']",2.29,3.35,2.9,1.96,1.82,1.8,1.96
5,1540836,Republic of Ireland First Division,2022,2022-02-25 16:45:00,2,Cork City,Galway United,0,1,1,[],['38'],2.55,3.4,2.55,2.17,1.62,1.91,1.85
6,1540838,Republic of Ireland First Division,2022,2022-02-25 16:45:00,2,Waterford,Bray Wanderers,1,0,1,['27'],[],1.57,4.0,5.2,1.82,1.96,2.0,1.77
7,1540839,Republic of Ireland First Division,2022,2022-03-04 16:45:00,3,Cobh Ramblers,Treaty United,0,0,0,[],[],3.34,3.45,2.13,1.95,1.75,1.78,2.01
8,1540840,Republic of Ireland First Division,2022,2022-03-04 16:45:00,3,Galway United,Waterford,2,2,4,"['48', '75']","['16', '37']",3.1,3.36,2.28,1.91,1.8,1.8,1.91
9,1540841,Republic of Ireland First Division,2022,2022-03-04 16:45:00,3,Wexford,Athlone Town,2,1,3,"['33', '55']",['89'],2.02,3.68,3.42,1.57,2.25,1.47,2.64
10,1540842,Republic of Ireland First Division,2022,2022-03-05 16:30:00,3,Longford Town,Cork City,0,0,0,[],[],2.7,3.1,2.37,1.91,1.8,1.8,1.91
