Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1186487,Republic of Ireland Premier Division,2021,2021-03-19 14:45:00,1,Drogheda United,Waterford,1,0,1,['89'],[],2.0,3.35,3.8,2.2,1.65,2.05,1.71
2,1186489,Republic of Ireland Premier Division,2021,2021-03-19 16:45:00,1,Shamrock Rovers,St Patrick's Athl.,1,1,2,['89'],['87'],1.62,3.75,5.1,2.1,1.65,2.3,1.57
3,1186488,Republic of Ireland Premier Division,2021,2021-03-20 15:00:00,1,Finn Harps,Bohemians,1,0,1,['38'],[],3.35,3.35,2.05,2.3,1.58,2.1,1.67
4,1186490,Republic of Ireland Premier Division,2021,2021-03-20 15:00:00,1,Longford Town,Derry City,2,0,2,"['7', '72']",[],3.1,3.25,2.2,1.9,1.86,1.91,1.8
5,1186491,Republic of Ireland Premier Division,2021,2021-03-20 15:00:00,1,Sligo Rovers,Dundalk,1,1,2,['23'],['16'],3.9,3.45,1.85,1.9,1.85,1.8,1.91
6,1186494,Republic of Ireland Premier Division,2021,2021-03-26 14:45:00,2,Dundalk,Finn Harps,1,2,3,['48'],"['43', '63']",1.44,4.2,6.0,1.85,1.85,2.3,1.57
7,1186496,Republic of Ireland Premier Division,2021,2021-03-26 16:45:00,2,Waterford,Sligo Rovers,1,2,3,['5'],"['35', '53']",3.75,3.4,1.85,2.1,1.65,2.1,1.67
8,1186495,Republic of Ireland Premier Division,2021,2021-03-27 13:00:00,2,St Patrick's Athl.,Drogheda United,2,1,3,"['59', '90']",['69'],1.62,3.6,5.75,2.4,1.54,2.4,1.54
9,1186492,Republic of Ireland Premier Division,2021,2021-03-27 13:00:00,2,Bohemians,Longford Town,2,2,4,"['19', '26']","['76', '86']",1.56,3.75,6.0,2.2,1.65,2.25,1.61
10,1186501,Republic of Ireland Premier Division,2021,2021-04-02 13:45:00,3,Longford Town,Sligo Rovers,0,1,1,[],['47'],3.99,3.36,1.94,2.01,1.75,1.91,1.8
11,1186500,Republic of Ireland Premier Division,2021,2021-04-02 15:45:00,3,Shamrock Rovers,Dundalk,2,1,3,"['35', '77']",['89'],1.91,3.25,4.26,2.23,1.62,2.05,1.71
12,1186497,Republic of Ireland Premier Division,2021,2021-04-03 14:00:00,3,Drogheda United,Finn Harps,1,1,2,['62'],['56'],2.45,3.25,2.8,2.34,1.53,2.1,1.67
13,1186498,Republic of Ireland Premier Division,2021,2021-04-03 14:00:00,3,Derry City,Waterford,1,2,3,['45'],"['31', '51']",1.83,3.21,4.07,2.11,1.65,2.1,1.67
14,1186499,Republic of Ireland Premier Division,2021,2021-04-03 14:00:00,3,Bohemians,St Patrick's Athl.,0,1,1,[],['62'],2.69,2.92,2.53,2.34,1.53,2.1,1.67
15,1186503,Republic of Ireland Premier Division,2021,2021-04-09 13:45:00,4,St Patrick's Athl.,Derry City,2,0,2,"['60', '71']",[],1.8,3.3,4.7,2.55,1.45,2.45,1.5
16,1186502,Republic of Ireland Premier Division,2021,2021-04-09 15:45:00,4,Dundalk,Bohemians,0,1,1,[],['12'],1.94,3.4,3.8,2.23,1.62,2.05,1.7
17,1186505,Republic of Ireland Premier Division,2021,2021-04-10 14:00:00,4,Longford Town,Drogheda United,0,4,4,[],"['35', '51', '56', '67']",2.2,3.2,3.2,2.23,1.62,1.93,1.87
18,1186506,Republic of Ireland Premier Division,2021,2021-04-10 14:00:00,4,Sligo Rovers,Shamrock Rovers,1,1,2,['82'],['88'],4.9,3.25,1.76,1.91,1.86,1.97,1.84
19,1186504,Republic of Ireland Premier Division,2021,2021-04-10 14:00:00,4,Finn Harps,Waterford,2,1,3,"['41', '90+3']",['35'],1.76,3.25,4.9,2.5,1.5,2.2,1.67
20,1186493,Republic of Ireland Premier Division,2021,2021-04-13 15:45:00,2,Derry City,Shamrock Rovers,0,2,2,[],"['34', '39']",4.5,3.4,1.72,1.9,1.8,1.86,1.98
21,1186507,Republic of Ireland Premier Division,2021,2021-04-16 13:45:00,5,Waterford,Bohemians,0,1,1,[],['43'],3.95,3.47,1.79,2.15,1.63,2.15,1.67
