Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Republic of Ireland First Division,2022,2022-02-18 16:45:00,1,Athlone Town,Waterford,2,5,7,"['80', '87']","['16', '18', '36', '54', '82']",4.33,3.5,1.67,1.75,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Republic of Ireland First Division,2022,2022-02-18 16:45:00,1,Bray Wanderers,Cork City,0,6,6,[],"['34', '57', '59', '60', '63', '76']",2.0,3.3,3.3,2.08,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Republic of Ireland First Division,2022,2022-02-18 16:45:00,1,Wexford,Treaty United,1,5,6,['42'],"['18', '35', '50', '57', '65']",2.7,3.25,2.4,1.91,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Republic of Ireland First Division,2022,2022-02-25 16:45:00,2,Cobh Ramblers,Wexford,2,3,5,"['30', '72']","['71', '81', '89']",2.29,3.35,2.9,1.96,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Republic of Ireland First Division,2022,2022-02-25 16:45:00,2,Cork City,Galway United,0,1,1,[],['38'],2.55,3.4,2.55,2.17,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Republic of Ireland First Division,2022,2022-02-25 16:45:00,2,Waterford,Bray Wanderers,1,0,1,['27'],[],1.57,4.0,5.2,1.82,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Republic of Ireland First Division,2022,2022-03-04 16:45:00,3,Cobh Ramblers,Treaty United,0,0,0,[],[],3.34,3.45,2.13,1.95,1.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Republic of Ireland First Division,2022,2022-03-04 16:45:00,3,Galway United,Waterford,2,2,4,"['48', '75']","['16', '37']",3.1,3.36,2.28,1.91,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Republic of Ireland First Division,2022,2022-03-04 16:45:00,3,Wexford,Athlone Town,2,1,3,"['33', '55']",['89'],2.02,3.68,3.42,1.57,1.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Republic of Ireland First Division,2022,2022-03-05 16:30:00,3,Longford Town,Cork City,0,0,0,[],[],2.7,3.1,2.37,1.91,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Republic of Ireland First Division,2022,2022-03-11 16:45:00,4,Bray Wanderers,Galway United,1,3,4,['69'],"['53', '67', '90+3']",3.22,3.36,2.22,1.92,1.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Republic of Ireland First Division,2022,2022-03-11 16:45:00,4,Cork City,Cobh Ramblers,2,0,2,"['14', '62']",[],1.33,5.0,9.2,1.77,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Republic of Ireland First Division,2022,2022-03-11 16:45:00,4,Waterford,Wexford,2,1,3,"['7', '34']",['29'],1.32,5.45,8.5,1.51,2.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Republic of Ireland First Division,2022,2022-03-14 16:45:00,5,Longford Town,Bray Wanderers,1,2,3,['8'],"['21', '39']",2.25,3.1,2.95,2.05,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Republic of Ireland First Division,2022,2022-03-14 16:45:00,5,Cork City,Waterford,2,0,2,"['15', '18']",[],3.5,3.4,1.95,1.98,1.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Republic of Ireland First Division,2022,2022-03-14 16:45:00,5,Athlone Town,Cobh Ramblers,2,3,5,"['45+3', '83']","['14', '89', '90+4']",1.75,3.75,3.85,1.7,1.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Republic of Ireland First Division,2022,2022-03-14 16:45:00,5,Galway United,Treaty United,2,1,3,"['5', '43']",['68'],1.6,3.85,4.7,1.9,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Republic of Ireland First Division,2022,2022-03-18 12:00:00,6,Treaty United,Cork City,0,4,4,[],"['3', '26', '35', '79']",3.13,3.13,2.1,1.99,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
