Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Republic of Ireland Premier Division,2023,2023-02-17 16:45:00,1,Cork City,Bohemians,1,2,3,['82'],"['19', '53']",2.71,3.52,2.45,1.9,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Republic of Ireland Premier Division,2023,2023-02-17 16:45:00,1,Dundalk,UCD,1,1,2,['34'],['78'],1.35,5.05,8.4,1.6,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Republic of Ireland Premier Division,2023,2023-02-17 16:45:00,1,Shelbourne,Drogheda United,0,0,0,[],[],1.53,4.32,5.8,1.77,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Republic of Ireland Premier Division,2023,2023-02-17 16:45:00,1,St Patrick's Athl.,Derry City,1,1,2,['89'],['32'],2.78,3.24,2.55,2.12,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Republic of Ireland Premier Division,2023,2023-02-18 16:45:00,1,Sligo Rovers,Shamrock Rovers,1,1,2,['90+4'],['17'],4.24,3.54,1.85,2.11,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Republic of Ireland Premier Division,2023,2023-02-24 16:45:00,2,Bohemians,Dundalk,2,1,3,"['45+1', '71']",['89'],2.71,3.45,2.36,1.98,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Republic of Ireland Premier Division,2023,2023-02-24 16:45:00,2,Derry City,Cork City,2,0,2,"['31', '63']",[],1.38,4.55,7.4,1.93,2.38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Republic of Ireland Premier Division,2023,2023-02-24 16:45:00,2,Drogheda United,Shamrock Rovers,1,1,2,['89'],['53'],6.0,4.15,1.49,1.98,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Republic of Ireland Premier Division,2023,2023-02-24 16:45:00,2,St Patrick's Athl.,Shelbourne,1,0,1,['84'],[],1.85,3.4,4.1,1.73,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Republic of Ireland Premier Division,2023,2023-02-24 16:45:00,2,UCD,Sligo Rovers,2,3,5,"['5', '49']","['21', '69', '82']",3.75,3.45,1.9,1.91,1.85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Republic of Ireland Premier Division,2023,2023-03-03 16:45:00,3,Shelbourne,Bohemians,1,0,1,['78'],[],2.47,3.05,2.85,2.3,1.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Republic of Ireland Premier Division,2023,2023-03-03 16:45:00,3,Dundalk,St Patrick's Athl.,5,0,5,"['5', '15', '51', '53', '84']",[],2.66,3.25,2.52,2.1,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,Republic of Ireland Premier Division,2023,2023-03-03 16:45:00,3,Cork City,UCD,4,0,4,"['13', '45', '66', '71']",[],1.8,3.2,4.25,2.15,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Republic of Ireland Premier Division,2023,2023-03-03 16:45:00,3,Drogheda United,Sligo Rovers,1,0,1,['59'],[],3.2,3.4,2.12,2.1,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Republic of Ireland Premier Division,2023,2023-03-03 17:00:00,3,Shamrock Rovers,Derry City,1,2,3,['26'],"['18', '54']",2.42,3.25,2.76,2.25,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Republic of Ireland Premier Division,2023,2023-03-06 16:45:00,4,Bohemians,Drogheda United,3,1,4,"['9', '38', '51']",['15'],1.78,3.21,4.15,2.02,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Republic of Ireland Premier Division,2023,2023-03-06 16:45:00,4,Dundalk,Shelbourne,2,1,3,"['47', '68']",['15'],1.82,3.15,4.03,2.05,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Republic of Ireland Premier Division,2023,2023-03-06 16:45:00,4,Sligo Rovers,St Patrick's Athl.,2,1,3,"['32', '67']",['62'],2.72,3.07,2.37,1.96,1.78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Republic of Ireland Premier Division,2023,2023-03-06 16:45:00,4,UCD,Derry City,0,4,4,[],"['15', '41', '65', '75']",11.63,5.09,1.2,1.64,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Republic of Ireland Premier Division,2023,2023-03-06 17:00:00,4,Shamrock Rovers,Cork City,4,4,8,"['14', '53', '84', '90+7']","['34', '38', '58', '69']",1.39,3.97,6.95,1.97,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
