Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Romania Liga II,2022/2023,2022-08-04 11:00:00,1,Progresul Spartac,Dinamo Bucureşti,0,1,1,[],['27'],3.9,3.3,1.85,1.85,1.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Romania Liga II,2022/2023,2022-08-05 11:00:00,1,Unirea Slobozia,FCM Baia Mare,3,0,3,"['16', '24', '71']",[],1.65,3.4,4.75,1.8,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Romania Liga II,2022/2023,2022-08-06 05:00:00,1,Viitorul Şelimbăr,Brașov Steagul Renașt,1,0,1,['49'],[],1.95,3.2,3.6,2.05,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Romania Liga II,2022/2023,2022-08-06 05:00:00,1,Energeticianul,Dumbrăviţa,0,1,1,[],['26'],1.7,2.99,3.75,1.75,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Romania Liga II,2022/2023,2022-08-06 05:00:00,1,FC Unirea Dej,Csikszereda,2,1,3,"['73', '83']",['62'],3.03,3.07,2.15,1.96,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Romania Liga II,2022/2023,2022-08-06 05:00:00,1,Concordia Chiajna,Slatina,0,3,3,[],"['28', '46', '87']",1.54,3.67,5.05,2.01,2.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Romania Liga II,2022/2023,2022-08-06 05:00:00,1,SCM Gloria Buzău,Ripensia Timişoara,1,0,1,['61'],[],1.49,3.77,5.4,1.81,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Romania Liga II,2022/2023,2022-08-06 05:30:00,1,Oţelul Galaţi,CSM Iaşi,0,0,0,[],[],2.8,3.0,2.35,2.15,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Romania Liga II,2022/2023,2022-08-06 12:00:00,1,ASU Poli Timişoara,Unirea Constanța,1,0,1,['8'],[],1.45,3.8,6.0,1.6,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Romania Liga II,2022/2023,2022-08-09 14:00:00,1,CSA Steaua Bucureşti,Metaloglobus,1,1,2,['45+2'],['50'],1.75,3.2,4.2,2.35,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
