League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Romania Liga I,2022/2023,2022-07-15 12:30:00,1,Hermannstadt,Mioveni,3,0,3,"['28', '62', '67']",[],2.62,2.8,2.62,2.55,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-15 15:30:00,1,CS U Craiova,Sepsi,2,2,4,"['29', '59']","['73', '87']",2.25,3.0,3.4,2.34,2.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-16 12:30:00,1,Argeș,UTA Arad,2,0,2,"['2', '54']",[],2.55,3.1,2.63,2.55,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-16 15:30:00,1,CFR Cluj,Rapid Bucureşti,1,0,1,['17'],[],1.91,3.0,4.2,2.42,2.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-17 12:30:00,1,SSC Farul,U Craiova 1948,2,1,3,"['3', '29']",['57'],1.8,3.1,4.33,2.3,2.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-17 15:30:00,1,FCSB,Universitatea Cluj,1,1,2,['55'],['45+4'],1.3,4.3,8.6,2.06,2.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-18 12:30:00,1,Botoşani,Chindia Târgovişte,3,2,5,"['3', '29', '31']","['13', '48']",1.95,3.1,3.8,2.6,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Romania Liga I,2022/2023,2022-07-18 15:30:00,1,Petrolul 52,Voluntari,0,1,1,[],['90+2'],2.55,2.8,2.7,2.62,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-22 14:30:00,2,Mioveni,SSC Farul,0,2,2,[],"['58', '76']",3.05,3.0,2.2,2.28,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania Liga I,2022/2023,2022-07-23 14:30:00,2,Voluntari,Botoşani,0,1,1,[],['82'],2.25,2.95,3.26,2.65,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
