Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1264026,Russia Russian Premier League,2021/2022,2021-07-23 14:00:00,1,Rostov,Dinamo Moskva,0,2,2,[],"['20', '33']",2.85,3.05,2.6,2.45,1.54,2.15,1.67
2,1264033,Russia Russian Premier League,2021/2022,2021-07-24 11:30:00,1,Khimki,Zenit,1,3,4,['28'],"['33', '72', '76']",7.5,4.5,1.36,1.77,1.95,2.15,1.65
3,1264029,Russia Russian Premier League,2021/2022,2021-07-24 14:00:00,1,Lokomotiv Moskva,Arsenal Tula,3,1,4,"['80', '86', '89']",['22'],1.65,3.75,5.75,2.2,1.65,2.2,1.62
4,1264030,Russia Russian Premier League,2021/2022,2021-07-24 14:00:00,1,Rubin Kazan,Spartak Moskva,1,0,1,['49'],[],3.25,3.5,2.15,1.83,1.95,1.71,2.05
5,1264032,Russia Russian Premier League,2021/2022,2021-07-25 11:30:00,1,Ural,Krasnodar,0,3,3,[],"['62', '85', '90+5']",4.6,3.5,1.61,1.87,1.83,1.8,1.95
6,1264027,Russia Russian Premier League,2021/2022,2021-07-25 13:00:00,1,Krylya Sovetov,Akhmat Grozny,1,2,3,['49'],"['6', '20']",2.2,3.2,3.45,2.3,1.59,2.1,1.71
7,1264028,Russia Russian Premier League,2021/2022,2021-07-25 14:00:00,1,CSKA Moskva,Ufa,1,0,1,['61'],[],1.61,3.75,6.0,2.1,1.71,2.1,1.71
8,1264031,Russia Russian Premier League,2021/2022,2021-07-26 13:00:00,1,Olimpiyets,FK Sochi,1,0,1,['68'],[],4.15,2.9,2.1,2.5,1.5,2.2,1.62
9,1264039,Russia Russian Premier League,2021/2022,2021-07-30 13:00:00,2,Arsenal Tula,Rubin Kazan,0,3,3,[],"['12', '37', '40']",3.25,3.2,2.25,2.25,1.62,2.0,1.77
10,1264036,Russia Russian Premier League,2021/2022,2021-07-30 13:00:00,2,Krylya Sovetov,Spartak Moskva,0,1,1,[],['68'],4.45,3.5,1.83,1.95,1.8,1.87,1.87
11,1264040,Russia Russian Premier League,2021/2022,2021-07-31 11:30:00,2,Ufa,Dinamo Moskva,2,3,5,"['81', '86']","['33', '41', '89']",3.58,2.96,1.95,1.62,2.2,2.05,1.71
12,1264037,Russia Russian Premier League,2021/2022,2021-07-31 14:00:00,2,CSKA Moskva,Lokomotiv Moskva,1,2,3,['18'],"['22', '59']",2.1,3.35,3.5,2.05,1.74,1.91,1.83
13,1264041,Russia Russian Premier League,2021/2022,2021-08-01 11:30:00,2,Ural,Olimpiyets,1,1,2,['32'],['55'],1.95,3.25,4.0,2.1,1.67,1.9,1.83
