Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Russia Russian Premier League,2022/2023,2022-07-15 14:00:00,1,Khimki,Zenit,1,1,2,['84'],['17'],7.94,5.17,1.33,1.56,1.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Russia Russian Premier League,2022/2023,2022-07-16 09:00:00,1,CSKA Moskva,Ural,2,0,2,"['45', '64']",[],1.5,3.82,5.39,1.97,2.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Russia Russian Premier League,2022/2023,2022-07-16 11:30:00,1,Orenburg,Krylya Sovetov,2,4,6,"['31', '83']","['49', '54', '73', '84']",2.58,3.45,2.48,2.02,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Russia Russian Premier League,2022/2023,2022-07-16 14:00:00,1,Akhmat Grozny,Spartak Moskva,1,1,2,['45+4'],['83'],2.48,3.5,2.54,1.94,1.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Russia Russian Premier League,2022/2023,2022-07-17 09:00:00,1,Torpedo Moskva,FK Sochi,1,3,4,['51'],"['35', '37', '90+4']",3.48,3.6,2.1,1.89,1.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Russia Russian Premier League,2022/2023,2022-07-17 11:30:00,1,Lokomotiv Moskva,Olimpiyets,1,1,2,['52'],['70'],1.66,3.35,4.4,1.95,1.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Russia Russian Premier League,2022/2023,2022-07-17 14:00:00,1,Krasnodar,Fakel,2,2,4,"['24', '40']","['10', '49']",1.69,3.55,4.2,1.88,1.82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Russia Russian Premier League,2022/2023,2022-07-17 14:00:00,1,Dinamo Moskva,Rostov,1,1,2,['16'],['68'],1.6,3.8,4.5,1.94,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Russia Russian Premier League,2022/2023,2022-07-22 14:00:00,2,Zenit,Krylya Sovetov,3,0,3,"['5', '12', '31']",[],1.38,4.9,7.2,1.61,1.84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Russia Russian Premier League,2022/2023,2022-07-23 09:00:00,2,CSKA Moskva,FK Sochi,3,0,3,"['36', '56', '90+2']",[],2.15,3.59,3.45,1.74,1.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Russia Russian Premier League,2022/2023,2022-07-23 11:30:00,2,Orenburg,Ural,3,0,3,"['46', '67', '77']",[],2.35,3.15,2.97,2.17,1.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,Russia Russian Premier League,2022/2023,2022-07-23 14:00:00,2,Krasnodar,Spartak Moskva,1,4,5,['60'],"['35', '46', '53', '83']",2.79,3.6,2.26,1.76,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Russia Russian Premier League,2022/2023,2022-07-24 09:00:00,2,Khimki,Olimpiyets,3,0,3,"['62', '80', '89']",[],2.08,2.95,3.22,1.98,1.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Russia Russian Premier League,2022/2023,2022-07-24 11:30:00,2,Dinamo Moskva,Torpedo Moskva,4,0,4,"['32', '36', '45', '69']",[],1.56,4.44,6.8,1.86,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Russia Russian Premier League,2022/2023,2022-07-24 14:00:00,2,Akhmat Grozny,Fakel,2,1,3,"['37', '64']",['27'],1.68,4.24,5.4,1.94,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,Russia Russian Premier League,2022/2023,2022-07-24 14:00:00,2,Lokomotiv Moskva,Rostov,2,2,4,"['35', '90+4']","['4', '88']",2.19,3.66,3.48,1.86,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,Russia Russian Premier League,2022/2023,2022-07-29 12:00:00,3,Ural,Krasnodar,1,3,4,['90'],"['28', '59', '74']",2.69,3.54,2.61,1.86,1.79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Russia Russian Premier League,2022/2023,2022-07-30 09:00:00,3,Fakel,Dinamo Moskva,3,3,6,"['46', '48', '86']","['26', '43', '49']",3.85,3.5,1.87,1.9,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,Russia Russian Premier League,2022/2023,2022-07-30 11:30:00,3,Zenit,Lokomotiv Moskva,5,0,5,"['63', '75', '80', '90+1', '90+3']",[],1.33,5.55,7.25,1.5,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,Russia Russian Premier League,2022/2023,2022-07-30 14:00:00,3,FK Sochi,Akhmat Grozny,2,1,3,"['20', '49']",['60'],2.05,3.6,3.28,1.85,1.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Russia Russian Premier League,2022/2023,2022-07-31 09:00:00,3,Olimpiyets,CSKA Moskva,2,2,4,"['60', '85']","['15', '22']",4.61,3.72,1.84,2.03,1.87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Russia Russian Premier League,2022/2023,2022-07-31 11:30:00,3,Spartak Moskva,Orenburg,4,1,5,"['2', '12', '38', '90+4']",['55'],1.43,5.0,8.3,1.74,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Russia Russian Premier League,2022/2023,2022-07-31 11:30:00,3,Krylya Sovetov,Torpedo Moskva,1,1,2,['68'],['19'],1.7,4.22,5.25,1.77,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Russia Russian Premier League,2022/2023,2022-07-31 14:00:00,3,Rostov,Khimki,1,0,1,['40'],[],1.85,3.9,4.58,1.86,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Russia Russian Premier League,2022/2023,2022-08-06 09:00:00,4,Ural,Spartak Moskva,0,2,2,[],"['27', '43']",3.5,3.4,1.88,1.88,1.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Russia Russian Premier League,2022/2023,2022-08-06 11:30:00,4,CSKA Moskva,Fakel,4,1,5,"['57', '70', '72', '83']",['42'],1.42,3.88,6.59,1.85,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Russia Russian Premier League,2022/2023,2022-08-06 14:00:00,4,Akhmat Grozny,Zenit,0,0,0,[],[],4.9,3.68,1.57,1.72,1.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
