Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1323047,Saudi Arabia Professional League,2021/2022,2021-08-11 13:15:00,1,Al Feiha,Al Ittihad,1,0,1,['35'],[],3.88,3.54,1.64,1.65,2.1,1.65,2.18
2,1323048,Saudi Arabia Professional League,2021/2022,2021-08-12 13:15:00,1,Abha,Al Shabab,2,1,3,"['9', '41']",['57'],4.1,3.75,1.7,1.6,2.19,1.6,2.25
3,1323049,Saudi Arabia Professional League,2021/2022,2021-08-12 13:20:00,1,Al Raed,Al Fateh,1,0,1,['45+3'],[],2.45,3.5,2.45,1.67,2.07,1.6,2.27
4,1323050,Saudi Arabia Professional League,2021/2022,2021-08-12 14:55:00,1,Al Hazm,Al Taawon,3,3,6,"['40', '69', '87']","['23', '34', '55']",2.8,3.4,2.15,2.25,1.62,1.55,2.35
5,1323051,Saudi Arabia Professional League,2021/2022,2021-08-13 13:05:00,1,Al Nassr,Dhamk,4,1,5,"['4', '40', '42', '80']",['51'],1.33,4.5,7.0,1.55,2.38,1.8,1.92
6,1323052,Saudi Arabia Professional League,2021/2022,2021-08-13 14:55:00,1,Al Ahli,Al Faisaly,1,1,2,['37'],['27'],1.89,3.7,3.62,1.67,2.1,1.59,2.24
7,1323053,Saudi Arabia Professional League,2021/2022,2021-08-14 12:55:00,1,Al Ittifaq,Al Batin,2,1,3,"['9', '20']",['50'],1.9,3.35,3.5,1.7,2.05,1.74,2.1
8,1323054,Saudi Arabia Professional League,2021/2022,2021-08-14 14:55:00,1,Al Hilal,Al Ta'ee,1,0,1,['90+1'],[],1.15,6.4,12.0,1.32,3.09,1.87,1.85
9,1323055,Saudi Arabia Professional League,2021/2022,2021-08-16 14:50:00,2,Al Ittihad,Al Raed,3,0,3,"['7', '15', '42']",[],1.57,3.7,4.7,1.55,2.29,1.61,2.25
10,1323056,Saudi Arabia Professional League,2021/2022,2021-08-19 13:10:00,2,Al Hazm,Al Ahli,2,2,4,"['35', '39']","['78', '83']",3.6,3.47,1.91,1.61,2.18,1.53,2.38
11,1323057,Saudi Arabia Professional League,2021/2022,2021-08-19 14:50:00,2,Al Faisaly,Al Nassr,2,1,3,"['45+4', '50']",['8'],5.0,4.14,1.57,1.57,2.33,1.65,2.1
12,1323058,Saudi Arabia Professional League,2021/2022,2021-08-20 13:05:00,2,Al Batin,Abha,2,1,3,"['16', '90+5']",['89'],2.25,3.54,2.55,1.61,2.15,1.62,2.24
13,1323059,Saudi Arabia Professional League,2021/2022,2021-08-20 13:10:00,2,Dhamk,Al Ta'ee,1,0,1,['59'],[],1.99,3.39,3.09,1.75,1.95,1.66,2.11
14,1323060,Saudi Arabia Professional League,2021/2022,2021-08-20 14:50:00,2,Al Taawon,Al Hilal,1,2,3,['26'],"['81', '90+3']",5.42,4.25,1.43,1.53,2.35,1.62,2.2
15,1323061,Saudi Arabia Professional League,2021/2022,2021-08-21 12:50:00,2,Al Fateh,Al Feiha,1,1,2,['23'],['26'],2.12,3.58,3.02,2.2,1.65,1.59,2.24
16,1323062,Saudi Arabia Professional League,2021/2022,2021-08-21 14:50:00,2,Al Shabab,Al Ittifaq,3,3,6,"['39', '45+5', '49']","['77', '80', '88']",1.71,3.4,3.74,1.56,2.35,1.53,2.45
17,1323063,Saudi Arabia Professional League,2021/2022,2021-08-25 13:05:00,3,Al Raed,Al Hazm,2,0,2,"['45+3', '47']",[],2.08,3.16,2.82,1.63,2.14,1.58,2.25
18,1323064,Saudi Arabia Professional League,2021/2022,2021-08-25 14:45:00,3,Al Ahli,Dhamk,1,1,2,['18'],['19'],1.46,4.17,4.65,1.45,2.55,1.5,2.5
19,1323065,Saudi Arabia Professional League,2021/2022,2021-08-26 12:45:00,3,Al Fateh,Al Shabab,2,0,2,"['25', '87']",[],2.69,3.62,2.31,1.56,2.35,1.52,2.36
20,1323066,Saudi Arabia Professional League,2021/2022,2021-08-26 13:05:00,3,Abha,Al Ittifaq,1,1,2,['90+3'],['9'],3.12,3.62,2.09,2.25,1.6,1.55,2.3
