Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Saudi Arabia Professional League,2021/2022,2021-08-11 13:15:00,1,Al Feiha,Al Ittihad,1,0,1,['35'],[],3.88,3.54,1.64,1.65,1.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Saudi Arabia Professional League,2021/2022,2021-08-12 13:15:00,1,Abha,Al Shabab,2,1,3,"['9', '41']",['57'],4.1,3.75,1.7,1.6,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Saudi Arabia Professional League,2021/2022,2021-08-12 13:20:00,1,Al Raed,Al Fateh,1,0,1,['45+3'],[],2.45,3.5,2.45,1.67,1.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Saudi Arabia Professional League,2021/2022,2021-08-12 14:55:00,1,Al Hazm,Al Taawon,3,3,6,"['40', '69', '87']","['23', '34', '55']",2.8,3.4,2.15,2.25,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Saudi Arabia Professional League,2021/2022,2021-08-13 13:05:00,1,Al Nassr,Dhamk,4,1,5,"['4', '40', '42', '80']",['51'],1.33,4.5,7.0,1.55,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Saudi Arabia Professional League,2021/2022,2021-08-13 14:55:00,1,Al Ahli,Al Faisaly,1,1,2,['37'],['27'],1.89,3.7,3.62,1.67,1.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Saudi Arabia Professional League,2021/2022,2021-08-14 12:55:00,1,Al Ittifaq,Al Batin,2,1,3,"['9', '20']",['50'],1.9,3.35,3.5,1.7,1.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Saudi Arabia Professional League,2021/2022,2021-08-14 14:55:00,1,Al Hilal,Al Ta'ee,1,0,1,['90+1'],[],1.15,6.4,12.0,1.32,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Saudi Arabia Professional League,2021/2022,2021-08-16 14:50:00,2,Al Ittihad,Al Raed,3,0,3,"['7', '15', '42']",[],1.57,3.7,4.7,1.55,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Saudi Arabia Professional League,2021/2022,2021-08-19 13:10:00,2,Al Hazm,Al Ahli,2,2,4,"['35', '39']","['78', '83']",3.6,3.47,1.91,1.61,1.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Saudi Arabia Professional League,2021/2022,2021-08-19 14:50:00,2,Al Faisaly,Al Nassr,2,1,3,"['45+4', '50']",['8'],5.0,4.14,1.57,1.57,1.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Saudi Arabia Professional League,2021/2022,2021-08-20 13:05:00,2,Al Batin,Abha,2,1,3,"['16', '90+5']",['89'],2.25,3.54,2.55,1.61,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
