Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2470542,Scotland League One,2022/2023,2022-07-30 11:00:00,1,Dunfermline Athletic,Alloa Athletic,1,0,1,['74'],[],1.83,3.4,3.55,1.9,1.83,1.83,1.83
2,2470543,Scotland League One,2022/2023,2022-07-30 11:00:00,1,Falkirk,Montrose,0,0,0,[],[],2.2,3.1,3.0,1.87,1.83,1.83,1.83
3,2470544,Scotland League One,2022/2023,2022-07-30 11:00:00,1,Kelty Hearts,Edinburgh City,0,2,2,[],"['34', '90']",1.75,3.54,3.96,1.91,1.85,1.83,1.83
4,2470545,Scotland League One,2022/2023,2022-07-30 11:00:00,1,Peterhead,Airdrieonians,0,2,2,[],"['33', '39']",2.8,3.1,2.3,1.83,1.87,1.8,1.91
5,2470546,Scotland League One,2022/2023,2022-07-30 11:00:00,1,Queen of the South,Clyde,1,4,5,['1'],"['16', '43', '82', '89']",1.68,3.65,4.0,1.9,1.85,1.83,1.83
6,2470551,Scotland League One,2022/2023,2022-08-06 11:00:00,2,Montrose,Queen of the South,0,0,0,[],[],2.09,3.18,2.73,1.7,1.85,1.66,2.1
7,2470549,Scotland League One,2022/2023,2022-08-06 11:00:00,2,Clyde,Peterhead,2,2,4,"['14', '19']","['28', '29']",2.63,3.22,2.33,1.8,1.9,1.63,2.15
8,2470550,Scotland League One,2022/2023,2022-08-06 11:00:00,2,Edinburgh City,Dunfermline Athletic,0,3,3,[],"['14', '41', '72']",2.64,3.1,2.18,1.7,1.84,1.68,2.05
9,2470547,Scotland League One,2022/2023,2022-08-06 11:00:00,2,Airdrieonians,Falkirk,4,0,4,"['21', '61', '85', '89']",[],2.06,3.32,3.0,1.73,1.99,1.65,2.1
10,2470548,Scotland League One,2022/2023,2022-08-06 11:00:00,2,Alloa Athletic,Kelty Hearts,3,1,4,"['11', '68', '81']",['87'],1.95,3.19,3.0,1.7,2.05,1.66,2.1
11,2470552,Scotland League One,2022/2023,2022-08-13 11:00:00,3,Alloa Athletic,Edinburgh City,2,4,6,"['8', '85']","['21', '33', '54', '87']",1.75,3.75,4.0,1.75,2.05,1.67,2.15
12,2470553,Scotland League One,2022/2023,2022-08-13 11:00:00,3,Clyde,Kelty Hearts,3,0,3,"['53', '80', '86']",[],1.91,3.4,3.3,1.72,2.01,1.63,2.22
13,2470555,Scotland League One,2022/2023,2022-08-13 11:00:00,3,Falkirk,Peterhead,3,1,4,"['45+4', '58', '90']",['45'],1.79,3.5,3.65,1.73,1.93,1.7,2.1
14,2470556,Scotland League One,2022/2023,2022-08-13 11:00:00,3,Queen of the South,Airdrieonians,1,1,2,['61'],['19'],2.36,3.2,2.6,1.76,1.96,1.62,2.24
15,2470554,Scotland League One,2022/2023,2022-08-13 11:15:00,3,Dunfermline Athletic,Montrose,1,0,1,['78'],[],1.99,3.3,3.15,1.76,1.96,1.65,2.18
16,2470560,Scotland League One,2022/2023,2022-08-20 11:00:00,4,Montrose,Clyde,2,1,3,"['28', '52']",['49'],1.64,3.75,4.5,1.81,1.95,1.7,2.1
17,2470559,Scotland League One,2022/2023,2022-08-20 11:00:00,4,Kelty Hearts,Dunfermline Athletic,0,0,0,[],[],3.6,3.5,1.86,1.89,1.86,1.75,2.0
18,2470561,Scotland League One,2022/2023,2022-08-20 11:00:00,4,Peterhead,Queen of the South,1,4,5,['2'],"['34', '43', '64', '90+6']",3.3,3.35,2.02,1.83,1.93,1.65,2.15
19,2470557,Scotland League One,2022/2023,2022-08-20 11:00:00,4,Airdrieonians,Alloa Athletic,2,0,2,"['39', '83']",[],1.8,3.55,3.8,1.78,1.98,1.65,2.15
20,2470558,Scotland League One,2022/2023,2022-08-20 11:00:00,4,Edinburgh City,Falkirk,0,3,3,[],"['21', '54', '90']",3.3,3.45,1.97,1.78,1.98,1.63,2.2
21,2470562,Scotland League One,2022/2023,2022-08-27 11:00:00,5,Alloa Athletic,Peterhead,5,0,5,"['1', '13', '37', '52', '90+1']",[],2.06,3.3,3.02,1.72,2.01,1.68,2.1
22,2470563,Scotland League One,2022/2023,2022-08-27 11:00:00,5,Dunfermline Athletic,Airdrieonians,1,1,2,['68'],['78'],1.91,3.3,3.38,1.81,1.9,1.72,2.05
23,2470564,Scotland League One,2022/2023,2022-08-27 11:00:00,5,Edinburgh City,Clyde,2,0,2,"['15', '61']",[],2.1,3.3,2.94,1.72,2.01,1.62,2.2
24,2470565,Scotland League One,2022/2023,2022-08-27 11:00:00,5,Falkirk,Queen of the South,3,1,4,"['12', '29', '83']",['61'],2.1,3.3,2.94,1.75,1.96,1.63,2.2
25,2470566,Scotland League One,2022/2023,2022-08-27 11:00:00,5,Montrose,Kelty Hearts,3,0,3,"['31', '51', '90+2']",[],1.92,3.37,3.32,1.72,2.01,1.68,2.1
26,2470571,Scotland League One,2022/2023,2022-09-03 11:00:00,6,Queen of the South,Dunfermline Athletic,0,2,2,[],"['19', '45+2']",2.62,3.3,2.14,1.79,1.91,1.64,2.2
27,2470569,Scotland League One,2022/2023,2022-09-03 11:00:00,6,Kelty Hearts,Falkirk,2,0,2,"['19', '26']",[],2.98,3.3,1.95,1.79,1.91,1.63,2.22
28,2470570,Scotland League One,2022/2023,2022-09-03 11:00:00,6,Peterhead,Montrose,0,2,2,[],"['38', '74']",3.3,3.35,1.83,1.78,1.92,1.72,2.07
29,2470567,Scotland League One,2022/2023,2022-09-03 11:00:00,6,Airdrieonians,Edinburgh City,0,6,6,[],"['17', '45+1', '54', '61', '71', '87']",1.42,3.95,5.2,1.71,2.07,1.83,1.93
30,2470568,Scotland League One,2022/2023,2022-09-03 11:00:00,6,Clyde,Alloa Athletic,2,4,6,"['39', '80']","['6', '52', '64', '90+2']",2.23,3.35,2.49,1.72,2.07,1.61,2.25
31,2470579,Scotland League One,2022/2023,2022-09-17 11:00:00,8,Dunfermline Athletic,Falkirk,1,1,2,['55'],['30'],1.88,3.5,3.3,1.7,2.05,1.62,2.2
32,2470581,Scotland League One,2022/2023,2022-09-17 11:00:00,8,Queen of the South,Edinburgh City,4,1,5,"['44', '77', '80', '85']",['90+3'],2.5,3.4,2.3,1.67,2.05,1.61,2.15
33,2470577,Scotland League One,2022/2023,2022-09-17 11:00:00,8,Airdrieonians,Clyde,5,0,5,"['38', '66', '70', '78', '89']",[],1.55,3.7,4.8,1.67,2.05,1.73,2.0
34,2470578,Scotland League One,2022/2023,2022-09-17 11:00:00,8,Alloa Athletic,Montrose,2,1,3,"['57', '87']",['78'],2.3,3.2,2.7,1.68,2.06,1.62,2.2
35,2470580,Scotland League One,2022/2023,2022-09-17 11:00:00,8,Peterhead,Kelty Hearts,2,1,3,"['6', '64']",['50'],2.75,3.2,2.2,1.68,2.06,1.6,2.25
36,2470586,Scotland League One,2022/2023,2022-10-01 11:00:00,9,Queen of the South,Alloa Athletic,1,1,2,['42'],['87'],2.15,3.3,3.0,1.7,2.03,1.62,2.2
37,2470585,Scotland League One,2022/2023,2022-10-01 11:00:00,9,Montrose,Edinburgh City,1,2,3,['39'],"['2', '88']",1.8,3.5,3.9,1.72,2.0,1.67,2.1
38,2470583,Scotland League One,2022/2023,2022-10-01 11:00:00,9,Falkirk,Clyde,2,0,2,"['7', '19']",[],1.65,3.6,4.6,1.69,2.04,1.73,2.0
39,2470582,Scotland League One,2022/2023,2022-10-01 11:00:00,9,Dunfermline Athletic,Peterhead,2,2,4,"['67', '84']","['87', '90+4']",1.29,5.0,8.5,1.6,2.19,2.2,1.62
40,2470584,Scotland League One,2022/2023,2022-10-01 11:00:00,9,Kelty Hearts,Airdrieonians,1,0,1,['85'],[],3.2,3.3,2.05,1.72,2.0,1.67,2.1
41,2470576,Scotland League One,2022/2023,2022-10-04 15:45:00,7,Montrose,Airdrieonians,4,2,6,"['5', '13', '79', '84']","['54', '68']",2.4,3.3,2.7,1.88,1.98,1.62,2.2
42,2470573,Scotland League One,2022/2023,2022-10-05 15:45:00,7,Edinburgh City,Peterhead,2,0,2,"['83', '88']",[],1.5,4.0,6.0,1.64,2.2,1.73,2.0
43,2470591,Scotland League One,2022/2023,2022-10-08 11:00:00,10,Peterhead,Falkirk,0,4,4,[],"['41', '67', '70', '82']",4.33,3.8,1.65,1.71,2.02,1.69,2.11
44,2470590,Scotland League One,2022/2023,2022-10-08 11:00:00,10,Edinburgh City,Kelty Hearts,2,0,2,"['6', '70']",[],2.3,3.4,2.69,1.7,2.03,1.62,2.2
45,2470589,Scotland League One,2022/2023,2022-10-08 11:00:00,10,Clyde,Montrose,1,3,4,['48'],"['72', '77', '82']",2.77,3.4,2.25,1.72,2.0,1.67,2.1
46,2470587,Scotland League One,2022/2023,2022-10-08 11:00:00,10,Airdrieonians,Queen of the South,3,3,6,"['5', '14', '61']","['3', '42', '63']",1.75,3.75,3.82,1.66,2.09,1.72,2.05
47,2470588,Scotland League One,2022/2023,2022-10-08 11:00:00,10,Alloa Athletic,Dunfermline Athletic,0,3,3,[],"['30', '45+2', '79']",3.27,3.4,2.0,1.79,1.91,1.68,2.13
