Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2470728,Scotland League Two,2022/2023,2022-07-30 11:00:00,1,Bonnyrigg Rose Athletic,Forfar Athletic,2,0,2,"['58', '86']",[],3.3,3.25,1.95,1.8,1.91,1.73,2.0
2,2470729,Scotland League Two,2022/2023,2022-07-30 11:00:00,1,Dumbarton,Stirling Albion,2,0,2,"['1', '5']",[],1.95,3.2,3.4,1.87,1.83,1.83,1.83
3,2470730,Scotland League Two,2022/2023,2022-07-30 11:00:00,1,Elgin City,East Fife,1,3,4,['76'],"['28', '40', '59']",3.0,3.25,2.1,1.7,2.05,1.67,2.1
4,2470731,Scotland League Two,2022/2023,2022-07-30 11:00:00,1,Stenhousemuir,Albion Rovers,1,0,1,['21'],[],2.1,3.25,3.0,1.73,2.0,1.73,2.0
5,2470732,Scotland League Two,2022/2023,2022-07-30 11:00:00,1,Stranraer,Annan Athletic,1,0,1,['26'],[],2.37,3.2,2.65,1.8,1.91,1.8,1.91
6,2470733,Scotland League Two,2022/2023,2022-08-06 11:00:00,2,Albion Rovers,Dumbarton,1,2,3,['17'],"['24', '88']",2.29,3.13,2.48,1.73,2.0,1.67,2.1
7,2470734,Scotland League Two,2022/2023,2022-08-06 11:00:00,2,Annan Athletic,Stenhousemuir,2,1,3,"['30', '56']",['74'],2.27,3.22,2.72,1.77,1.95,1.67,2.1
8,2470735,Scotland League Two,2022/2023,2022-08-06 11:00:00,2,East Fife,Bonnyrigg Rose Athletic,0,3,3,[],"['21', '27', '61']",1.84,3.3,3.2,1.67,2.1,1.62,2.2
9,2470736,Scotland League Two,2022/2023,2022-08-06 11:00:00,2,Forfar Athletic,Stranraer,2,0,2,"['54', '60']",[],1.88,3.45,3.35,1.76,1.95,1.73,2.0
10,2470737,Scotland League Two,2022/2023,2022-08-06 11:00:00,2,Stirling Albion,Elgin City,2,2,4,"['55', '61']","['18', '45+2']",2.17,3.35,2.77,1.77,1.94,1.67,2.1
11,2470742,Scotland League Two,2022/2023,2022-08-13 11:00:00,3,Stranraer,Bonnyrigg Rose Athletic,2,2,4,"['28', '57']","['31', '90+7']",2.56,3.1,2.46,1.73,1.93,1.67,2.1
12,2470741,Scotland League Two,2022/2023,2022-08-13 11:00:00,3,Stirling Albion,Stenhousemuir,3,0,3,"['2', '51', '81']",[],2.25,3.25,2.71,1.75,1.9,1.64,2.2
13,2470738,Scotland League Two,2022/2023,2022-08-13 11:00:00,3,Albion Rovers,East Fife,0,1,1,[],['67'],2.48,3.2,2.48,1.73,1.93,1.61,2.25
14,2470739,Scotland League Two,2022/2023,2022-08-13 11:00:00,3,Dumbarton,Annan Athletic,4,0,4,"['3', '40', '53', '88']",[],2.13,3.3,2.87,1.71,1.96,1.61,2.25
15,2470740,Scotland League Two,2022/2023,2022-08-13 11:00:00,3,Forfar Athletic,Elgin City,2,2,4,"['39', '82']","['5', '67']",1.77,3.55,3.7,1.75,1.9,1.74,2.04
