Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1275363,Scotland Premiership,2021/2022,2021-07-31 09:30:00,1,Rangers,Livingston,3,0,3,"['8', '78', '90']",[],1.15,7.25,16.0,1.71,2.1,2.85,1.38
2,1275364,Scotland Premiership,2021/2022,2021-07-31 11:00:00,1,Dundee,St. Mirren,2,2,4,"['44', '60']","['4', '54']",2.08,3.08,3.08,1.9,1.72,2.0,1.77
3,1275365,Scotland Premiership,2021/2022,2021-07-31 11:00:00,1,Ross County,St. Johnstone,0,0,0,[],[],3.08,3.08,2.08,1.62,2.3,2.1,1.69
4,1275366,Scotland Premiership,2021/2022,2021-07-31 16:00:00,1,Hearts,Celtic,2,1,3,"['8', '89']",['54'],4.4,4.0,1.71,1.8,2.0,1.83,1.91
5,1275367,Scotland Premiership,2021/2022,2021-08-01 11:00:00,1,Aberdeen,Dundee United,2,0,2,"['27', '51']",[],1.75,3.6,4.75,2.25,1.57,2.25,1.61
6,1275368,Scotland Premiership,2021/2022,2021-08-01 12:30:00,1,Motherwell,Hibernian,2,3,5,"['12', '29']","['17', '56', '70']",3.45,3.35,2.1,2.15,1.69,1.95,1.8
7,1275369,Scotland Premiership,2021/2022,2021-08-07 08:30:00,2,Dundee United,Rangers,1,0,1,['64'],[],11.0,5.5,1.27,1.8,1.95,2.5,1.5
8,1275373,Scotland Premiership,2021/2022,2021-08-07 11:00:00,2,St. Mirren,Hearts,1,2,3,['85'],"['16', '73']",2.8,3.2,2.38,2.13,1.7,1.87,1.91
9,1275370,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Celtic,Dundee,6,0,6,"['20', '25', '49', '67', '84', '90']",[],1.25,5.6,9.8,1.45,2.55,2.0,1.8
10,1275371,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Hibernian,Ross County,3,0,3,"['22', '26', '33']",[],1.55,3.95,5.4,1.8,1.9,2.1,1.69
11,1275372,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Livingston,Aberdeen,1,2,3,['35'],"['47', '90+4']",2.9,3.05,2.46,2.35,1.53,2.15,1.67
12,1275374,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,St. Johnstone,Motherwell,1,1,2,['34'],['80'],2.01,3.2,3.7,2.2,1.6,2.2,1.65
13,1275377,Scotland Premiership,2021/2022,2021-08-21 11:00:00,3,Livingston,Motherwell,1,2,3,['38'],"['48', '79']",2.0,3.2,3.8,2.25,1.61,2.1,1.71
14,1275375,Scotland Premiership,2021/2022,2021-08-21 11:00:00,3,Celtic,St. Mirren,6,0,6,"['17', '22', '28', '44', '62', '84']",[],1.25,6.0,10.25,1.5,2.5,2.0,1.8
15,1275380,Scotland Premiership,2021/2022,2021-08-22 08:00:00,3,Dundee,Hibernian,2,2,4,"['11', '83']","['39', '59']",3.35,3.35,2.1,2.0,1.8,1.83,1.95
16,1275378,Scotland Premiership,2021/2022,2021-08-22 11:00:00,3,Ross County,Rangers,2,4,6,"['40', '77']","['15', '19', '56', '84']",10.5,5.5,1.29,1.67,2.15,2.2,1.65
17,1275379,Scotland Premiership,2021/2022,2021-08-22 11:00:00,3,St. Johnstone,Dundee United,0,1,1,[],['60'],2.3,3.1,3.15,2.3,1.61,2.05,1.74
18,1275376,Scotland Premiership,2021/2022,2021-08-22 11:00:00,3,Hearts,Aberdeen,1,1,2,['56'],['71'],1.95,3.35,3.95,2.25,1.62,2.05,1.74
19,1275382,Scotland Premiership,2021/2022,2021-08-28 11:00:00,4,Dundee United,Hearts,0,2,2,[],"['45+1', '90']",3.1,3.25,2.25,2.15,1.67,2.0,1.8
20,1275383,Scotland Premiership,2021/2022,2021-08-28 11:00:00,4,Hibernian,Livingston,2,0,2,"['51', '89']",[],1.77,3.5,4.65,2.1,1.71,2.0,1.77
21,1275384,Scotland Premiership,2021/2022,2021-08-28 11:00:00,4,Motherwell,Dundee,1,0,1,['34'],[],2.2,3.35,3.2,1.95,1.8,1.83,1.95
22,1275386,Scotland Premiership,2021/2022,2021-08-29 08:00:00,4,Rangers,Celtic,1,0,1,['66'],[],2.3,3.35,2.9,1.91,1.87,1.74,2.05
23,1275381,Scotland Premiership,2021/2022,2021-08-29 11:00:00,4,Aberdeen,Ross County,1,1,2,['88'],['33'],1.53,4.0,6.0,2.15,1.69,2.3,1.59
24,1275385,Scotland Premiership,2021/2022,2021-08-29 11:00:00,4,St. Mirren,St. Johnstone,0,0,0,[],[],2.7,2.85,2.8,2.55,1.49,2.25,1.62
25,1275391,Scotland Premiership,2021/2022,2021-09-11 08:30:00,5,St. Johnstone,Rangers,1,2,3,['51'],"['58', '79']",8.5,4.5,1.38,2.05,1.74,2.45,1.54
26,1275392,Scotland Premiership,2021/2022,2021-09-11 11:00:00,5,St. Mirren,Dundee United,0,0,0,[],[],2.2,3.2,3.3,2.3,1.59,2.1,1.71
27,1275390,Scotland Premiership,2021/2022,2021-09-11 11:00:00,5,Motherwell,Aberdeen,2,0,2,"['26', '59']",[],3.2,3.1,2.3,2.25,1.61,2.05,1.77
28,1275388,Scotland Premiership,2021/2022,2021-09-11 11:00:00,5,Dundee,Livingston,0,0,0,[],[],2.5,3.0,2.95,2.3,1.59,2.05,1.74
29,1275387,Scotland Premiership,2021/2022,2021-09-11 11:00:00,5,Celtic,Ross County,3,0,3,"['64', '70', '85']",[],1.11,10.5,21.0,1.36,3.05,2.65,1.47
30,1275389,Scotland Premiership,2021/2022,2021-09-12 08:00:00,5,Hearts,Hibernian,0,0,0,[],[],2.3,3.1,3.15,2.25,1.62,2.0,1.8
31,1275393,Scotland Premiership,2021/2022,2021-09-18 11:00:00,6,Aberdeen,St. Johnstone,0,1,1,[],['84'],2.2,2.85,3.8,2.7,1.44,2.3,1.59
32,1275395,Scotland Premiership,2021/2022,2021-09-18 11:00:00,6,Hibernian,St. Mirren,2,2,4,"['57', '61']","['42', '88']",1.74,3.4,5.0,2.0,1.77,1.95,1.8
33,1275398,Scotland Premiership,2021/2022,2021-09-18 11:00:00,6,Ross County,Hearts,2,2,4,"['11', '45']","['9', '66']",5.0,3.8,1.65,1.91,1.87,1.95,1.83
34,1275394,Scotland Premiership,2021/2022,2021-09-19 08:00:00,6,Dundee United,Dundee,1,0,1,['81'],[],2.55,3.1,2.85,2.25,1.62,2.0,1.8
35,1275396,Scotland Premiership,2021/2022,2021-09-19 11:00:00,6,Livingston,Celtic,1,0,1,['25'],[],8.25,4.8,1.36,1.8,2.0,2.2,1.65
36,1275397,Scotland Premiership,2021/2022,2021-09-19 11:00:00,6,Rangers,Motherwell,1,1,2,['12'],['66'],1.2,7.0,13.0,1.67,2.2,2.55,1.5
37,1275403,Scotland Premiership,2021/2022,2021-09-25 11:00:00,7,Motherwell,Ross County,2,1,3,"['2', '80']",['39'],1.71,3.65,4.75,2.1,1.71,2.05,1.74
38,1275400,Scotland Premiership,2021/2022,2021-09-25 11:00:00,7,Dundee,Rangers,0,1,1,[],['16'],10.5,6.0,1.26,1.65,2.2,2.25,1.62
39,1275401,Scotland Premiership,2021/2022,2021-09-25 11:00:00,7,Hearts,Livingston,3,0,3,"['25', '33', '64']",[],1.61,3.7,5.75,2.1,1.71,2.15,1.69
40,1275404,Scotland Premiership,2021/2022,2021-09-26 08:00:00,7,St. Mirren,Aberdeen,3,2,5,"['14', '58', '61']","['18', '34']",3.2,3.22,2.35,2.35,1.53,2.1,1.71
41,1275399,Scotland Premiership,2021/2022,2021-09-26 11:00:00,7,Celtic,Dundee United,1,1,2,['16'],['18'],1.19,7.0,13.0,1.48,2.6,2.2,1.67
42,1275402,Scotland Premiership,2021/2022,2021-09-26 11:00:00,7,Hibernian,St. Johnstone,1,0,1,['61'],[],1.91,3.35,4.1,2.2,1.65,2.1,1.71
43,1275406,Scotland Premiership,2021/2022,2021-10-02 11:00:00,8,Dundee United,Ross County,1,0,1,['31'],[],0.0,0.0,0.0,2.15,1.69,1.95,1.83
44,1275407,Scotland Premiership,2021/2022,2021-10-02 11:00:00,8,Hearts,Motherwell,2,0,2,"['5', '22']",[],0.0,0.0,0.0,2.15,1.69,1.95,1.83
45,1275408,Scotland Premiership,2021/2022,2021-10-02 11:00:00,8,Livingston,St. Mirren,0,1,1,[],['29'],0.0,0.0,0.0,2.3,1.61,2.0,1.8
46,1275410,Scotland Premiership,2021/2022,2021-10-02 11:00:00,8,St. Johnstone,Dundee,3,1,4,"['31', '39', '46']",['74'],0.0,0.0,0.0,2.2,1.65,2.05,1.74
47,1275405,Scotland Premiership,2021/2022,2021-10-03 08:00:00,8,Aberdeen,Celtic,1,2,3,['56'],"['11', '84']",5.15,3.75,1.53,1.8,1.9,1.95,1.83
48,1275409,Scotland Premiership,2021/2022,2021-10-03 11:00:00,8,Rangers,Hibernian,2,1,3,"['60', '78']",['8'],0.0,0.0,0.0,1.65,2.2,2.15,1.69
49,1275415,Scotland Premiership,2021/2022,2021-10-16 11:00:00,9,Ross County,St. Mirren,2,3,5,"['37', '66']","['15', '34', '38']",3.05,3.3,2.28,2.08,1.7,1.91,1.91
50,1275412,Scotland Premiership,2021/2022,2021-10-16 11:00:00,9,Hibernian,Dundee United,0,3,3,[],"['44', '52', '74']",1.66,3.8,4.89,1.92,1.82,1.91,1.91
51,1275413,Scotland Premiership,2021/2022,2021-10-16 11:00:00,9,Motherwell,Celtic,0,2,2,[],"['17', '52']",6.68,4.25,1.46,1.74,2.02,1.91,1.91
52,1275414,Scotland Premiership,2021/2022,2021-10-16 11:00:00,9,Rangers,Hearts,1,1,2,['40'],['90'],1.58,3.9,5.53,1.8,1.95,1.8,1.95
53,1275416,Scotland Premiership,2021/2022,2021-10-16 11:00:00,9,St. Johnstone,Livingston,0,3,3,[],"['3', '29', '66']",1.86,3.25,4.45,2.48,1.5,2.25,1.57
54,1275411,Scotland Premiership,2021/2022,2021-10-16 14:00:00,9,Dundee,Aberdeen,2,1,3,"['49', '62']",['67'],2.8,3.2,2.5,2.17,1.68,1.91,1.91
55,1275421,Scotland Premiership,2021/2022,2021-10-23 11:00:00,10,Ross County,Livingston,2,3,5,"['7', '67']","['31', '43', '90+5']",2.45,3.1,2.88,2.2,1.62,1.91,1.91
56,1275420,Scotland Premiership,2021/2022,2021-10-23 11:00:00,10,Hearts,Dundee,1,1,2,['37'],['83'],1.36,4.5,7.5,1.89,1.92,2.0,1.75
