Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Scotland Championship,2022/2023,2022-07-30 11:00:00,1,Ayr United,Arbroath,0,0,0,[],[],2.74,3.13,2.59,2.2,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Scotland Championship,2022/2023,2022-07-30 11:00:00,1,Cove Rangers,Raith Rovers,2,0,2,"['8', '50']",[],2.45,2.87,2.75,2.3,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Scotland Championship,2022/2023,2022-07-30 11:00:00,1,Dundee,Partick Thistle,2,3,5,"['64', '85']","['16', '24', '50']",1.95,3.0,3.7,2.3,2.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Scotland Championship,2022/2023,2022-07-30 11:00:00,1,Hamilton Academical,Greenock Morton,1,1,2,['12'],['42'],1.95,3.3,3.6,2.4,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Scotland Championship,2022/2023,2022-07-30 11:00:00,1,Inverness CT,Queen's Park,1,1,2,['44'],['13'],1.57,3.4,5.5,2.1,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Scotland Championship,2022/2023,2022-08-05 15:45:00,2,Queen's Park,Ayr United,2,3,5,"['18', '32']","['46', '78', '90+2']",2.14,3.21,2.92,2.03,1.83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Scotland Championship,2022/2023,2022-08-06 11:00:00,2,Arbroath,Inverness CT,0,0,0,[],[],2.26,3.02,2.89,2.33,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Scotland Championship,2022/2023,2022-08-06 11:00:00,2,Greenock Morton,Cove Rangers,1,0,1,['77'],[],2.19,3.15,2.88,2.11,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Scotland Championship,2022/2023,2022-08-06 11:00:00,2,Partick Thistle,Hamilton Academical,1,1,2,['83'],['43'],1.91,3.18,3.55,2.11,1.91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Scotland Championship,2022/2023,2022-08-06 11:00:00,2,Raith Rovers,Dundee,0,1,1,[],['13'],2.7,3.1,2.34,2.19,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
