Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Scotland League One,2021/2022,2021-07-31 11:00:00,1,Airdrieonians,Montrose,0,3,3,[],"['10', '50', '74']",2.05,3.33,2.84,1.73,1.71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Scotland League One,2021/2022,2021-07-31 11:00:00,1,Clyde,Dumbarton,0,3,3,[],"['11', '34', '80']",2.06,3.22,2.91,1.85,1.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Scotland League One,2021/2022,2021-07-31 11:00:00,1,Cove Rangers,Falkirk,1,1,2,['78'],['65'],1.79,3.38,3.51,1.87,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Scotland League One,2021/2022,2021-07-31 11:00:00,1,East Fife,Queen's Park,1,1,2,['8'],['47'],2.88,3.2,2.38,1.96,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Scotland League One,2021/2022,2021-07-31 11:00:00,1,Peterhead,Alloa Athletic,2,0,2,"['8', '63']",[],2.58,3.31,2.22,1.87,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Scotland League One,2021/2022,2021-08-07 11:00:00,2,Alloa Athletic,East Fife,3,1,4,"['29', '65', '66']",['48'],1.91,3.5,3.2,1.77,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Scotland League One,2021/2022,2021-08-07 11:00:00,2,Dumbarton,Airdrieonians,2,2,4,"['80', '87']","['17', '49']",2.4,3.5,2.35,1.74,1.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Scotland League One,2021/2022,2021-08-07 11:00:00,2,Falkirk,Peterhead,2,1,3,"['14', '54']",['90+4'],1.54,3.4,5.75,1.87,1.87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Scotland League One,2021/2022,2021-08-07 11:00:00,2,Montrose,Clyde,2,2,4,"['50', '57']","['88', '90+1']",1.71,3.45,3.95,1.67,1.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Scotland League One,2021/2022,2021-08-07 11:00:00,2,Queen's Park,Cove Rangers,2,0,2,"['53', '54']",[],2.35,3.2,2.6,1.87,1.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Scotland League One,2021/2022,2021-08-14 11:00:00,3,Montrose,Peterhead,1,0,1,['55'],[],2.0,3.3,3.15,1.77,1.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
