Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Scotland League Two,2021/2022,2021-07-31 11:00:00,1,Annan Athletic,Forfar Athletic,0,2,2,[],"['26', '43']",2.75,3.3,2.38,1.67,1.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Scotland League Two,2021/2022,2021-07-31 11:00:00,12,Albion Rovers,Edinburgh City,2,0,2,"['4', '39']",[],4.05,3.71,1.6,1.57,1.59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Scotland League Two,2021/2022,2021-07-31 11:00:00,1,Elgin City,Stranraer,1,1,2,['23'],['55'],2.34,3.5,2.34,1.66,1.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Scotland League Two,2021/2022,2021-07-31 11:00:00,1,Kelty Hearts,Cowdenbeath,2,0,2,"['38', '69']",[],1.78,3.61,3.33,1.6,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Scotland League Two,2021/2022,2021-07-31 11:00:00,1,Stenhousemuir,Stirling Albion,0,1,1,[],['72'],2.79,3.59,1.99,1.67,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Scotland League Two,2021/2022,2021-08-07 11:00:00,2,Albion Rovers,Stenhousemuir,2,2,4,"['49', '90']","['63', '69']",2.45,3.25,2.45,1.65,1.54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Scotland League Two,2021/2022,2021-08-07 11:00:00,2,Cowdenbeath,Elgin City,3,1,4,"['13', '25', '82']",['37'],2.55,3.35,2.3,1.74,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Scotland League Two,2021/2022,2021-08-07 11:00:00,2,Forfar Athletic,Edinburgh City,2,0,2,"['3', '90+8']",[],2.15,3.35,2.7,1.61,1.54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Scotland League Two,2021/2022,2021-08-07 11:00:00,2,Stirling Albion,Kelty Hearts,1,3,4,['67'],"['39', '40', '56']",3.15,3.35,1.95,1.74,1.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Scotland League Two,2021/2022,2021-08-07 11:00:00,2,Stranraer,Annan Athletic,0,3,3,[],"['14', '51', '72']",2.15,2.9,3.0,2.1,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Scotland League Two,2021/2022,2021-08-13 15:45:00,3,Edinburgh City,Stenhousemuir,1,0,1,['31'],[],2.05,3.2,3.05,1.71,1.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Scotland League Two,2021/2022,2021-08-14 11:00:00,3,Annan Athletic,Stirling Albion,3,1,4,"['22', '23', '85']",['73'],2.95,3.3,2.05,1.74,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Scotland League Two,2021/2022,2021-08-14 11:00:00,3,Elgin City,Albion Rovers,3,0,3,"['17', '22', '46']",[],1.77,3.65,3.45,1.62,1.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Scotland League Two,2021/2022,2021-08-14 11:00:00,3,Forfar Athletic,Kelty Hearts,2,2,4,"['17', '45+1']","['22', '64']",3.5,4.05,1.69,1.67,1.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Scotland League Two,2021/2022,2021-08-21 11:00:00,4,Albion Rovers,Annan Athletic,0,1,1,[],['45+1'],2.6,3.3,2.3,1.71,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Scotland League Two,2021/2022,2021-08-21 11:00:00,4,Elgin City,Forfar Athletic,1,1,2,['47'],['20'],2.3,3.25,2.55,1.71,1.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Scotland League Two,2021/2022,2021-08-21 11:00:00,4,Kelty Hearts,Edinburgh City,1,0,1,['54'],[],1.38,4.45,6.25,1.59,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Scotland League Two,2021/2022,2021-08-21 11:00:00,4,Stenhousemuir,Cowdenbeath,1,1,2,['67'],['76'],2.1,3.25,2.95,1.77,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Scotland League Two,2021/2022,2021-08-21 11:00:00,4,Stranraer,Stirling Albion,0,3,3,[],"['39', '41', '67']",2.55,3.25,2.3,1.8,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Scotland League Two,2021/2022,2021-08-27 15:45:00,5,Edinburgh City,Elgin City,2,0,2,"['1', '7']",[],2.6,3.15,2.35,1.74,1.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Scotland League Two,2021/2022,2021-08-28 11:00:00,5,Stirling Albion,Albion Rovers,2,1,3,"['62', '79']",['75'],1.5,3.9,5.25,1.62,1.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Scotland League Two,2021/2022,2021-08-28 11:00:00,5,Stenhousemuir,Kelty Hearts,1,4,5,['23'],"['13', '33', '66', '71']",6.0,3.9,1.45,1.71,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Scotland League Two,2021/2022,2021-08-28 11:00:00,5,Cowdenbeath,Annan Athletic,1,3,4,['4'],"['49', '53', '81']",1.83,3.4,3.45,1.77,1.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Scotland League Two,2021/2022,2021-08-28 11:00:00,5,Forfar Athletic,Stranraer,1,1,2,['54'],['69'],1.61,3.65,4.35,1.74,1.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Scotland League Two,2021/2022,2021-08-31 15:45:00,3,Cowdenbeath,Stranraer,1,2,3,['50'],"['83', '90']",2.15,3.05,2.95,1.83,1.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,Scotland League Two,2021/2022,2021-09-11 11:00:00,6,Albion Rovers,Cowdenbeath,2,1,3,"['21', '82']",['45+2'],2.35,3.4,2.45,1.69,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Scotland League Two,2021/2022,2021-09-11 11:00:00,6,Annan Athletic,Stenhousemuir,1,2,3,['86'],"['55', '81']",2.05,3.25,3.05,1.74,1.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Scotland League Two,2021/2022,2021-09-11 11:00:00,6,Kelty Hearts,Elgin City,1,1,2,['90+3'],['30'],1.29,5.25,7.5,1.5,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Scotland League Two,2021/2022,2021-09-11 11:00:00,6,Stirling Albion,Forfar Athletic,1,0,1,['81'],[],2.0,3.25,3.15,1.74,1.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Scotland League Two,2021/2022,2021-09-11 11:00:00,6,Stranraer,Edinburgh City,0,1,1,[],['80'],2.3,3.65,2.4,1.71,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Scotland League Two,2021/2022,2021-09-17 15:45:00,7,Edinburgh City,Stirling Albion,2,2,4,"['40', '60']","['13', '69']",2.45,3.2,2.45,1.8,1.69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Scotland League Two,2021/2022,2021-09-18 11:00:00,7,Cowdenbeath,Forfar Athletic,1,1,2,['82'],['24'],3.25,3.25,1.95,1.77,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Scotland League Two,2021/2022,2021-09-18 11:00:00,7,Stranraer,Stenhousemuir,2,0,2,"['6', '49']",[],2.1,3.25,2.9,1.77,1.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Scotland League Two,2021/2022,2021-09-18 11:00:00,7,Albion Rovers,Kelty Hearts,0,3,3,[],"['11', '20', '63']",5.5,4.0,1.47,1.65,1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Scotland League Two,2021/2022,2021-09-18 11:00:00,7,Elgin City,Annan Athletic,0,2,2,[],"['3', '85']",1.91,3.4,3.2,1.71,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Scotland League Two,2021/2022,2021-09-25 11:00:00,8,Stirling Albion,Cowdenbeath,4,0,4,"['7', '34', '83', '89']",[],1.4,4.3,6.0,1.67,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
