Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Scotland Premiership,2021/2022,2021-07-31 09:30:00,1,Rangers,Livingston,3,0,3,"['8', '78', '90']",[],1.15,7.25,16.0,1.71,2.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Scotland Premiership,2021/2022,2021-07-31 11:00:00,1,Dundee,St. Mirren,2,2,4,"['44', '60']","['4', '54']",2.08,3.08,3.08,1.9,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Scotland Premiership,2021/2022,2021-07-31 11:00:00,1,Ross County,St. Johnstone,0,0,0,[],[],3.08,3.08,2.08,1.62,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Scotland Premiership,2021/2022,2021-07-31 16:00:00,1,Hearts,Celtic,2,1,3,"['8', '89']",['54'],4.4,4.0,1.71,1.8,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Scotland Premiership,2021/2022,2021-08-01 11:00:00,1,Aberdeen,Dundee United,2,0,2,"['27', '51']",[],1.75,3.6,4.75,2.25,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Scotland Premiership,2021/2022,2021-08-01 12:30:00,1,Motherwell,Hibernian,2,3,5,"['12', '29']","['17', '56', '70']",3.45,3.35,2.1,2.15,1.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Scotland Premiership,2021/2022,2021-08-07 08:30:00,2,Dundee United,Rangers,1,0,1,['64'],[],11.0,5.5,1.27,1.8,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Scotland Premiership,2021/2022,2021-08-07 11:00:00,2,St. Mirren,Hearts,1,2,3,['85'],"['16', '73']",2.8,3.2,2.38,2.13,1.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Celtic,Dundee,6,0,6,"['20', '25', '49', '67', '84', '90']",[],1.25,5.6,9.8,1.45,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Hibernian,Ross County,3,0,3,"['22', '26', '33']",[],1.55,3.95,5.4,1.8,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,Livingston,Aberdeen,1,2,3,['35'],"['47', '90+4']",2.9,3.05,2.46,2.35,2.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,Scotland Premiership,2021/2022,2021-08-08 11:00:00,2,St. Johnstone,Motherwell,1,1,2,['34'],['80'],2.01,3.2,3.7,2.2,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Scotland Premiership,2021/2022,2021-08-21 11:00:00,3,Livingston,Motherwell,1,2,3,['38'],"['48', '79']",2.0,3.2,3.8,2.25,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Scotland Premiership,2021/2022,2021-08-21 11:00:00,3,Celtic,St. Mirren,6,0,6,"['17', '22', '28', '44', '62', '84']",[],1.25,6.0,10.25,1.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Scotland Premiership,2021/2022,2021-08-22 08:00:00,3,Dundee,Hibernian,2,2,4,"['11', '83']","['39', '59']",3.35,3.35,2.1,2.0,1.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Scotland Premiership,2021/2022,2021-08-22 11:00:00,3,Ross County,Rangers,2,4,6,"['40', '77']","['15', '19', '56', '84']",10.5,5.5,1.29,1.67,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Scotland Premiership,2021/2022,2021-08-22 11:00:00,3,St. Johnstone,Dundee United,0,1,1,[],['60'],2.3,3.1,3.15,2.3,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Scotland Premiership,2021/2022,2021-08-22 11:00:00,3,Hearts,Aberdeen,1,1,2,['56'],['71'],1.95,3.35,3.95,2.25,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Scotland Premiership,2021/2022,2021-08-28 11:00:00,4,Dundee United,Hearts,0,2,2,[],"['45+1', '90']",3.1,3.25,2.25,2.15,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Scotland Premiership,2021/2022,2021-08-28 11:00:00,4,Hibernian,Livingston,2,0,2,"['51', '89']",[],1.77,3.5,4.65,2.1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Scotland Premiership,2021/2022,2021-08-28 11:00:00,4,Motherwell,Dundee,1,0,1,['34'],[],2.2,3.35,3.2,1.95,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Scotland Premiership,2021/2022,2021-08-29 08:00:00,4,Rangers,Celtic,1,0,1,['66'],[],2.3,3.35,2.9,1.91,1.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Scotland Premiership,2021/2022,2021-08-29 11:00:00,4,Aberdeen,Ross County,1,1,2,['88'],['33'],1.53,4.0,6.0,2.15,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Scotland Premiership,2021/2022,2021-08-29 11:00:00,4,St. Mirren,St. Johnstone,0,0,0,[],[],2.7,2.85,2.8,2.55,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Scotland Premiership,2021/2022,2021-09-11 08:30:00,5,St. Johnstone,Rangers,1,2,3,['51'],"['58', '79']",8.5,4.5,1.38,2.05,2.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
