Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1283706,Serbia Prva Liga,2021/2022,2021-08-06 15:00:00,1,Javor Ivanjica,Loznica,2,0,2,"['55', '82']",[],1.42,3.9,5.25,1.65,1.91,1.8,1.77
2,1283707,Serbia Prva Liga,2021/2022,2021-08-07 12:30:00,1,Inđija,Kabel Novi Sad,3,0,3,"['7', '21', '73']",[],1.22,4.45,11.0,2.0,1.61,3.05,1.27
3,1283708,Serbia Prva Liga,2021/2022,2021-08-07 12:30:00,1,Žarkovo,Železničar Pančevo,3,0,3,"['3', '31', '47']",[],2.3,2.75,2.65,2.1,1.54,1.91,1.69
4,1283705,Serbia Prva Liga,2021/2022,2021-08-07 15:00:00,1,Rad Beograd,Radnički Sr. Mitrovica,0,0,0,[],[],1.87,2.95,3.35,2.1,1.56,1.91,1.67
5,1283709,Serbia Prva Liga,2021/2022,2021-08-07 15:00:00,1,Mačva Šabac,Budućnost Dobanovci,1,0,1,['11'],[],1.91,3.0,3.25,2.05,1.57,1.91,1.67
6,1283710,Serbia Prva Liga,2021/2022,2021-08-08 12:30:00,1,Grafičar,Mladost Novi Sad,0,0,0,[],[],1.6,3.6,4.75,2.17,1.62,0.0,0.0
7,1283712,Serbia Prva Liga,2021/2022,2021-08-08 12:30:00,1,Zlatibor Čajetina,Timok,0,1,1,[],['43'],1.41,4.0,7.2,1.83,1.83,2.05,1.68
8,1283711,Serbia Prva Liga,2021/2022,2021-08-08 15:00:00,1,Bačka Palanka,IMT Novi Beograd,1,0,1,['19'],[],2.5,2.7,2.45,2.25,1.47,2.05,1.59
9,1283719,Serbia Prva Liga,2021/2022,2021-08-13 12:30:00,2,Loznica,Inđija,0,2,2,[],"['45', '63']",2.9,2.7,2.2,2.1,1.54,1.87,1.71
10,1283717,Serbia Prva Liga,2021/2022,2021-08-14 12:30:00,2,Železničar Pančevo,Mačva Šabac,1,1,2,['72'],['45+2'],1.74,3.2,3.6,2.4,1.42,2.35,1.43
11,1283716,Serbia Prva Liga,2021/2022,2021-08-14 12:30:00,2,Budućnost Dobanovci,Grafičar,3,2,5,"['51', '53', '89']","['12', '50']",1.95,2.95,3.15,2.45,1.39,2.25,1.47
12,1283713,Serbia Prva Liga,2021/2022,2021-08-14 12:30:00,2,Radnički Sr. Mitrovica,Timok,5,2,7,"['4', '24', '62', '76', '82']","['7', '80']",1.46,3.76,6.33,2.37,1.53,2.0,1.72
13,1283715,Serbia Prva Liga,2021/2022,2021-08-14 12:30:00,2,Mladost Novi Sad,Bačka Palanka,1,0,1,['54'],[],2.01,3.04,3.43,2.25,1.57,0.0,0.0
14,1283720,Serbia Prva Liga,2021/2022,2021-08-14 15:00:00,2,Rad Beograd,Javor Ivanjica,1,1,2,['55'],['32'],2.3,2.75,2.6,2.1,1.54,1.87,1.69
