Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1283458,Serbia SuperLiga,2021/2022,2021-07-16 12:55:00,1,Čukarički,Voždovac,2,1,3,"['43', '70']",['15'],1.48,4.03,6.75,1.88,1.89,2.07,1.67
2,1283452,Serbia SuperLiga,2021/2022,2021-07-16 15:00:00,1,Red Star Belgrade,Vojvodina,0,0,0,[],[],1.19,6.0,11.0,1.43,2.62,2.62,1.46
3,1283457,Serbia SuperLiga,2021/2022,2021-07-17 13:55:00,1,Bačka Topola,Novi Pazar,2,0,2,"['28', '51']",[],1.43,4.0,6.75,2.14,1.71,1.95,1.71
4,1283459,Serbia SuperLiga,2021/2022,2021-07-17 16:00:00,1,Proleter Novi Sad,Partizan,0,4,4,[],"['9', '12', '22', '28']",8.25,5.0,1.3,1.83,1.98,2.5,1.42
5,1283454,Serbia SuperLiga,2021/2022,2021-07-18 13:55:00,1,Spartak Subotica,Radnički Niš,1,1,2,['83'],['60'],2.14,3.0,3.0,2.23,1.58,2.0,1.77
6,1283453,Serbia SuperLiga,2021/2022,2021-07-18 16:00:00,1,Mladost Lučani,Radnički Kragujevac,0,1,1,[],['90+8'],1.5,3.75,5.5,1.78,1.95,2.25,1.53
7,1283456,Serbia SuperLiga,2021/2022,2021-07-19 13:55:00,1,Radnik Surdulica,Metalac GM,0,0,0,[],[],2.2,3.3,3.1,2.08,1.72,1.74,1.87
8,1283455,Serbia SuperLiga,2021/2022,2021-07-19 16:00:00,1,Napredak,Kolubara,3,0,3,"['24', '42', '47']",[],1.57,3.75,5.5,2.0,1.72,2.0,1.73
9,1283466,Serbia SuperLiga,2021/2022,2021-07-23 12:30:00,2,Radnički Kragujevac,Spartak Subotica,3,2,5,"['3', '19', '59']","['22', '52']",4.6,3.3,1.67,2.2,1.51,2.15,1.56
10,1283461,Serbia SuperLiga,2021/2022,2021-07-23 15:00:00,2,Voždovac,Proleter Novi Sad,2,1,3,"['23', '50']",['49'],2.15,3.2,3.4,2.25,1.57,2.05,1.62
11,1283465,Serbia SuperLiga,2021/2022,2021-07-24 13:55:00,2,Radnički Niš,Napredak,4,2,6,"['13', '56', '62', '76']","['2', '32']",1.54,3.7,5.0,2.1,1.57,2.2,1.54
12,1283467,Serbia SuperLiga,2021/2022,2021-07-24 16:00:00,2,Red Star Belgrade,Mladost Lučani,1,0,1,['45'],[],1.1,8.0,26.0,1.36,2.9,2.15,1.57
13,1283463,Serbia SuperLiga,2021/2022,2021-07-25 13:55:00,2,Metalac GM,Bačka Topola,2,4,6,"['13', '90']","['17', '19', '50', '52']",3.3,3.15,2.0,2.05,1.61,1.95,1.71
14,1283460,Serbia SuperLiga,2021/2022,2021-07-25 16:00:00,2,Vojvodina,Partizan,0,2,2,[],"['4', '58']",5.41,3.48,1.59,2.06,1.68,1.87,1.74
15,1283464,Serbia SuperLiga,2021/2022,2021-07-26 14:00:00,2,Kolubara,Radnik Surdulica,1,1,2,['3'],['74'],2.48,3.25,2.7,2.06,1.74,1.83,1.8
16,1283474,Serbia SuperLiga,2021/2022,2021-07-30 13:55:00,3,Proleter Novi Sad,Novi Pazar,2,2,4,"['48', '57']","['18', '47']",1.62,3.75,4.3,1.95,1.67,1.91,1.71
17,1283470,Serbia SuperLiga,2021/2022,2021-07-30 16:00:00,3,Napredak,Radnički Kragujevac,1,0,1,['62'],[],1.47,3.6,5.3,2.04,1.76,2.25,1.51
18,1283469,Serbia SuperLiga,2021/2022,2021-07-31 13:55:00,3,Spartak Subotica,Red Star Belgrade,1,3,4,['26'],"['5', '39', '90+1']",11.0,7.5,1.11,1.38,2.55,2.2,1.6
19,1283471,Serbia SuperLiga,2021/2022,2021-07-31 16:00:00,3,Radnik Surdulica,Radnički Niš,1,1,2,['3'],['20'],2.75,3.0,2.4,2.1,1.67,1.8,1.8
20,1283473,Serbia SuperLiga,2021/2022,2021-08-01 13:55:00,3,Čukarički,Metalac GM,2,1,3,"['45+1', '53']",['76'],1.39,4.3,5.75,1.69,1.91,1.87,1.77
21,1283475,Serbia SuperLiga,2021/2022,2021-08-01 16:00:00,3,Partizan,Voždovac,4,0,4,"['10', '22', '53', '70']",[],1.16,7.85,13.62,1.45,2.56,2.1,1.59
22,1283472,Serbia SuperLiga,2021/2022,2021-08-02 14:00:00,3,Bačka Topola,Kolubara,4,0,4,"['11', '31', '63', '73']",[],1.22,5.25,10.0,1.62,2.0,2.3,1.49
23,1283481,Serbia SuperLiga,2021/2022,2021-08-06 12:30:00,4,Radnički Kragujevac,Radnik Surdulica,0,1,1,[],['13'],2.45,2.9,2.6,2.25,1.62,1.98,1.78
24,1283482,Serbia SuperLiga,2021/2022,2021-08-06 15:00:00,4,Red Star Belgrade,Napredak,1,0,1,['77'],[],1.11,7.75,16.0,1.4,2.88,2.38,1.53
25,1283483,Serbia SuperLiga,2021/2022,2021-08-07 13:55:00,4,Mladost Lučani,Spartak Subotica,1,2,3,['55'],"['19', '86']",2.05,3.2,2.95,1.8,1.8,1.69,1.91
26,1283478,Serbia SuperLiga,2021/2022,2021-08-07 16:00:00,4,Metalac GM,Proleter Novi Sad,3,0,3,"['11', '45', '70']",[],2.2,3.0,2.8,2.0,1.65,1.8,1.8
27,1283476,Serbia SuperLiga,2021/2022,2021-08-08 13:55:00,4,Vojvodina,Voždovac,2,0,2,"['23', '37']",[],1.62,3.5,4.3,1.8,1.8,1.8,1.8
28,1283479,Serbia SuperLiga,2021/2022,2021-08-08 13:55:00,4,Kolubara,Čukarički,3,1,4,"['30', '50', '80']",['24'],4.35,3.35,1.65,1.87,1.74,1.87,1.74
29,1283477,Serbia SuperLiga,2021/2022,2021-08-08 16:00:00,4,Novi Pazar,Partizan,1,4,5,['90+25'],"['42', '49', '61', '90+12']",7.75,5.5,1.25,1.51,2.2,1.91,1.69
30,1283480,Serbia SuperLiga,2021/2022,2021-08-09 14:00:00,4,Radnički Niš,Bačka Topola,1,2,3,['73'],"['31', '63']",2.15,3.1,2.85,1.87,1.74,1.74,1.87
31,1283487,Serbia SuperLiga,2021/2022,2021-08-14 11:55:00,5,Bačka Topola,Radnički Kragujevac,4,4,8,"['14', '26', '56', '88']","['22', '71', '75', '90+6']",1.2,5.4,10.0,1.55,2.3,2.1,1.67
32,1283485,Serbia SuperLiga,2021/2022,2021-08-14 14:00:00,5,Napredak,Mladost Lučani,2,1,3,"['56', '76']",['40'],1.83,3.25,3.45,1.87,1.71,0.0,0.0
33,1283488,Serbia SuperLiga,2021/2022,2021-08-15 13:30:00,5,Čukarički,Radnički Niš,0,0,0,[],[],1.87,3.15,3.45,1.95,1.85,1.71,1.87
34,1283491,Serbia SuperLiga,2021/2022,2021-08-15 14:00:00,5,Voždovac,Novi Pazar,3,2,5,"['45+1', '51', '81']","['68', '90+1']",1.71,3.4,3.8,1.77,1.83,1.8,1.91
35,1283489,Serbia SuperLiga,2021/2022,2021-08-16 11:55:00,5,Proleter Novi Sad,Kolubara,0,1,1,[],['35'],1.66,3.4,3.98,1.95,1.83,1.77,1.83
36,1283484,Serbia SuperLiga,2021/2022,2021-08-16 14:00:00,5,Spartak Subotica,Vojvodina,2,2,4,"['51', '62']","['32', '68']",3.35,3.05,1.95,2.0,1.62,1.91,1.71
37,1283498,Serbia SuperLiga,2021/2022,2021-08-20 13:55:00,6,Mladost Lučani,Radnik Surdulica,0,2,2,[],"['46', '58']",1.77,3.35,3.65,1.83,1.74,1.8,1.8
38,1283493,Serbia SuperLiga,2021/2022,2021-08-20 16:00:00,6,Metalac GM,Voždovac,0,1,1,[],['62'],1.87,3.35,3.2,2.05,1.61,1.95,1.67
39,1283496,Serbia SuperLiga,2021/2022,2021-08-21 11:55:00,6,Radnički Kragujevac,Čukarički,0,3,3,[],"['21', '41', '46']",4.65,3.55,1.57,1.95,1.69,2.0,1.65
