Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Serbia Prva Liga,2022/2023,2022-07-30 12:30:00,1,Inđija,OFK Vršac,0,1,1,[],['4'],1.4,4.0,7.0,1.7,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Serbia Prva Liga,2022/2023,2022-07-30 12:30:00,1,Radnički Sr. Mitrovica,Sloboda Užice,0,0,0,[],[],1.85,3.4,3.5,2.25,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Serbia Prva Liga,2022/2023,2022-07-30 12:30:00,1,IMT Novi Beograd,Novi Sad,4,1,5,"['45', '58', '83', '90+3']",['57'],1.52,3.8,5.0,1.66,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Serbia Prva Liga,2022/2023,2022-07-30 15:00:00,1,Metalac GM,Radnički Novi Beograd,2,0,2,"['90+2', '90+8']",[],1.4,4.2,6.5,1.75,1.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Serbia Prva Liga,2022/2023,2022-07-31 12:30:00,1,Loznica,Jedinstvo Ub,1,3,4,['58'],"['30', '64', '85']",1.85,3.2,3.8,2.2,1.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Serbia Prva Liga,2022/2023,2022-07-31 15:00:00,1,Mačva Šabac,Grafičar,2,2,4,"['20', '76']","['10', '26']",2.8,3.0,2.38,2.35,1.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,Serbia Prva Liga,2022/2023,2022-08-01 12:30:00,1,Železničar Pančevo,Zlatibor Čajetina,0,2,2,[],"['25', '67']",1.5,3.5,7.0,2.35,2.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Serbia Prva Liga,2022/2023,2022-08-01 14:00:00,1,Rad Beograd,Trajal Krusevac,1,2,3,['21'],"['69', '78']",1.91,3.2,3.75,2.4,2.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Serbia Prva Liga,2022/2023,2022-08-05 12:30:00,2,OFK Vršac,Zlatibor Čajetina,3,1,4,"['20', '37', '65']",['61'],1.91,3.2,3.6,2.35,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Serbia Prva Liga,2022/2023,2022-08-06 12:30:00,2,Grafičar,Loznica,5,1,6,"['27', '39', '50', '80', '86']",['90'],1.55,3.6,5.25,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
