Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Serbia SuperLiga,2021/2022,2021-07-16 12:55:00,1,Čukarički,Voždovac,2,1,3,"['43', '70']",['15'],1.48,4.03,6.75,1.88,2.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Serbia SuperLiga,2021/2022,2021-07-16 15:00:00,1,Red Star Belgrade,Vojvodina,0,0,0,[],[],1.19,6.0,11.0,1.43,2.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Serbia SuperLiga,2021/2022,2021-07-17 13:55:00,1,Bačka Topola,Novi Pazar,2,0,2,"['28', '51']",[],1.43,4.0,6.75,2.14,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Serbia SuperLiga,2021/2022,2021-07-17 16:00:00,1,Proleter Novi Sad,Partizan,0,4,4,[],"['9', '12', '22', '28']",8.25,5.0,1.3,1.83,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Serbia SuperLiga,2021/2022,2021-07-18 13:55:00,1,Spartak Subotica,Radnički Niš,1,1,2,['83'],['60'],2.14,3.0,3.0,2.23,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Serbia SuperLiga,2021/2022,2021-07-18 16:00:00,1,Mladost Lučani,Radnički Kragujevac,0,1,1,[],['90+8'],1.5,3.75,5.5,1.78,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Serbia SuperLiga,2021/2022,2021-07-19 13:55:00,1,Radnik Surdulica,Metalac GM,0,0,0,[],[],2.2,3.3,3.1,2.08,1.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Serbia SuperLiga,2021/2022,2021-07-19 16:00:00,1,Napredak,Kolubara,3,0,3,"['24', '42', '47']",[],1.57,3.75,5.5,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Serbia SuperLiga,2021/2022,2021-07-23 12:30:00,2,Radnički Kragujevac,Spartak Subotica,3,2,5,"['3', '19', '59']","['22', '52']",4.6,3.3,1.67,2.2,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,Serbia SuperLiga,2021/2022,2021-07-23 15:00:00,2,Voždovac,Proleter Novi Sad,2,1,3,"['23', '50']",['49'],2.15,3.2,3.4,2.25,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Serbia SuperLiga,2021/2022,2021-07-24 13:55:00,2,Radnički Niš,Napredak,4,2,6,"['13', '56', '62', '76']","['2', '32']",1.54,3.7,5.0,2.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Serbia SuperLiga,2021/2022,2021-07-24 16:00:00,2,Red Star Belgrade,Mladost Lučani,1,0,1,['45'],[],1.1,8.0,26.0,1.36,2.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Serbia SuperLiga,2021/2022,2021-07-25 13:55:00,2,Metalac GM,Bačka Topola,2,4,6,"['13', '90']","['17', '19', '50', '52']",3.3,3.15,2.0,2.05,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
