Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2817994,Slovakia 2. Liga,2022/2023,2022-07-15 12:00:00,1,Púchov,Žilina II,2,1,3,"['73', '80']",['28'],1.22,4.5,3.6,1.53,2.4,1.6,2.15
2,2817998,Slovakia 2. Liga,2022/2023,2022-07-15 13:00:00,1,Spartak Myjava,Šamorín,1,0,1,['87'],[],1.75,3.4,1.88,1.7,2.1,1.52,2.35
3,2817996,Slovakia 2. Liga,2022/2023,2022-07-16 12:00:00,1,Dubnica,Slavoj Trebišov,0,1,1,[],['11'],1.38,3.8,2.65,1.95,1.85,1.8,1.96
4,2817997,Slovakia 2. Liga,2022/2023,2022-07-16 12:00:00,1,Považská Bystrica,FK Košice,3,1,4,"['28', '35', '67']",['69'],2.15,3.75,1.58,1.57,2.35,1.5,2.35
5,2818118,Slovakia 2. Liga,2022/2023,2022-07-16 12:00:00,1,Komárno,Tatran Prešov,3,0,3,"['3', '15', '79']",[],1.27,4.0,3.2,1.73,2.08,1.7,1.95
6,2817999,Slovakia 2. Liga,2022/2023,2022-07-17 05:30:00,1,Rača,Futura Humenné,2,0,2,"['65', '81']",[],4.3,4.75,1.15,1.73,2.08,1.87,1.89
7,2818000,Slovakia 2. Liga,2022/2023,2022-07-17 05:30:00,1,Slovan Bratislava II,Petržalka akadémia,2,1,3,"['26', '90+2']",['81'],2.8,3.25,2.12,1.53,2.35,1.47,2.37
8,2818001,Slovakia 2. Liga,2022/2023,2022-07-17 12:00:00,1,Dolný Kubín,Pohronie,1,2,3,['48'],"['3', '61']",2.35,4.0,1.52,1.7,2.1,1.62,2.15
9,2818002,Slovakia 2. Liga,2022/2023,2022-07-22 12:00:00,2,Komárno,Pohronie,1,1,2,['22'],['26'],1.75,3.75,4.2,1.85,1.95,1.72,2.0
10,2818126,Slovakia 2. Liga,2022/2023,2022-07-22 14:00:00,2,Spartak Myjava,Petržalka akadémia,1,1,2,['65'],['7'],1.91,3.8,3.75,1.85,1.95,1.75,1.95
11,2818003,Slovakia 2. Liga,2022/2023,2022-07-23 12:00:00,2,Futura Humenné,Považská Bystrica,2,1,3,"['56', '90+2']",['33'],1.8,4.0,4.1,1.8,2.0,1.72,2.0
12,2818004,Slovakia 2. Liga,2022/2023,2022-07-23 12:00:00,2,Dubnica,Dolný Kubín,3,0,3,"['30', '44', '76']",[],1.73,4.0,4.5,1.8,2.0,1.72,2.0
13,2818005,Slovakia 2. Liga,2022/2023,2022-07-23 12:00:00,2,Slavoj Trebišov,Púchov,0,0,0,[],[],1.91,3.75,4.0,1.8,2.0,1.68,2.0
14,2818006,Slovakia 2. Liga,2022/2023,2022-07-23 15:00:00,2,FK Košice,Tatran Prešov,2,1,3,"['61', '64']",['43'],1.36,5.0,8.0,1.57,2.35,1.68,2.07
15,2818009,Slovakia 2. Liga,2022/2023,2022-07-24 05:30:00,2,Šamorín,Rača,3,1,4,"['31', '53', '90+3']",['73'],1.36,5.5,7.5,1.57,2.35,1.85,1.8
16,2818007,Slovakia 2. Liga,2022/2023,2022-07-24 05:30:00,2,Žilina II,Slovan Bratislava II,1,2,3,['89'],"['32', '56']",1.45,4.06,3.91,1.45,2.48,1.48,2.5
17,2818010,Slovakia 2. Liga,2022/2023,2022-07-29 13:00:00,3,Pohronie,FK Košice,0,1,1,[],['25'],2.1,3.6,3.25,1.65,2.2,1.54,2.42
18,2818012,Slovakia 2. Liga,2022/2023,2022-07-30 12:00:00,3,Púchov,Dubnica,1,2,3,['31'],"['24', '77']",1.91,4.0,3.5,1.9,1.9,1.92,1.84
19,2818014,Slovakia 2. Liga,2022/2023,2022-07-30 12:00:00,3,Považská Bystrica,Šamorín,2,3,5,"['13', '18']","['2', '90', '90+2']",2.25,3.6,3.0,1.65,2.2,1.57,2.33
20,2818011,Slovakia 2. Liga,2022/2023,2022-07-30 14:00:00,3,Spartak Myjava,Žilina II,2,0,2,"['20', '45']",[],1.6,4.2,5.5,1.65,2.2,1.67,2.15
21,2818015,Slovakia 2. Liga,2022/2023,2022-07-31 05:30:00,3,Rača,Petržalka akadémia,2,1,3,"['2', '40']",['74'],3.6,3.6,2.0,1.8,2.0,1.65,2.1
22,2818016,Slovakia 2. Liga,2022/2023,2022-07-31 05:30:00,3,Slovan Bratislava II,Slavoj Trebišov,2,1,3,"['11', '65']",['80'],2.6,3.65,2.35,1.7,2.05,1.6,2.2
23,2818131,Slovakia 2. Liga,2022/2023,2022-07-31 12:00:00,3,Futura Humenné,Tatran Prešov,0,3,3,[],"['64', '74', '89']",2.1,3.75,3.25,1.7,2.1,1.6,2.2
24,2818017,Slovakia 2. Liga,2022/2023,2022-07-31 12:00:00,3,Dolný Kubín,Komárno,1,2,3,['31'],"['52', '59']",4.5,4.0,1.73,1.65,2.2,1.67,2.15
