Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Slovakia 2. Liga,2022/2023,2022-07-15 12:00:00,1,Púchov,Žilina II,2,1,3,"['73', '80']",['28'],1.22,4.5,3.6,1.53,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Slovakia 2. Liga,2022/2023,2022-07-15 13:00:00,1,Spartak Myjava,Šamorín,1,0,1,['87'],[],1.75,3.4,1.88,1.7,1.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Slovakia 2. Liga,2022/2023,2022-07-16 12:00:00,1,Dubnica,Slavoj Trebišov,0,1,1,[],['11'],1.38,3.8,2.65,1.95,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Slovakia 2. Liga,2022/2023,2022-07-16 12:00:00,1,Považská Bystrica,FK Košice,3,1,4,"['28', '35', '67']",['69'],2.15,3.75,1.58,1.57,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Slovakia 2. Liga,2022/2023,2022-07-16 12:00:00,1,Komárno,Tatran Prešov,3,0,3,"['3', '15', '79']",[],1.27,4.0,3.2,1.73,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Slovakia 2. Liga,2022/2023,2022-07-17 05:30:00,1,Rača,Futura Humenné,2,0,2,"['65', '81']",[],4.3,4.75,1.15,1.73,1.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Slovakia 2. Liga,2022/2023,2022-07-17 05:30:00,1,Slovan Bratislava II,Petržalka akadémia,2,1,3,"['26', '90+2']",['81'],2.8,3.25,2.12,1.53,1.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Slovakia 2. Liga,2022/2023,2022-07-17 12:00:00,1,Dolný Kubín,Pohronie,1,2,3,['48'],"['3', '61']",2.35,4.0,1.52,1.7,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Slovakia 2. Liga,2022/2023,2022-07-22 12:00:00,2,Komárno,Pohronie,1,1,2,['22'],['26'],1.75,3.75,4.2,1.85,1.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Slovakia 2. Liga,2022/2023,2022-07-22 14:00:00,2,Spartak Myjava,Petržalka akadémia,1,1,2,['65'],['7'],1.91,3.8,3.75,1.85,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Slovakia 2. Liga,2022/2023,2022-07-23 12:00:00,2,Futura Humenné,Považská Bystrica,2,1,3,"['56', '90+2']",['33'],1.8,4.0,4.1,1.8,1.72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Slovakia 2. Liga,2022/2023,2022-07-23 12:00:00,2,Dubnica,Dolný Kubín,3,0,3,"['30', '44', '76']",[],1.73,4.0,4.5,1.8,1.72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,Slovakia 2. Liga,2022/2023,2022-07-23 12:00:00,2,Slavoj Trebišov,Púchov,0,0,0,[],[],1.91,3.75,4.0,1.8,1.68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Slovakia 2. Liga,2022/2023,2022-07-23 15:00:00,2,FK Košice,Tatran Prešov,2,1,3,"['61', '64']",['43'],1.36,5.0,8.0,1.57,1.68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Slovakia 2. Liga,2022/2023,2022-07-24 05:30:00,2,Šamorín,Rača,3,1,4,"['31', '53', '90+3']",['73'],1.36,5.5,7.5,1.57,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Slovakia 2. Liga,2022/2023,2022-07-24 05:30:00,2,Žilina II,Slovan Bratislava II,1,2,3,['89'],"['32', '56']",1.45,4.06,3.91,1.45,1.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Slovakia 2. Liga,2022/2023,2022-07-29 13:00:00,3,Pohronie,FK Košice,0,1,1,[],['25'],2.1,3.6,3.25,1.65,1.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Slovakia 2. Liga,2022/2023,2022-07-30 12:00:00,3,Púchov,Dubnica,1,2,3,['31'],"['24', '77']",1.91,4.0,3.5,1.9,1.92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,Slovakia 2. Liga,2022/2023,2022-07-30 12:00:00,3,Považská Bystrica,Šamorín,2,3,5,"['13', '18']","['2', '90', '90+2']",2.25,3.6,3.0,1.65,1.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,Slovakia 2. Liga,2022/2023,2022-07-30 14:00:00,3,Spartak Myjava,Žilina II,2,0,2,"['20', '45']",[],1.6,4.2,5.5,1.65,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,Slovakia 2. Liga,2022/2023,2022-07-31 05:30:00,3,Rača,Petržalka akadémia,2,1,3,"['2', '40']",['74'],3.6,3.6,2.0,1.8,1.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Slovakia 2. Liga,2022/2023,2022-07-31 05:30:00,3,Slovan Bratislava II,Slavoj Trebišov,2,1,3,"['11', '65']",['80'],2.6,3.65,2.35,1.7,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Slovakia 2. Liga,2022/2023,2022-07-31 12:00:00,3,Futura Humenné,Tatran Prešov,0,3,3,[],"['64', '74', '89']",2.1,3.75,3.25,1.7,1.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Slovakia 2. Liga,2022/2023,2022-07-31 12:00:00,3,Dolný Kubín,Komárno,1,2,3,['31'],"['52', '59']",4.5,4.0,1.73,1.65,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Slovakia 2. Liga,2022/2023,2022-08-06 12:00:00,4,Žilina II,Rača,8,3,11,"['23', '34', '53', '65', '68', '77', '85', '87']","['29', '37', '76']",1.45,5.0,6.0,1.57,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Slovakia 2. Liga,2022/2023,2022-08-06 12:00:00,4,Púchov,Dolný Kubín,3,1,4,"['7', '31', '67']",['90'],1.62,4.2,5.0,1.65,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Slovakia 2. Liga,2022/2023,2022-08-06 12:00:00,4,Dubnica,Slovan Bratislava II,3,0,3,"['61', '72', '83']",[],1.8,3.8,4.2,1.73,1.62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,Slovakia 2. Liga,2022/2023,2022-08-06 12:00:00,4,Futura Humenné,Pohronie,2,1,3,"['40', '57']",['69'],2.15,3.4,3.4,1.85,1.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Slovakia 2. Liga,2022/2023,2022-08-06 12:00:00,4,Slavoj Trebišov,Spartak Myjava,1,1,2,['81'],['35'],2.15,3.5,3.3,2.05,1.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,Slovakia 2. Liga,2022/2023,2022-08-06 13:00:00,4,FK Košice,Komárno,0,0,0,[],[],1.83,3.75,4.2,1.75,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Slovakia 2. Liga,2022/2023,2022-08-07 05:30:00,4,Šamorín,Tatran Prešov,3,0,3,"['40', '71', '90']",[],1.75,3.31,3.15,1.55,1.59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,Slovakia 2. Liga,2022/2023,2022-08-07 05:30:00,4,Petržalka akadémia,Považská Bystrica,2,1,3,"['65', '71']",['43'],1.77,3.42,3.19,1.57,1.52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Slovakia 2. Liga,2022/2023,2022-08-12 12:00:00,5,Pohronie,Šamorín,2,2,4,"['10', '28']","['38', '77']",2.55,3.75,2.55,1.85,1.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,Slovakia 2. Liga,2022/2023,2022-08-12 12:00:00,5,Považská Bystrica,Žilina II,3,2,5,"['12', '54', '56']","['62', '74']",2.0,3.75,3.4,1.6,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,Slovakia 2. Liga,2022/2023,2022-08-12 14:00:00,5,Spartak Myjava,Dubnica,3,1,4,"['5', '35', '83']",['81'],1.91,3.75,3.75,1.95,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Slovakia 2. Liga,2022/2023,2022-08-13 12:00:00,5,Komárno,Futura Humenné,0,0,0,[],[],1.67,4.0,5.0,1.85,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Slovakia 2. Liga,2022/2023,2022-08-13 12:00:00,5,Tatran Prešov,Petržalka akadémia,2,1,3,"['30', '80']",['14'],1.95,3.8,3.6,1.7,1.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,Slovakia 2. Liga,2022/2023,2022-08-14 05:30:00,5,Rača,Slavoj Trebišov,0,1,1,[],['63'],3.0,3.6,2.25,1.7,1.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Slovakia 2. Liga,2022/2023,2022-08-14 05:30:00,5,Slovan Bratislava II,Púchov,1,4,5,['50'],"['4', '13', '42', '88']",2.27,3.65,2.47,1.57,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Slovakia 2. Liga,2022/2023,2022-08-14 12:00:00,5,Dolný Kubín,FK Košice,0,4,4,[],"['32', '37', '50', '88']",6.5,4.33,1.5,1.57,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Slovakia 2. Liga,2022/2023,2022-08-19 12:00:00,6,Slovan Bratislava II,Dolný Kubín,1,2,3,['70'],"['21', '45+2']",1.7,4.0,4.75,1.57,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,Slovakia 2. Liga,2022/2023,2022-08-20 05:30:00,6,Žilina II,Tatran Prešov,0,4,4,[],"['4', '34', '38', '41']",2.1,3.75,3.3,1.57,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,Slovakia 2. Liga,2022/2023,2022-08-20 11:30:00,6,Púchov,Spartak Myjava,3,1,4,"['23', '56', '88']",['48'],2.1,3.2,3.1,1.75,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Slovakia 2. Liga,2022/2023,2022-08-20 11:30:00,6,Futura Humenné,FK Košice,0,0,0,[],[],2.6,3.1,2.4,1.8,1.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Slovakia 2. Liga,2022/2023,2022-08-20 11:30:00,6,Dubnica,Rača,1,1,2,['48'],['25'],1.53,3.9,5.0,1.57,1.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,Slovakia 2. Liga,2022/2023,2022-08-20 11:30:00,6,Slavoj Trebišov,Považská Bystrica,2,1,3,"['52', '79']",['37'],2.05,3.3,3.0,1.67,1.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,Slovakia 2. Liga,2022/2023,2022-08-21 05:30:00,6,Šamorín,Komárno,1,0,1,['65'],[],2.3,3.6,3.0,1.75,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Slovakia 2. Liga,2022/2023,2022-08-21 05:30:00,6,Petržalka akadémia,Pohronie,3,2,5,"['25', '76', '86']","['50', '90']",3.0,3.6,2.25,1.7,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,Slovakia 2. Liga,2022/2023,2022-08-26 14:00:00,7,Spartak Myjava,Slovan Bratislava II,1,2,3,['65'],"['46', '66']",1.45,5.0,6.0,1.44,1.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,Slovakia 2. Liga,2022/2023,2022-08-27 10:30:00,7,Považská Bystrica,Dubnica,2,1,3,"['6', '12']",['30'],2.25,3.75,2.63,1.54,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,Slovakia 2. Liga,2022/2023,2022-08-27 11:30:00,7,Pohronie,Žilina II,2,2,4,"['71', '90+3']","['10', '26']",1.53,4.2,5.0,1.47,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,Slovakia 2. Liga,2022/2023,2022-08-27 11:30:00,7,Komárno,Petržalka akadémia,1,0,1,['42'],[],1.62,4.1,4.33,1.74,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Slovakia 2. Liga,2022/2023,2022-08-27 11:30:00,7,Tatran Prešov,Slavoj Trebišov,1,0,1,['64'],[],2.1,3.75,2.88,1.7,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Slovakia 2. Liga,2022/2023,2022-08-27 13:00:00,7,FK Košice,Šamorín,5,1,6,"['30', '53', '61', '64', '73']",['4'],1.67,4.0,4.5,1.62,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,Slovakia 2. Liga,2022/2023,2022-08-28 05:30:00,7,Rača,Púchov,1,2,3,['37'],"['34', '76']",3.8,3.75,1.91,1.62,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,Slovakia 2. Liga,2022/2023,2022-08-28 11:30:00,7,Dolný Kubín,Futura Humenné,0,0,0,[],[],3.1,3.5,1.89,1.73,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Slovakia 2. Liga,2022/2023,2022-09-02 11:00:00,8,Šamorín,Futura Humenné,3,1,4,"['36', '55', '80']",['70'],1.87,3.3,3.6,1.75,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
