Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Slovakia Super Liga,2022/2023,2022-07-15 15:30:00,1,Zemplín Michalovce,Dukla Banská Bystrica,2,0,2,"['54', '88']",[],1.83,3.55,3.68,1.85,1.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Slovakia Super Liga,2022/2023,2022-07-16 13:00:00,1,Spartak Trnava,Zlaté Moravce,2,0,2,"['1', '47']",[],1.31,4.53,9.0,1.98,2.51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Slovakia Super Liga,2022/2023,2022-07-16 13:00:00,1,Trenčín,Žilina,0,0,0,[],[],2.04,3.67,2.97,1.44,1.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Slovakia Super Liga,2022/2023,2022-07-16 15:30:00,1,Podbrezová,Slovan Bratislava,2,1,3,"['16', '47']",['84'],6.7,4.55,1.37,1.57,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Slovakia Super Liga,2022/2023,2022-07-17 13:00:00,1,DAC,Liptovský Mikuláš,2,1,3,"['71', '77']",['57'],1.41,4.48,6.05,1.64,1.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Slovakia Super Liga,2022/2023,2022-07-17 13:00:00,1,Skalica,Ružomberok,0,2,2,[],"['20', '42']",3.45,3.23,2.0,2.15,1.93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Slovakia Super Liga,2022/2023,2022-07-22 15:30:00,2,Zlaté Moravce,Skalica,2,2,4,"['36', '85']","['26', '65']",2.06,3.13,3.4,2.13,1.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Slovakia Super Liga,2022/2023,2022-07-23 13:00:00,2,Liptovský Mikuláš,Zemplín Michalovce,1,1,2,['34'],['37'],2.63,3.25,2.42,1.92,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Slovakia Super Liga,2022/2023,2022-07-23 13:00:00,2,Slovan Bratislava,Trenčín,4,0,4,"['36', '67', '82', '90']",[],1.52,4.2,5.0,1.58,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Slovakia Super Liga,2022/2023,2022-07-24 12:00:00,2,Žilina,DAC,1,1,2,['13'],['77'],2.98,3.43,2.11,1.65,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Slovakia Super Liga,2022/2023,2022-07-24 13:00:00,2,Ružomberok,Podbrezová,2,2,4,"['41', '65']","['37', '89']",1.78,3.52,3.95,1.9,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Slovakia Super Liga,2022/2023,2022-07-24 15:30:00,2,Spartak Trnava,Dukla Banská Bystrica,1,2,3,['46'],"['35', '82']",1.32,5.58,10.1,1.85,2.63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Slovakia Super Liga,2022/2023,2022-07-29 12:00:00,3,Žilina,Dukla Banská Bystrica,4,1,5,"['16', '24', '69', '74']",['79'],1.33,5.0,7.5,1.65,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Slovakia Super Liga,2022/2023,2022-07-30 13:00:00,3,Skalica,Trenčín,2,0,2,"['28', '64']",[],3.61,3.48,1.96,1.86,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Slovakia Super Liga,2022/2023,2022-07-30 13:00:00,3,Slovan Bratislava,Zemplín Michalovce,4,2,6,"['59', '72', '83', '90+1']","['8', '45']",1.37,5.2,7.72,1.83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
