Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1322383,Slovenia 2. SNL,2021/2022,2021-07-30 13:00:00,1,Triglav,Gorica,2,1,3,"['53', '81']",['9005'],2.95,3.25,2.1,1.87,1.74,1.77,1.87
2,1322384,Slovenia 2. SNL,2021/2022,2021-07-31 12:00:00,1,Bilje,Ilirija,1,0,1,['63'],[],1.73,3.8,2.0,1.57,2.35,1.57,2.25
3,1322379,Slovenia 2. SNL,2021/2022,2021-07-31 12:30:00,1,Dob,Dekani,1,1,2,['9002'],['57'],1.33,4.0,3.0,1.57,2.35,1.67,2.1
4,1322381,Slovenia 2. SNL,2021/2022,2021-07-31 12:30:00,1,NK Primorje,Rogaška,2,0,2,"['60', '70']",[],1.75,4.0,3.5,1.6,2.3,1.67,2.1
5,1322382,Slovenia 2. SNL,2021/2022,2021-07-31 13:30:00,1,Rudar,Krka,3,4,7,"['22', '45', '70']","['18', '21', '31', '31']",3.1,4.0,1.85,1.56,2.13,1.61,2.2
6,1322385,Slovenia 2. SNL,2021/2022,2021-07-31 14:00:00,1,Brežice,Fužinar,1,1,2,['72'],['52'],2.65,3.55,2.25,1.6,2.06,1.73,2.0
7,1322378,Slovenia 2. SNL,2021/2022,2021-08-01 12:30:00,1,Nafta,Krško,2,2,4,"['8', '34']","['27', '68']",1.23,4.2,3.75,1.48,2.6,1.6,2.2
8,1322380,Slovenia 2. SNL,2021/2022,2021-08-01 12:30:00,1,NŠ Drava,Beltinci,1,1,2,['33'],['40'],1.5,3.8,2.4,1.57,2.35,1.5,2.4
9,1322389,Slovenia 2. SNL,2021/2022,2021-08-06 14:00:00,2,Krka,Triglav,1,2,3,['59'],"['27', '56']",2.3,3.25,2.63,2.1,1.75,1.58,2.32
10,1322392,Slovenia 2. SNL,2021/2022,2021-08-07 12:30:00,2,Dekani,NŠ Drava,1,2,3,['72'],"['88', '9003']",1.57,3.4,2.25,1.65,2.2,1.62,2.2
11,1322390,Slovenia 2. SNL,2021/2022,2021-08-07 12:30:00,2,Rogaška,Rudar,1,0,1,['-1'],[],1.67,3.4,2.1,1.65,2.2,1.62,2.2
12,1322391,Slovenia 2. SNL,2021/2022,2021-08-07 12:30:00,2,Beltinci,NK Primorje,0,0,0,[],[],1.45,3.5,2.5,1.65,2.2,1.67,2.1
13,1322388,Slovenia 2. SNL,2021/2022,2021-08-07 13:30:00,2,Gorica,Bilje,3,2,5,"['24', '87', '9001']","['6', '69']",1.3,3.75,3.2,1.67,2.15,1.73,2.0
14,1322387,Slovenia 2. SNL,2021/2022,2021-08-08 12:30:00,2,Ilirija,Brežice,2,2,4,"['20', '53']","['19', '38']",1.53,3.6,2.3,1.73,2.08,1.73,2.0
15,1322386,Slovenia 2. SNL,2021/2022,2021-08-08 12:30:00,2,Krško,Fužinar,2,2,4,"['66', '73']","['8', '69']",2.6,4.0,1.42,1.6,2.3,1.67,2.1
16,1322393,Slovenia 2. SNL,2021/2022,2021-08-08 15:00:00,2,Nafta,Dob,2,3,5,"['39', '48']","['4', '59', '9002']",1.53,4.4,5.0,1.45,2.7,1.62,2.2
17,1322400,Slovenia 2. SNL,2021/2022,2021-08-13 13:00:00,3,Brežice,Gorica,0,3,3,[],"['17', '21', '35']",3.45,3.7,1.69,1.61,2.0,1.65,1.91
18,1322394,Slovenia 2. SNL,2021/2022,2021-08-14 12:30:00,3,Dob,Krško,7,2,9,"['-1', '-1', '-1', '-1', '-1', '-1', '-1']","['-1', '-1']",1.55,3.75,2.28,1.6,2.3,1.62,2.2
19,1322396,Slovenia 2. SNL,2021/2022,2021-08-14 12:30:00,3,NK Primorje,Dekani,3,3,6,"['28', '50', '84']","['34', '67', '69']",1.83,3.6,3.5,1.7,2.1,1.73,2.0
20,1322399,Slovenia 2. SNL,2021/2022,2021-08-14 12:30:00,3,Bilje,Krka,2,2,4,"['-1', '-1']","['-1', '-1']",2.4,3.4,1.5,1.65,2.15,1.61,2.2
21,1322395,Slovenia 2. SNL,2021/2022,2021-08-14 13:00:00,3,NŠ Drava,Nafta,0,6,6,[],"['9', '50', '59', '61', '68', '78']",2.75,3.6,1.38,1.57,2.35,1.62,2.2
22,1322398,Slovenia 2. SNL,2021/2022,2021-08-14 13:00:00,3,Triglav,Rogaška,3,0,3,"['15', '40', '53']",[],1.3,3.6,3.15,1.65,2.2,1.67,2.1
23,1322397,Slovenia 2. SNL,2021/2022,2021-08-15 12:30:00,3,Rudar,Beltinci,1,2,3,['37'],"['1', '43']",1.5,3.6,2.4,1.65,2.2,1.62,2.2
24,1322401,Slovenia 2. SNL,2021/2022,2021-08-15 12:30:00,3,Fužinar,Ilirija,2,1,3,"['14', '19']",['9004'],1.34,3.75,2.9,1.62,2.25,1.59,2.25
25,1322404,Slovenia 2. SNL,2021/2022,2021-08-20 13:00:00,4,Krka,Brežice,4,0,4,"['-1', '-1', '-1', '-1']",[],1.34,4.7,5.5,1.5,2.15,1.74,1.83
26,1322406,Slovenia 2. SNL,2021/2022,2021-08-21 12:00:00,4,Beltinci,Triglav,0,1,1,[],['13'],2.5,3.5,1.45,1.67,1.91,1.67,2.1
27,1322408,Slovenia 2. SNL,2021/2022,2021-08-21 12:00:00,4,Nafta,NK Primorje,0,0,0,[],[],1.5,4.2,5.0,1.52,2.21,1.62,1.95
28,1322407,Slovenia 2. SNL,2021/2022,2021-08-21 12:00:00,4,Dekani,Rudar,0,1,1,[],['19'],1.67,3.2,2.08,1.7,2.1,1.57,2.25
29,1322402,Slovenia 2. SNL,2021/2022,2021-08-21 12:00:00,4,Krško,Ilirija,0,2,2,[],"['12', '63']",1.46,3.5,2.55,1.6,2.06,1.67,2.1
30,1322405,Slovenia 2. SNL,2021/2022,2021-08-21 12:00:00,4,Rogaška,Bilje,3,0,3,"['48', '64', '83']",[],2.23,3.3,1.56,1.6,2.06,1.62,2.2
31,1322403,Slovenia 2. SNL,2021/2022,2021-08-22 12:00:00,4,Gorica,Fužinar,3,0,3,"['14', '79', '83']",[],1.21,4.33,3.85,1.53,2.4,1.62,2.23
32,1322409,Slovenia 2. SNL,2021/2022,2021-08-22 12:00:00,4,Dob,NŠ Drava,2,5,7,"['56', '62']","['25', '29', '44', '84', '87']",1.22,4.33,3.8,1.48,2.6,1.55,2.38
