Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1283945,Slovenia PrvaLiga,2021/2022,2021-07-16 12:00:00,1,Bravo,Radomlje,0,0,0,[],[],2.14,3.35,3.08,2.04,1.69,1.91,1.74
2,1283946,Slovenia PrvaLiga,2021/2022,2021-07-17 12:00:00,1,Aluminij,Koper,0,0,0,[],[],2.07,3.26,3.08,1.95,1.75,1.8,1.87
3,1283947,Slovenia PrvaLiga,2021/2022,2021-07-17 15:15:00,1,Mura,Tabor Sežana,0,3,3,[],"['10', '57', '60']",1.55,3.8,5.25,1.97,1.85,1.95,1.71
4,1283948,Slovenia PrvaLiga,2021/2022,2021-07-18 15:15:00,1,Celje,Maribor,2,3,5,"['20', '34']","['43', '47', '72']",2.85,3.0,2.25,1.93,1.8,1.76,2.01
5,1283952,Slovenia PrvaLiga,2021/2022,2021-07-23 12:00:00,2,Tabor Sežana,Celje,0,1,1,[],['49'],2.62,2.97,2.32,2.0,1.78,1.74,1.95
6,1283954,Slovenia PrvaLiga,2021/2022,2021-07-24 12:00:00,2,Bravo,Aluminij,0,0,0,[],[],2.12,3.1,3.38,2.13,1.64,1.95,1.71
7,1283953,Slovenia PrvaLiga,2021/2022,2021-07-24 15:15:00,2,Koper,Mura,3,2,5,"['13', '39', '62']","['1', '48']",2.75,3.0,2.37,2.05,1.7,1.74,1.91
8,1283950,Slovenia PrvaLiga,2021/2022,2021-07-25 12:00:00,2,Radomlje,Olimpija,1,1,2,['22'],['17'],4.4,3.3,1.7,1.95,1.75,1.91,1.77
9,1283951,Slovenia PrvaLiga,2021/2022,2021-07-25 15:15:00,2,Maribor,Domžale,3,1,4,"['14', '31', '36']",['54'],2.16,2.97,3.54,1.79,1.93,1.67,2.05
10,1283955,Slovenia PrvaLiga,2021/2022,2021-07-30 15:15:00,3,Aluminij,Radomlje,0,2,2,[],"['42', '79']",2.28,3.2,2.6,2.33,1.54,2.05,1.67
11,1283956,Slovenia PrvaLiga,2021/2022,2021-07-31 12:00:00,3,Mura,Bravo,1,1,2,['49'],['78'],1.68,3.67,4.28,1.67,2.15,2.05,1.67
12,1283957,Slovenia PrvaLiga,2021/2022,2021-07-31 15:15:00,3,Celje,Koper,1,3,4,['44'],"['25', '66', '84']",1.95,3.1,3.75,1.87,1.77,1.77,1.91
13,1283958,Slovenia PrvaLiga,2021/2022,2021-08-01 12:00:00,3,Domžale,Tabor Sežana,1,1,2,['34'],['5'],1.83,3.35,3.9,2.0,1.7,1.87,1.8
14,1283959,Slovenia PrvaLiga,2021/2022,2021-08-01 15:15:00,3,Olimpija,Maribor,3,1,4,"['37', '52', '56']",['67'],2.98,2.78,2.71,2.0,1.72,1.77,1.91
15,1283963,Slovenia PrvaLiga,2021/2022,2021-08-06 12:00:00,4,Bravo,Celje,2,1,3,"['70', '90+1']",['32'],2.31,3.3,2.9,1.65,2.2,1.83,1.8
16,1283960,Slovenia PrvaLiga,2021/2022,2021-08-07 15:15:00,4,Radomlje,Maribor,1,2,3,['65'],"['16', '26']",3.95,3.2,1.8,1.87,1.8,1.8,1.83
17,1283961,Slovenia PrvaLiga,2021/2022,2021-08-08 12:00:00,4,Tabor Sežana,Olimpija,1,2,3,['52'],"['56', '61']",3.4,3.25,1.93,2.0,1.7,1.83,1.8
18,1283964,Slovenia PrvaLiga,2021/2022,2021-08-08 15:15:00,4,Aluminij,Mura,1,1,2,['31'],['21'],3.15,3.2,2.0,2.1,1.61,2.0,1.69
19,1283966,Slovenia PrvaLiga,2021/2022,2021-08-13 15:15:00,5,Celje,Aluminij,0,0,0,[],[],2.05,2.85,3.55,2.15,1.57,1.95,1.71
20,1283967,Slovenia PrvaLiga,2021/2022,2021-08-14 12:00:00,5,Domžale,Bravo,0,2,2,[],"['45', '51']",1.9,3.2,3.55,2.15,1.61,1.91,1.74
21,1283969,Slovenia PrvaLiga,2021/2022,2021-08-14 15:15:00,5,Maribor,Tabor Sežana,2,0,2,"['17', '90']",[],1.43,4.1,5.75,1.74,1.91,1.91,1.74
22,1283968,Slovenia PrvaLiga,2021/2022,2021-08-15 15:15:00,5,Olimpija,Koper,1,3,4,['7'],"['48', '75', '90+1']",1.8,3.4,3.65,1.83,1.8,1.8,1.83
23,1283973,Slovenia PrvaLiga,2021/2022,2021-08-20 15:15:00,6,Aluminij,Domžale,0,1,1,[],['25'],2.65,3.0,2.4,2.0,1.69,1.8,1.87
24,1283970,Slovenia PrvaLiga,2021/2022,2021-08-21 12:00:00,6,Radomlje,Tabor Sežana,0,1,1,[],['80'],2.35,3.3,2.69,2.0,1.72,1.8,1.83
25,1283971,Slovenia PrvaLiga,2021/2022,2021-08-21 15:15:00,6,Koper,Maribor,2,0,2,"['1', '43']",[],3.2,3.35,1.95,1.74,1.91,1.69,2.0
26,1283972,Slovenia PrvaLiga,2021/2022,2021-08-22 12:00:00,6,Bravo,Olimpija,2,0,2,"['21', '46']",[],3.27,3.02,2.07,2.11,1.65,1.95,1.71
27,1283974,Slovenia PrvaLiga,2021/2022,2021-08-22 15:15:00,6,Mura,Celje,1,0,1,['90'],[],2.1,3.2,3.0,2.1,1.72,1.87,1.77
28,1283949,Slovenia PrvaLiga,2021/2022,2021-08-25 12:00:00,1,Domžale,Olimpija,0,2,2,[],"['41', '88']",2.6,2.95,2.75,2.05,1.73,1.91,1.74
29,1283975,Slovenia PrvaLiga,2021/2022,2021-08-27 15:15:00,7,Celje,Radomlje,2,0,2,"['26', '76']",[],1.77,3.6,3.6,1.85,1.85,1.85,1.85
30,1283979,Slovenia PrvaLiga,2021/2022,2021-08-28 12:00:00,7,Tabor Sežana,Koper,0,1,1,[],['69'],2.75,3.2,2.2,1.8,1.83,1.69,2.0
31,1283978,Slovenia PrvaLiga,2021/2022,2021-08-28 15:15:00,7,Maribor,Bravo,1,1,2,['1'],['63'],1.56,3.75,4.75,1.71,1.95,1.77,1.87
32,1283976,Slovenia PrvaLiga,2021/2022,2021-08-29 12:00:00,7,Domžale,Mura,4,1,5,"['8', '37', '58', '90+2']",['32'],2.85,3.2,2.2,1.91,1.74,1.8,1.83
33,1283977,Slovenia PrvaLiga,2021/2022,2021-08-29 15:15:00,7,Olimpija,Aluminij,3,1,4,"['21', '28', '77']",['86'],1.61,3.5,4.65,1.95,1.71,1.95,1.71
34,1283965,Slovenia PrvaLiga,2021/2022,2021-09-03 12:00:00,5,Mura,Radomlje,4,2,6,"['13', '45+1', '75', '84']","['1', '34']",1.33,4.65,6.75,1.54,2.2,1.8,1.83
35,1283984,Slovenia PrvaLiga,2021/2022,2021-09-11 12:00:00,8,Celje,Domžale,3,1,4,"['44', '52', '89']",['10'],2.1,3.25,2.95,1.74,1.91,1.67,2.0
36,1283983,Slovenia PrvaLiga,2021/2022,2021-09-11 15:15:00,8,Mura,Olimpija,1,0,1,['18'],[],2.24,3.2,2.76,2.16,1.63,1.83,1.8
