Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Slovenia 2. SNL,2021/2022,2021-07-30 13:00:00,1,Triglav,Gorica,2,1,3,"['53', '81']",['9005'],2.95,3.25,2.1,1.87,1.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Slovenia 2. SNL,2021/2022,2021-07-31 12:00:00,1,Bilje,Ilirija,1,0,1,['63'],[],1.73,3.8,2.0,1.57,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Slovenia 2. SNL,2021/2022,2021-07-31 12:30:00,1,Dob,Dekani,1,1,2,['9002'],['57'],1.33,4.0,3.0,1.57,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Slovenia 2. SNL,2021/2022,2021-07-31 12:30:00,1,NK Primorje,Rogaška,2,0,2,"['60', '70']",[],1.75,4.0,3.5,1.6,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Slovenia 2. SNL,2021/2022,2021-07-31 13:30:00,1,Rudar,Krka,3,4,7,"['22', '45', '70']","['18', '21', '31', '31']",3.1,4.0,1.85,1.56,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Slovenia 2. SNL,2021/2022,2021-07-31 14:00:00,1,Brežice,Fužinar,1,1,2,['72'],['52'],2.65,3.55,2.25,1.6,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Slovenia 2. SNL,2021/2022,2021-08-01 12:30:00,1,Nafta,Krško,2,2,4,"['8', '34']","['27', '68']",1.23,4.2,3.75,1.48,1.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Slovenia 2. SNL,2021/2022,2021-08-01 12:30:00,1,NŠ Drava,Beltinci,1,1,2,['33'],['40'],1.5,3.8,2.4,1.57,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Slovenia 2. SNL,2021/2022,2021-08-06 14:00:00,2,Krka,Triglav,1,2,3,['59'],"['27', '56']",2.3,3.25,2.63,2.1,1.58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Slovenia 2. SNL,2021/2022,2021-08-07 12:30:00,2,Dekani,NŠ Drava,1,2,3,['72'],"['88', '9003']",1.57,3.4,2.25,1.65,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Slovenia 2. SNL,2021/2022,2021-08-07 12:30:00,2,Rogaška,Rudar,1,0,1,['-1'],[],1.67,3.4,2.1,1.65,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Slovenia 2. SNL,2021/2022,2021-08-07 12:30:00,2,Beltinci,NK Primorje,0,0,0,[],[],1.45,3.5,2.5,1.65,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Slovenia 2. SNL,2021/2022,2021-08-07 13:30:00,2,Gorica,Bilje,3,2,5,"['24', '87', '9001']","['6', '69']",1.3,3.75,3.2,1.67,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Slovenia 2. SNL,2021/2022,2021-08-08 12:30:00,2,Ilirija,Brežice,2,2,4,"['20', '53']","['19', '38']",1.53,3.6,2.3,1.73,1.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Slovenia 2. SNL,2021/2022,2021-08-08 12:30:00,2,Krško,Fužinar,2,2,4,"['66', '73']","['8', '69']",2.6,4.0,1.42,1.6,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Slovenia 2. SNL,2021/2022,2021-08-08 15:00:00,2,Nafta,Dob,2,3,5,"['39', '48']","['4', '59', '9002']",1.53,4.4,5.0,1.45,1.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
