Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2962176,South Africa Premier Soccer League,2022/2023,2022-08-05 14:30:00,0,Cape Town City,Mamelodi Sundowns,0,2,2,[],"['61', '63']",3.66,2.9,2.01,2.23,1.52,2.0,1.73
2,2962177,South Africa Premier Soccer League,2022/2023,2022-08-06 10:00:00,0,Golden Arrows,Richards Bay,0,2,2,[],"['28', '71']",2.31,2.98,3.2,2.27,1.56,2.1,1.67
3,2962178,South Africa Premier Soccer League,2022/2023,2022-08-06 10:00:00,0,Marumo Gallants,Stellenbosch,0,0,0,[],[],2.7,2.7,2.23,2.8,1.36,2.38,1.53
4,2962179,South Africa Premier Soccer League,2022/2023,2022-08-06 10:00:00,0,Orlando Pirates,Moroka Swallows,1,0,1,['10'],[],1.6,3.52,5.8,2.36,1.52,2.25,1.57
5,2962180,South Africa Premier Soccer League,2022/2023,2022-08-06 12:30:00,0,Real Kings,Kaizer Chiefs,1,0,1,['2'],[],2.87,2.7,2.53,2.41,1.5,2.1,1.67
6,2962181,South Africa Premier Soccer League,2022/2023,2022-08-06 15:00:00,0,Maritzburg United,Sekhukhune United,1,1,2,['85'],['15'],2.12,2.69,3.69,2.89,1.36,2.38,1.53
7,2962182,South Africa Premier Soccer League,2022/2023,2022-08-07 10:00:00,0,TS Galaxy,AmaZulu,0,0,0,[],[],3.0,2.75,2.45,2.77,1.39,2.25,1.57
8,2962183,South Africa Premier Soccer League,2022/2023,2022-08-07 12:30:00,0,SuperSport United,Chippa United,1,1,2,['63'],['17'],2.0,3.0,3.5,2.55,1.5,2.2,1.62
9,2962184,South Africa Premier Soccer League,2022/2023,2022-08-09 10:00:00,0,Richards Bay,Marumo Gallants,0,0,0,[],[],2.47,2.71,3.15,2.85,1.33,2.35,1.55
10,2962185,South Africa Premier Soccer League,2022/2023,2022-08-09 12:00:00,0,Moroka Swallows,Cape Town City,3,2,5,"['16', '23', '90+3']","['31', '61']",3.28,2.93,2.3,2.55,1.5,2.08,1.65
11,2962186,South Africa Premier Soccer League,2022/2023,2022-08-09 14:30:00,0,Kaizer Chiefs,Maritzburg United,3,0,3,"['4', '24', '90+5']",[],1.77,3.18,5.0,2.48,1.45,2.21,1.64
12,2962187,South Africa Premier Soccer League,2022/2023,2022-08-10 12:00:00,0,AmaZulu,SuperSport United,2,1,3,"['65', '78']",['56'],2.17,2.94,3.15,2.5,1.5,2.15,1.67
13,2962191,South Africa Premier Soccer League,2022/2023,2022-08-10 14:30:00,0,Stellenbosch,Orlando Pirates,1,1,2,['54'],['45'],3.46,2.8,2.27,2.55,1.47,2.15,1.61
14,2962190,South Africa Premier Soccer League,2022/2023,2022-08-10 14:30:00,0,Sekhukhune United,Golden Arrows,1,0,1,['45+2'],[],2.53,2.95,2.59,2.65,1.44,2.13,1.62
15,2962188,South Africa Premier Soccer League,2022/2023,2022-08-10 14:30:00,0,Chippa United,Real Kings,1,3,4,['75'],"['30', '41', '76']",3.34,2.95,2.24,2.5,1.5,2.05,1.67
16,2962189,South Africa Premier Soccer League,2022/2023,2022-08-10 14:30:00,0,Mamelodi Sundowns,TS Galaxy,0,1,1,[],['34'],1.41,4.14,7.4,2.04,1.74,2.18,1.59
17,2962192,South Africa Premier Soccer League,2022/2023,2022-08-12 14:30:00,0,Maritzburg United,Moroka Swallows,0,0,0,[],[],2.55,2.69,3.22,2.75,1.4,2.2,1.58
18,2962193,South Africa Premier Soccer League,2022/2023,2022-08-13 10:00:00,0,Marumo Gallants,Golden Arrows,1,1,2,['55'],['71'],2.7,2.75,2.65,2.63,1.38,2.2,1.62
19,2962194,South Africa Premier Soccer League,2022/2023,2022-08-13 10:00:00,0,Stellenbosch,Real Kings,3,1,4,"['2', '49', '64']",['83'],2.55,2.75,2.85,2.61,1.38,2.08,1.71
20,2962195,South Africa Premier Soccer League,2022/2023,2022-08-13 10:00:00,0,Mamelodi Sundowns,Kaizer Chiefs,4,0,4,"['6', '17', '53', '76']",[],1.83,3.1,4.2,2.18,1.55,2.06,1.73
