Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1540042,South America Copa Libertadores,2022,2022-02-08 21:30:00,0,Torque,Barcelona,1,1,2,['64'],['7'],1.78,3.1,1.95,2.55,1.49,2.05,1.7
2,1540044,South America Copa Libertadores,2022,2022-02-09 19:15:00,0,Deportivo Lara,Bolívar,2,3,5,"['2', '28']","['21', '34', '39']",2.35,3.0,2.85,2.28,1.6,1.8,1.95
3,1540046,South America Copa Libertadores,2022,2022-02-09 21:30:00,0,César Vallejo,Olimpia,0,1,1,[],['29'],2.65,3.4,1.42,2.35,1.57,2.1,1.67
4,1540043,South America Copa Libertadores,2022,2022-02-15 21:30:00,0,Barcelona,Torque,0,0,0,[],[],1.17,3.6,4.6,2.05,1.75,2.05,1.7
5,1540045,South America Copa Libertadores,2022,2022-02-16 19:15:00,0,Bolívar,Deportivo Lara,4,0,4,"['37', '69', '77', '82']",[],1.17,7.4,13.0,1.36,2.9,1.8,1.95
6,1540047,South America Copa Libertadores,2022,2022-02-16 21:30:00,0,Olimpia,César Vallejo,2,0,2,"['34', '83']",[],1.11,4.5,5.5,1.89,1.93,2.0,1.75
7,1540040,South America Copa Libertadores,2022,2022-02-22 19:15:00,0,Everton,Monagas,3,0,3,"['17', '25', '52']",[],1.55,4.2,5.25,2.23,1.62,2.25,1.57
8,1540032,South America Copa Libertadores,2022,2022-02-22 21:30:00,0,Millonarios,Fluminense,1,2,3,['7'],"['43', '77']",1.57,3.1,2.28,2.5,1.5,2.05,1.7
9,1540038,South America Copa Libertadores,2022,2022-02-22 21:30:00,0,Plaza Colonia,The Strongest,2,0,2,"['19', '39']",[],1.29,3.3,3.3,2.6,1.48,2.25,1.57
10,1578720,South America Copa Libertadores,2022,2022-02-23 19:15:00,0,Bolívar,CD Universidad Católica,1,1,2,['8'],['11'],1.65,3.7,4.68,1.95,1.76,2.0,1.75
11,1540036,South America Copa Libertadores,2022,2022-02-23 19:15:00,0,América Mineiro,Guaraní,0,1,1,[],['90+1'],1.65,3.6,5.25,2.07,1.71,2.2,1.62
12,1578661,South America Copa Libertadores,2022,2022-02-23 21:30:00,0,Barcelona,Universitario,2,0,2,"['60', '80']",[],1.12,4.33,5.25,2.15,1.67,2.5,1.5
13,1540034,South America Copa Libertadores,2022,2022-02-23 21:30:00,0,Audax Italiano,Estudiantes,1,0,1,['6'],[],3.0,3.4,1.35,2.4,1.53,2.2,1.62
14,1578722,South America Copa Libertadores,2022,2022-02-24 21:30:00,0,Olimpia,Atlético Nacional,3,1,4,"['7', '81', '90+2']",['46'],1.68,3.3,2.05,2.25,1.62,1.95,1.8
15,1540041,South America Copa Libertadores,2022,2022-03-01 19:15:00,0,Monagas,Everton,1,0,1,['46'],[],2.6,3.25,2.3,1.95,1.75,1.75,2.0
16,1540039,South America Copa Libertadores,2022,2022-03-01 21:30:00,0,The Strongest,Plaza Colonia,3,0,3,"['2', '6', '59']",[],1.04,7.0,8.25,1.67,2.15,2.63,1.44
17,1540033,South America Copa Libertadores,2022,2022-03-01 21:30:00,0,Fluminense,Millonarios,2,0,2,"['61', '73']",[],1.22,3.6,3.8,2.2,1.59,2.0,1.75
18,1540037,South America Copa Libertadores,2022,2022-03-02 19:15:00,0,Guaraní,América Mineiro,2,3,5,"['13', '15']","['59', '74', '90+2']",3.51,3.29,2.1,2.23,1.63,1.95,1.8
19,1578721,South America Copa Libertadores,2022,2022-03-02 19:15:00,0,CD Universidad Católica,Bolívar,2,0,2,"['10', '35']",[],1.85,3.24,3.88,2.2,1.65,1.91,1.91
20,1540035,South America Copa Libertadores,2022,2022-03-02 21:30:00,0,Estudiantes,Audax Italiano,2,0,2,"['45+1', '84']",[],1.05,6.5,7.5,1.8,2.0,2.63,1.44
