Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1196935,South America Copa Sudamericana,2021,2021-03-16 19:15:00,0,12 de Octubre,Nacional Asunción,0,0,0,[],[],2.45,3.5,1.52,2.2,1.65,1.83,1.83
2,1196927,South America Copa Sudamericana,2021,2021-03-16 19:15:00,0,Macará,CS Emelec,2,2,4,"['26', '90']","['20', '34']",1.72,3.0,2.05,2.2,1.65,1.8,1.91
3,1196943,South America Copa Sudamericana,2021,2021-03-16 21:30:00,0,Deportes Tolima,Deportivo Cali,3,0,3,"['9', '12', '67']",[],1.36,3.1,3.0,2.7,1.44,2.3,1.59
4,1196948,South America Copa Sudamericana,2021,2021-03-16 21:30:00,0,Antofagasta,Huachipato,0,1,1,[],['90+6'],1.62,3.3,2.15,2.08,1.73,1.85,1.91
5,1196925,South America Copa Sudamericana,2021,2021-03-17 19:15:00,0,Guabirá,Nacional Potosí,4,1,5,"['37', '74', '77', '90+3']",['26'],1.22,4.0,4.0,1.6,2.3,1.67,2.1
6,1196923,South America Copa Sudamericana,2021,2021-03-17 21:30:00,0,UTC Cajamarca,Sport Huancayo,0,1,1,[],['74'],2.0,3.0,1.75,2.7,1.44,2.2,1.62
7,1196931,South America Copa Sudamericana,2021,2021-03-17 21:30:00,0,Aragua,Mineros de Guayana,0,1,1,[],['81'],1.68,3.1,2.1,2.4,1.53,1.91,1.8
8,1196941,South America Copa Sudamericana,2021,2021-03-17 21:30:00,0,Wilstermann,Municipal Vinto,2,1,3,"['8', '38']",['76'],1.67,3.6,4.75,2.05,1.75,2.0,1.73
9,1196945,South America Copa Sudamericana,2021,2021-03-18 19:15:00,0,SD Aucas,Guayaquil City FC,2,1,3,"['38', '90+4']",['28'],1.44,4.05,5.75,1.69,1.95,1.87,1.8
10,1196939,South America Copa Sudamericana,2021,2021-03-18 19:15:00,0,Metropolitanos,Academia Puerto Cabello,2,0,2,"['39', '56']",[],2.3,2.85,3.15,2.15,1.57,1.91,1.77
11,1196929,South America Copa Sudamericana,2021,2021-03-18 19:15:00,0,Guaireña,River Plate,1,2,3,['51'],"['62', '90+1']",2.4,2.7,3.2,2.5,1.43,2.2,1.57
12,1196950,South America Copa Sudamericana,2021,2021-03-18 21:30:00,0,Cobresal,Palestino,0,0,0,[],[],2.0,3.3,1.75,1.95,1.85,1.65,2.1
13,1196933,South America Copa Sudamericana,2021,2021-03-18 21:30:00,0,La Equidad,Deportivo Pasto,1,2,3,['11'],"['37', '67']",1.55,3.1,2.25,2.88,1.4,2.2,1.62
14,1196937,South America Copa Sudamericana,2021,2021-03-18 21:30:00,0,Carlos Manucci,Melgar,1,2,3,['90+4'],"['12', '41']",1.95,3.0,1.75,2.4,1.53,1.9,1.8
15,1196928,South America Copa Sudamericana,2021,2021-04-06 19:15:00,0,CS Emelec,Macará,2,0,2,"['5', '76']",[],2.6,3.35,2.6,1.95,1.75,1.83,1.83
16,1196936,South America Copa Sudamericana,2021,2021-04-06 19:15:00,0,Nacional Asunción,12 de Octubre,0,0,0,[],[],1.9,3.6,3.8,2.09,1.75,2.0,1.73
17,1205354,South America Copa Sudamericana,2021,2021-04-06 21:30:00,0,Cerro Largo,Peñarol,2,2,4,"['72', '90+5']","['21', '50']",3.0,3.4,1.35,2.4,1.53,2.1,1.67
18,1196944,South America Copa Sudamericana,2021,2021-04-06 21:30:00,0,Deportivo Cali,Deportes Tolima,0,0,0,[],[],1.38,3.0,2.85,2.4,1.53,2.2,1.62
19,1196947,South America Copa Sudamericana,2021,2021-04-06 21:30:00,0,Huachipato,Antofagasta,3,0,3,"['9', '67', '86']",[],1.6,3.2,2.2,1.8,2.0,1.62,2.2
20,1205356,South America Copa Sudamericana,2021,2021-04-07 19:15:00,0,Torque,Fénix,0,0,0,[],[],1.96,3.4,3.75,1.8,2.02,1.73,2.0
21,1196932,South America Copa Sudamericana,2021,2021-04-07 19:15:00,0,Mineros de Guayana,Aragua,1,2,3,['8'],"['36', '45']",2.65,3.05,2.5,2.4,1.5,2.1,1.67
